2010,2020,2030,2040
55768442.14609427,53826709.15197763,51946157.14666475,56340173.77247904
77665273.13468525,74525058.02500953,71696249.26197621,78067874.9983238
40510271.22475789,39105962.66937858,37742009.00131571,40933441.13436809
43553711.66436888,53284896.805,49116234.60571428,44369856.29923333
42658215.15448361,55128395.82311904,50059935.59632856,42929005.13808571
33937338.285174765,25900148.055275235,27343868.58391858,29146726.54467572
3622427.235270675,1986838.101243205,2165320.329764,2760570.1035709046
481.44504143074397,460.6864926507667,556.814310195019,413.329487249162
3851.560331446552,3685.491941202143,4454.514481554618,3306.635897990857
0.0,0.0,0.0,0.0
1894341.761433501,16110.002092333332,133476.2572800476,190260.98082719048
1016853.7520502498,8647.603302961905,71648.01821271429,102129.1913429524
0.0,0.0,0.0,0.0
309345665.20295465,261111818.93386233,215176873.42525265,175635535.74361637
275038.2685741984,0.0,17907.013754904765,17907.013754904765
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
240914.41391260488,0.0,15685.299889557142,15685.299889557142
291038.8422006049,2056.2192159042856,20822.048205702948,20386.750570520093
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
300640.7774884766,21747.122032002382,39564.501956880486,44736.51690101143
222718.78383842864,7646.921401397143,21974.353494125095,48165.04362043034
5707.1347318052,88.13724101242858,467.37430723966673,1298.7887506224758
0.0,0.0,0.0,0.0
394451.2311498089,341649.5606105014,637201.2402073538,522810.35352396185
224306.8984258145,194665.26952156328,361236.04631105385,297255.49201621424
48442317.4155431,2769437.392107381,6676249.285612383,17450316.90499843
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3074681.653155405,1401000.8158745235,682832.6887643379,20961.34623193157
1880106.403397504,922487.0679710952,441901.4875678572,0.0
3672132.8645533537,1801757.109759667,863100.6056156191,0.0
3633142.5522750323,1416377.4426811172,853607.8312779269,174943.5905431076
36926451.79557934,26557204.19451429,25985213.37342857,17996086.93941667
7272344.383280984,5059106.694734285,6011478.023505239,5147919.277529525
16118617.680794265,12047001.99277762,12385983.469684765,8943592.312438095
6254459.330746393,4231844.512462856,5681001.40780381,5530751.899074287
18269992.516402613,11361326.988545712,16614541.699035712,19831127.837424286
29589739.80285688,17209363.35141191,24576278.890218094,29790684.70070762
151107881.7028033,688864044.2494191,457842018.83166665,430909231.04038095
85990897.67342623,109841241.98200476,116415871.46475242,174461976.83383808
27817978.440096386,14644935.686925242,18842190.78313285,26191486.767148096
47759361.30304395,23772908.105307143,31002096.55607524,42376494.8473781
