BasinID,Area_km2,Shape_Area,Shape_Leng,__fid__,dwnBasinID,sum
1,2085,0.0,0.0,0,0,
2,2373,0.0,0.0,1,0,68.83394622802734
3,1509,0.0,0.0,2,0,59.927513122558594
4,4113,0.0,0.0,3,0,0.23128058016300201
5,4454,0.0,0.0,4,0,52.1175422668457
6,2817,0.0,0.0,5,0,77.1368637084961
7,1284,0.0,0.0,6,0,35.896907806396484
8,1045,0.0,0.0,7,0,20.04857635498047
9,3071,0.0,0.0,8,0,0.048485491424798965
10,2092,0.0,0.0,9,0,55.02379608154297
11,5444,0.0,0.0,10,0,27.55813217163086
12,1475,0.0,0.0,11,0,
13,1530,0.0,0.0,12,0,
14,11,0.0,0.0,13,0,
15,4358,0.0,0.0,14,0,1.8641119003295898
16,3751,0.0,0.0,15,0,6.239448794076452e-06
17,15522,0.0,0.0,16,0,9.106841087341309
18,1059,0.0,0.0,17,0,
19,1271,0.0,0.0,18,0,2.430678606033325
20,1204,0.0,0.0,19,0,32.805973052978516
21,3911,0.0,0.0,20,0,
22,1168,0.0,0.0,21,0,
23,1314,0.0,0.0,22,0,
24,1649,0.0,0.0,23,0,0.00028909745742566884
25,16655,0.0,0.0,24,0,1.2152966260910034
26,1847,0.0,0.0,25,0,0.007199876941740513
27,1676,0.0,0.0,26,0,
28,76906,0.0,0.0,27,0,39.20749282836914
29,1045,0.0,0.0,28,0,0.015666071325540543
30,18922,0.0,0.0,29,0,56.68657302856445
31,2001,0.0,0.0,30,0,
32,1079,0.0,0.0,31,0,2.5513734817504883
33,11654,0.0,0.0,32,0,0.03179922327399254
34,1385,0.0,0.0,33,0,0.1147567555308342
35,2293,0.0,0.0,34,0,0.34262415766716003
36,1708,0.0,0.0,35,0,0.0670318454504013
37,4417,0.0,0.0,36,0,0.013689376413822174
38,1119,0.0,0.0,37,0,
39,2127,0.0,0.0,38,0,0.6886586546897888
40,1209,0.0,0.0,39,0,
41,2535,0.0,0.0,40,0,128.565185546875
42,1773,0.0,0.0,41,0,
43,9400,0.0,0.0,42,0,0.05451793968677521
44,4785,0.0,0.0,43,0,0.0008294617291539907
45,1086,0.0,0.0,44,0,
46,1896,0.0,0.0,45,0,0.4079516530036926
47,2310,0.0,0.0,46,0,
48,3001,0.0,0.0,47,0,24.58356475830078
49,2808,0.0,0.0,48,0,12.05817699432373
50,1288,0.0,0.0,49,0,0.0942787453532219
51,1919,0.0,0.0,50,0,0.024592988193035126
52,1251,0.0,0.0,51,0,
53,3006,0.0,0.0,52,0,0.291575163602829
54,1793,0.0,0.0,53,0,
55,11814,0.0,0.0,54,0,3.0080080032348633
56,1691,0.0,0.0,55,0,
57,2053,0.0,0.0,56,0,
58,27164,0.0,0.0,57,0,22.605445861816406
59,42973,0.0,0.0,58,0,68.98493957519531
60,1276,0.0,0.0,59,0,
61,1401,0.0,0.0,60,0,0.051120445132255554
