BasinID,Area_km2,Shape_Area,Shape_Leng,__fid__,dwnBasinID,sum
1,2085,0.0,0.0,0,0,1326383.0
2,2373,0.0,0.0,1,0,1300341.0
3,1509,0.0,0.0,2,0,796028.0
4,4113,0.0,0.0,3,0,2410543.0
5,4454,0.0,0.0,4,0,6371375.0
6,2817,0.0,0.0,5,0,27836338.0
7,1284,0.0,0.0,6,0,51659370.0
8,1045,0.0,0.0,7,0,24560492.0
9,3071,0.0,0.0,8,0,109637882.0
10,2092,0.0,0.0,9,0,68707721.0
11,5444,0.0,0.0,10,0,141030727.0
12,1475,0.0,0.0,11,0,43420770.0
13,1530,0.0,0.0,12,0,965471.0
14,11,0.0,0.0,13,0,
15,4358,0.0,0.0,14,0,19681883.0
16,3751,0.0,0.0,15,0,2069494.0
17,15522,0.0,0.0,16,0,9847237.0
18,1059,0.0,0.0,17,0,266292.0
19,1271,0.0,0.0,18,0,182832.0
20,1204,0.0,0.0,19,0,15662586.0
21,3911,0.0,0.0,20,0,49298279.0
22,1168,0.0,0.0,21,0,294632.0
23,1314,0.0,0.0,22,0,379341.0
24,1649,0.0,0.0,23,0,933118.0
25,16655,0.0,0.0,24,0,38577604.0
26,1847,0.0,0.0,25,0,5046325.0
27,1676,0.0,0.0,26,0,2817378.0
28,76906,0.0,0.0,27,0,23487399.0
29,1045,0.0,0.0,28,0,742787.0
30,18922,0.0,0.0,29,0,14263237.0
31,2001,0.0,0.0,30,0,56670.0
32,1079,0.0,0.0,31,0,26988.0
33,11654,0.0,0.0,32,0,379679.0
34,1385,0.0,0.0,33,0,47842.0
35,2293,0.0,0.0,34,0,75480.0
36,1708,0.0,0.0,35,0,135548.0
37,4417,0.0,0.0,36,0,10747018.0
38,1119,0.0,0.0,37,0,2470146.0
39,2127,0.0,0.0,38,0,10919940.0
40,1209,0.0,0.0,39,0,8585867.0
41,2535,0.0,0.0,40,0,4500835.0
42,1773,0.0,0.0,41,0,3532845.0
43,9400,0.0,0.0,42,0,1127763.0
44,4785,0.0,0.0,43,0,370213.0
45,1086,0.0,0.0,44,0,2213760.0
46,1896,0.0,0.0,45,0,7095040.0
