2010,2020,2030,2040
57674530.44334146,70137087.60161284,54336236.6705919,42549647.95805381
80249751.80002788,96316646.41753332,72060150.44494286,54150679.90823335
41897898.12333787,50988184.95868238,39536212.68802191,30991511.106131904
45505003.91128034,55253700.38166668,43549718.14179525,35935496.469161905
43607029.53672621,68139256.89473332,64418437.80797143,44209435.52811905
34423740.66886082,57751717.17001428,62983970.42467145,40490841.43785809
3809603.5668608164,4526970.429635299,4869613.669518599,2758996.5936561627
555.7949514729245,827.5669183819236,929.5257828164947,421.9099896115829
4446.3596117789675,6620.535347057239,7436.206262521501,3375.2799168854435
0.0,0.0,0.0,0.0
2011774.215036301,4749727.999691066,6495223.237324286,4224098.271332285
1079889.7012583392,2549581.5148161715,3486536.724115,2267431.497140429
0.0,0.0,0.0,0.0
313760318.48968065,442889863.1009561,393269848.3191591,222793480.8303451
301553.41967954586,382847.56436853384,565367.3932676299,331136.7517176953
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
264139.8440368033,335347.8665564305,495222.5553935018,290052.78748460906
320308.95089361,410954.0230902564,599177.8080296668,353634.1472302915
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
331323.5306087716,459329.7592428189,601252.2649007144,448975.6690882571
217055.80045659107,272381.4245420561,385938.51385955815,430424.4465137486
5342.043894353591,6380.55628708519,9469.188837097143,11602.714531657619
0.0,0.0,0.0,0.0
319679.2589475203,346877.78166452376,300874.2200491333,573606.7657870858
183149.18453831703,198626.08781009522,169909.53829118094,325183.27740946674
50795656.5770492,56948902.26593334,71747597.84185237,95752128.20609523
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2956155.2383188563,538235.0065168096,1718859.5184146669,2091127.5105534762
1866651.542432836,282925.42323890474,1153786.2693514763,1251571.2109461906
3645853.481085705,552596.2482853334,2253519.519268905,2444508.336199381
3245558.641799444,1530584.5437356192,3622335.122197476,3290219.3587714
37382081.63393574,29290167.984661896,35340135.871177144,36632695.705738105
7363972.024839836,6002659.91661238,6698010.42452,6675838.991300954
16388668.43502229,13056957.215829048,15196725.941801906,15503362.370552383
6350883.877873441,5318450.577204762,5588941.15344619,5349408.970311428
18702732.931879673,15152579.124122858,15671199.033196667,14002792.636400478
31339068.737019174,21028450.897230472,22340862.77461524,21366795.147629045
162950561.2449393,172071374.57875714,96632331.99424762,114401978.3101905
83065494.81896071,63959209.71855714,43820079.20022383,39870891.16461905
31776076.55374853,11532398.227200953,14122582.126673333,17272119.842375718
54632764.89053163,19751232.250858102,24145082.40246,29689138.53733524
75326260.60319921,26544751.41584,32790240.16924762,40500624.679218575
133820193.6866578,40813138.28940429,53104584.2781619,67224678.7936381
