2010,2020,2030,2040
55286499.46317133,63916814.19333333,48254154.13786334,55444301.34629666
76961021.51351477,89224345.60437621,66363153.84226665,76832260.65711905
40160320.85368493,46433367.5276119,35060425.88366238,40281430.90618095
44935855.04157707,55404984.02285714,45844511.20164286,54765980.84447143
44275935.069941,56595807.58630475,45230035.80505238,57681631.58017143
34754248.66585903,23126554.65280952,21314588.970933337,32378646.81111429
3720892.073330367,1385034.8566474428,1330815.4206825006,2823862.9191680136
500.719818915434,107.74777214066208,61.33110314078096,97.09096199617477
4005.7585513239283,861.9821771250002,490.6488251261905,776.7276959688
0.0,0.0,0.0,0.0
1890074.0723896318,94795.4928533,16018.76167084286,64407.23581222381
1014562.9216915448,50884.77409280952,8598.626836914287,34572.82140324286
0.0,0.0,0.0,0.0
316891906.8113005,279246221.02575326,191015939.06666473,254929738.10510194
271500.6568537066,2852.373307955714,0.0,10644.828755190476
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
237815.71183485087,2498.4808379861897,0.0,9324.13039847619
287474.695998302,5771.7318540245715,3299.992383421953,32168.138719584284
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
298732.49437763396,61852.72833010999,75111.10065554379,253277.00923587143
220698.99499795915,96792.91139192856,126657.21387597619,144832.52875579998
5646.859085276904,2752.334649510952,3637.928474444191,2904.266036544143
0.0,0.0,0.0,0.0
385585.5400679892,2125291.2201325283,1544349.2394186668,999852.1249099573
219323.8369408965,1189713.6985990095,871184.1119413809,565561.2801691523
47463387.30861687,38683746.58899428,37824888.94691189,52981970.9771357
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2971205.6596780275,819134.3484222601,292255.03174104897,1073625.862278932
1807191.3427950782,501130.67186327616,172676.69877808905,727431.1757866128
3529718.6959330263,978784.1827788143,337263.7736782037,1420783.3782595848
3424931.707048967,801187.152806582,367292.52060586057,1036054.6812391715
36375216.11103673,35876293.23158571,43035621.80416191,42286119.66951429
7181787.896199673,5786765.01109143,7862801.331957619,9996659.436690953
15968921.725659505,16825077.2052319,21373120.284056667,22255549.45623762
6200569.8129126225,4129878.4433119036,6510296.790400477,10517703.078159995
18202828.8451518,6266112.895267143,18495592.690890472,57599530.70034285
29454572.854094584,9074359.118755238,29442538.14894381,81684428.50137241
152841222.49097383,118085630.70923808,125545285.74485712,135949589.85167146
85134016.799059,84094850.9133857,83373433.6664762,84502394.99415715
27612514.73223344,5301656.032490047,28633033.047434665,52179310.26572305
47421036.11053248,9079375.12349333,47444385.67839571,87509444.23148428
65029772.05972786,12055913.968690952,65798804.16853333,119181891.20362525
114007617.7172716,18091699.35798286,125964741.09091096,207039817.92176
113282689.82277116,15974027.109761428,184636958.43846807,286162893.0055028
62273562.75676869,8754588.688686192,93014161.93496856,125696848.18116426
66525716.01069886,11597640.91449667,87039306.88192143,96990743.6201976
43305798.65143821,7569425.949993333,56622625.9794,62934752.04287859
100624698.44616675,20663427.185907144,119907173.10060808,135383029.75196052
61172068.06870328,53786227.70709047,63343527.4360381,104125573.99978572
871091751.6110607,811349802.372762,649326014.4141427,1024857741.8276668
198796017.49908528,132838161.4146762,132509066.1230524,199056169.54168096
293648745.04218525,207478102.40512863,189824275.8628714,269102786.45846194
1229388515.5429838,1299044040.6387615,1032277597.727,1476135815.3532386
5537363785.928361,5020666175.018095,4302758313.391904,5530300707.644285
50643351.93579836,7899668.990296665,68045303.61015049,81812251.01415618
101976.32063200658,99464.47653125238,103041.38847559047,143898.6147266
45266598.38979081,11407558.818674285,45900261.18978571,52126562.37605858
882470.9766030819,845881.0442213335,875285.4768780477,1519344.619291667
979143987.9607592,264138878.32876667,946499489.5887524,1257885281.095429
2270706.942517098,2138997.2458525714,2295821.9336740947,4054798.2031074767
1476253.0757565245,1453428.321390143,1484803.6720807147,2261937.3034061426
142428040.3726328,64878226.27960476,125001015.04172382,207096923.22628093
214983739.64060324,111129540.32518572,197171000.14756665,321219484.0593334
2101681810.8892941,1223012979.1984766,1981412041.5727136,2900664693.9415717
47614587.78004181,33874220.24313762,47763641.46508095,87888881.80280383
11981925.11218574,9493012.731073808,13180042.738761907,21989500.286325715
23052403.32366508,16805779.364354286,23435415.26686762,38358236.94965476
12572918.349281967,9564073.17795524,13570741.910829522,22993606.42088143
86938739.88510981,61850415.17390953,87210894.70477144,160474950.85222858
54318103.04156851,47453422.07675239,55798645.08356188,89535992.7925
18269349.599572957,12962044.985177144,18557201.416357145,31099036.72644285
219492130.3843476,155288068.49098098,223605554.81503808,417442384.010538
217968821.44353607,153125089.1546667,226988812.7033381,431746293.51801914
125950615.4057476,86577528.20800476,135655030.6976619,267716347.82140955
33083962.2703682,23569813.825957134,34953660.76073714,65993177.36672763
2312581.8498150497,2356591.348369286,2365153.876097857,3103788.650856429
21755617.169323444,21915140.51817144,22337646.75519095,30427784.33773857
9058784.980465475,9745557.929244762,10197784.591991428,15288011.527609048
5579275.50514673,6055940.41255238,6410541.456576665,9750244.749275712
14314543.853981804,16244610.476617144,17075529.08094571,24908116.96509333
2220620328.9844427,1775139328.5133333,2103181300.7223809,2520547637.164762
8738673.324977867,10113779.718278097,10695799.379257144,15824444.560116187
365517247.14996547,276570566.5847619,337502784.8982382,427824715.4300952
18652236.88427001,21534010.917238094,22742131.018180955,33520482.58207143
265729281.77028355,201019657.9123048,245345294.22896197,311072670.04741913
54104655.17819344,75350689.68447141,83499014.92495714,123629478.4613238
3949887274.7948203,3110067451.6204762,3587488987.8261905,4753925188.214762
36816828.07623771,55318650.73364763,57053101.37718571,68235143.99389048
902559743.3288685,821071081.6797143,914890764.3325713,1173285886.5851429
2240258356.8457537,1749094330.7099998,2262546018.821762,3598991759.7141438
2418543782.929147,2011802249.0467145,2150707348.616476,3061867274.810761
85548069.24507543,76584462.79889524,89019924.92024286,125597336.76945716
