2010,2020,2030,2040
55968724.9,68431282.05827138,52630431.12725044,40843842.41471236
77852861.22,93919755.83750544,69663259.86491498,51753789.32820547
40660284.96,49750571.79534451,38298599.52468404,29753897.94279403
44733271.77,54481968.24038634,42777986.00051491,35163764.32788157
44919353.31,69451580.66800712,65730761.58124523,45521759.30139285
35360966.55,58688943.05115345,63921196.30581062,41428067.318997264
3629572.199,4346939.061774483,4689582.301657783,2578965.225795346
47424.67548,47696.447446909006,47798.40631134356,47290.79051813865
204726.4939,206900.6696352783,207716.34055074255,203655.41420510647
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,5292502.750654765,7037997.988287985,4766873.0222959835
1250882.472,2720574.285557833,3657529.494856661,2438424.26788209
26438.39926,26438.39926,26438.39926,26438.39926
379512264.9915436,503106153.7181672,449497668.36826396,270622664.0159736
437333.5578,518627.702488988,701147.5313880839,466916.88983814954
29829.38662,29829.38662,29829.38662,29829.38662
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,324701.36541962717,484576.0542566985,279406.28634780576
306338.9808,396984.0529966464,585207.8379360568,339664.1771366815
15859.6401,15859.6401,15859.6401,15859.6401
40743.68908,40743.68908,40743.68908,40743.68908
329797.0087,457803.23733404727,599725.7429919428,447449.1471794855
334472.0998,389797.72388546506,503354.8132029671,547840.7458571575
197779.5091,198818.0214927316,201906.65404274355,204040.179737304
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,400011.1126170035,354007.55100161297,626740.0967395655
218399.7186,233876.62187177822,205160.0723528639,360433.8114711497
50565716.25,56718961.93888414,71517657.51480317,95522187.87904602
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.266,1565006.0341979538,2745630.546095811,3117898.538234621
1652844.4619999996,69118.34280606854,939979.18891864,1037764.1305133543
3214013.1410000008,120755.90819962857,1821679.1791832,2012667.9961136759
3383474.403,1668500.3049361752,3760250.883398032,3428135.119971956
36180303.27,28088389.62072616,34138357.50724141,35430917.34180237
7143323.369,5782011.260772544,6477361.768680164,6455190.335461117
15978915.89,12647204.670806758,14786973.396779615,15093609.825530093
6196272.642000001,5163839.341331322,5434329.91757275,5194797.734437988
18964471.05,15414317.242243186,15932937.151316995,14264530.754520806
30866912.38,20556294.540211294,21868706.417596065,20894638.79060987
154488607.7,163609421.03381783,88170378.4493083,105940024.7652512
84794797.59,65688512.48959643,45549381.97126313,41600193.93565834
31485148.79,11241470.463452423,13831654.362924805,16981192.078627188
54283985.8,19402453.16032647,23796303.31192837,29340359.44680361
74608129.95,25826620.76264079,32072109.51604841,39782494.02601937
135936541.1,42929485.70274648,55220931.69150409,69341026.20698029
132380711.5,51671404.30315838,70925631.51870409,78870780.42292504
67418707.75,45679855.31683166,82544177.66508974,81752359.96417548
68774324.82,51335590.54644048,96665027.33168615,95708680.4973295
44754502.59,33953720.57361761,64300088.315446205,63685099.11325428
104315426.2,74294639.30376288,132364387.2297324,130155733.73373953
63006571.83,50604474.79973991,70382354.5977161,89664962.7902923
895247507.3,1566790117.0717256,2123391236.147549,2328621811.718501
186931955.3,275755451.51007843,331778627.6678585,353366326.5556156
272861804.1,356957920.29024565,431393062.2148105,480509940.1544771
1310540681.0,1829091202.6764386,2840039730.052235,3432209545.252045
5332421961.0,6841232937.922911,8839701419.60072,10459610294.96072
