2010,2020,2030,2040
55968724.9,55968724.9,55968724.9,55968724.9
77852861.22,77852861.22000009,77852861.22000009,77852861.22000009
40660284.96,40660284.95999994,40660284.95999994,40660284.95999994
44733271.77,44733271.76999999,44733271.76999999,44733271.76999999
44919353.31,44919353.30999997,44919353.30999997,44919353.30999997
35360966.55,35360966.54999996,35360966.54999996,35360966.54999996
3629572.199,3629572.1990000014,3629572.1990000014,3629572.1990000014
47424.67548,47424.67548,47424.67548,47424.67548
204726.4939,204726.4939,204726.4939,204726.4939
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,2554548.966000002,2554548.966000002,2554548.966000002
1250882.472,1250882.4719999996,1250882.4719999996,1250882.4719999996
26438.39926,26438.39926,26438.39926,26438.39926
379512264.9915436,341991639.8272137,298695474.1999409,263550155.7610742
437333.5578,352729.70485624654,339879.6905431798,235886.1000106275
29829.38662,29829.38662,29829.38662,29829.38662
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,179386.24590420208,168130.52617093542,77039.36622562112
306338.9808,215330.4502709618,201855.3542919856,89536.21583295707
15859.6401,15859.6401,15859.6401,15859.6401
40743.68908,40743.68908,40743.68908,40743.68908
329797.0087,242555.1799342656,232810.3682822132,121006.17932262267
334472.0998,319958.82985678717,318559.96998549195,299670.99236729194
197779.5091,197779.5091,197779.5091,197779.5091
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,194951.2182129309,277122.2667295785,477983.4013357599
218399.7186,117728.2284555132,165024.8588714656,278655.7559926189
50565716.25,34352810.31853701,38520626.60527033,39441416.60029416
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.266,2789352.0877929,2464918.9345187843,4012090.2971824277
1652844.4619999996,1001894.4979773634,707445.5317125685,1619118.5793253472
3214013.1410000008,1942609.1652723947,1367505.690277442,3148141.3786737183
3383474.403,1844937.8925610676,1303983.2466297916,3207820.8269550162
36180303.27,31194879.02307723,32001228.823039137,38712115.92848198
7143323.369,6253837.116729141,6406528.314341045,7594981.405251523
15978915.89,13881247.541068712,14203758.309030145,17041402.79486776
6196272.642000001,5469350.583910267,5590016.98148979,6560731.815048837
18964471.05,28054608.88341591,21636897.96819543,16715962.17916876
30866912.38,30866912.380000014,30866912.380000014,30866912.380000014
154488607.7,164135502.58215714,193973696.8778952,151617684.01512378
84794797.59,141394452.97018403,215578261.1877126,124506541.03330314
31485148.79,31485148.789999977,31485148.789999977,31485148.789999977
54283985.8,54283985.79999998,54283985.79999998,54283985.79999998
74608129.95,74608129.95000003,74608129.95000003,74608129.95000003
135936541.1,135936541.09999993,135936541.09999993,135936541.09999993
132380711.5,264224151.22037548,381812571.40822315,445293692.26344687
67418707.75,64772581.38949892,75443290.47676079,73941969.47693226
68774324.82,68774324.81999996,68774324.81999996,68774324.81999996
44754502.59,44754502.59,44754502.59,44754502.59
104315426.2,104315426.19999991,104315426.19999991,104315426.19999991
63006571.83,63006571.83000007,63006571.83000007,63006571.83000007
895247507.3,877952599.030415,815001019.1837965,616781483.6684152
186931955.3,254203327.22112945,327613128.9190437,233839983.9477295
