2010,2020,2030,2040
55968724.9,44034830.22259115,46418753.15781685,33507428.140156854
77852861.22,69738924.03338912,80209532.50991291,54881976.96948434
40660284.96,31816320.92160514,33389075.8545661,24140555.904753715
44733271.77,33320512.000688534,35630989.65465995,29296643.906888533
44919353.31,31174956.87067711,34846565.94058662,27988788.01211043
35360966.55,23496138.23230328,27162762.99069852,20365514.67647947
3629572.199,2864991.8286241693,4017966.962020984,1978854.8671553787
47424.67548,47451.870405823254,47702.833097223935,47251.83773351044
204726.4939,204944.05330659144,206951.75483779784,203343.79192808922
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,1936263.2228905482,2777055.5727327857,1887254.6919315725
1250882.472,918996.1194318172,1370320.623297817,892689.0878263952
26438.39926,26438.39926,26438.39926,26438.39926
379512264.9915436,256899042.96077508,283628471.1183083,177824696.8128473
437333.5578,323631.36654591444,431350.4861564121,327534.05478102627
29829.38662,29829.38662,29829.38662,29829.38662
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,153898.12326546118,248252.5878373984,157316.60700486507
306338.9808,180394.4952053046,291792.0303296093,187303.9714148346
15859.6401,15859.6401,15859.6401,15859.6401
40743.68908,40743.68908,40743.68908,40743.68908
329797.0087,180513.85640954535,250603.2323488596,193224.14202279772
334472.0998,319675.9612092818,339578.67687178275,273562.7263965165
197779.5091,198180.845325629,198541.35670903718,196558.80154293554
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,318206.32421195623,373331.20528449904,244380.223209
218399.7186,181522.56722022282,217790.52009499888,143390.60359605605
50565716.25,35451530.30400467,46778010.70714527,43650989.510571465
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.266,3881586.0702354535,5172077.0520984065,4885681.231020835
1652844.4619999996,1506426.8587426022,2207718.46207965,2062959.8581740311
3214013.1410000008,2928037.362235268,4297766.1922615515,4015030.690764982
3383474.403,2664147.19242266,4448449.242797803,4144407.718127804
36180303.27,44879021.94043788,57092719.80252267,45869038.68982266
7143323.369,8442863.006311562,10651820.698007753,8701408.891026326
15978915.89,19668141.854495134,24958993.862930857,20089363.22242276
6196272.642000001,7097204.895593265,9111591.599147547,7505919.258148028
18964471.05,23739643.962350067,38939381.36108481,30393774.13435005
30866912.38,36129431.1135418,60036245.46113084,49515651.56110083
154488607.7,151099481.67239007,157348030.0508901,146045138.2518377
84794797.59,75978576.6284543,95558278.51046383,94864960.0812686
31485148.79,31870004.09146973,52143390.85167925,51484227.55168925
54283985.8,56073815.82054141,90979907.07288286,88597965.4668538
74608129.95,73864668.50446674,121364813.43510292,120437008.74815533
135936541.1,116000823.02892146,189301712.92876962,189793892.00844908
132380711.5,100426966.39601618,154910808.89003766,149378520.55017096
67418707.75,79599749.4294897,98246608.25250396,92445812.95503063
