2010,2020,2030,2040
55968724.9,53799314.06392392,49148099.55310098,52951849.267116174
77852861.21999998,68319929.6097471,71762869.16543692,75049753.72164339
40660284.95999999,39201443.89420659,35634456.07966466,38438761.03208549
44733271.77,44587625.17658479,41815894.95573494,42509603.11518955
44919353.30999998,43177096.791325755,42660523.18738714,42652901.375695854
35360966.54999999,30664753.054630917,32506853.306055095,33224905.52541068
3629572.198999998,2957287.513134395,3098420.2277922877,3174043.52177915
47424.67547999998,47385.575615971924,47457.51009151381,47396.195917911755
204726.49390000006,204413.69498777506,204989.1707921084,204498.65740329225
265813.41659999994,265813.41659999994,265813.41659999994,265813.41659999994
2554548.9660000005,2305460.052158718,2197299.0481068417,2604950.5850249636
1250882.4720000003,1117175.3438613848,1059116.1672994124,1277937.292020836
26438.39926,26438.39926,26438.39926,26438.39926
379512264.9915435,321947612.27305096,267205505.10574412,250593389.7765689
437333.55780000007,386472.57031789195,358692.5396838997,371921.8162293194
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.34289999996,208942.6516315502,184609.27492224745,196197.2020203737
306338.9808000001,252050.29124528117,224139.247372094,238722.24571025633
15859.640099999999,15859.640099999999,15859.640099999999,15859.640099999999
40743.68908000001,40743.68908000001,40743.68908000001,40743.68908000001
329797.0086999999,271725.29929571034,254105.40574842028,281352.52925709
334472.0998000001,298603.78430813784,273208.4824349132,304893.5994833807
197779.50910000005,196919.8727123598,196149.62049290678,197023.84695794192
139856.24289999998,139856.24289999998,139856.24289999998,139856.24289999998
372812.58989999996,368657.67169343185,463788.8870590336,513723.4366709802
218399.71860000008,219244.24236965564,271814.09002971416,300463.5838691877
50565716.250000015,36405408.435012035,33054699.615903985,40507075.709760025
0.0,0.0,0.0,0.0
597472.6990999997,597472.6990999997,597472.6990999997,597472.6990999997
4654.976945999999,4654.976945999999,4654.976945999999,4654.976945999999
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000017,3331267.416413543,3212747.127273331,3418021.4354678295
1652844.461999999,1193402.9133135183,1108411.94437005,1290033.682558503
3214013.1410000003,2316654.136624179,2150653.888083631,2508553.7232763986
3383474.402999999,2426602.3099981,2096785.4761543747,2905513.8790764315
36180303.27,30207130.807630457,28582097.09984699,34622738.8108274
7143323.369,5942085.86955785,5827383.950337124,6757044.318751792
15978915.89,13545251.30699965,12979201.276283659,15539470.280362893
6196272.642,5175647.322363033,5177026.059834316,5868768.791179834
18964471.050000004,17109784.64228828,16560751.000371072,18426242.9957034
30866912.380000003,28181007.34676969,28220374.294920515,30113788.587895095
154488607.69999996,225053858.79885894,188648598.65065768,207085915.82612926
84794797.59000003,71207594.85623816,72453936.68244502,96014703.08061646
31485148.789999995,27592741.114145644,27927639.667700864,28619888.430361353
54283985.8,47437610.23440939,47932008.195359126,48999446.25217482
74608129.95,64888934.62599682,66916521.70935589,70367524.45952283
135936541.1,117824485.7760094,130314633.32258162,151644166.05300012
132380711.49999999,150603599.20760393,162541676.24620545,181713906.97355044
67418707.75,75697375.3127842,98460186.03901716,112526700.0625095
68774324.81999998,83970029.12430906,99017928.53655125,96220315.76810151
44754502.59000001,54777203.20558375,64893986.0997725,62981884.44333981
104315426.20000002,126187378.18280609,148319636.8644274,146882269.7901055
63006571.83,68300475.89783505,75334557.0623308,79109291.98417129
895247507.3000002,932642757.8708127,1028620216.1549766,1206144716.2931943
186931955.30000004,222523233.367459,238595436.47568563,254691511.73787135
272861804.1,287230655.597349,319793715.89511776,349969247.85710776
1310540681.0000002,1306201963.2268748,1448652933.1038308,1657826615.4661026
5332421961.0,4788304533.509256,5260959654.977186,5893027131.123802
53090729.74999999,59173868.14313537,62963835.041095056,66744837.251822576
333539.9671,342426.55771259696,348526.9590835447,351569.37449120166
47270845.92000002,55657658.84112659,64853620.049651265,67165258.40197808
1743044.0600000003,1905598.7480427644,1919026.51521023,1966923.779113236
1011642833.9999998,1151571381.1659043,1289155079.858355,1270777991.444026
2276765.7180000003,2800427.7387477597,2798849.298289044,2965199.3205718324
1789053.183,1964435.0399298114,2018978.5538662723,2092338.1004235386
148406084.6,183076976.31924525,200686885.3329243,195313882.65444767
225658188.0,268336667.86656478,295570096.9915392,296796339.372769
2217466602.9999995,2661592285.2450757,2803291080.9829516,2866218745.8676133
46840383.56000002,60658066.36391337,65808107.752255894,69383985.53580807
12867877.849999996,19669921.229136173,17750938.129255876,18626318.111473486
22464039.45,28406471.175198242,29946224.70547672,32854843.588443033
13328176.199999994,19615935.970923297,18248477.257101554,19287665.788069714
85525132.37,110754625.8322736,120158006.80294245,126687146.77832763
53012451.36,68556904.7696754,67289103.05714998,70935420.64173914
17984684.83,26655098.749834802,28010551.771810774,31602415.685741395
