2010,2020,2030,2040
55858272.626683414,53688861.79060734,49037647.27978438,52841396.9937996
76960926.53963463,67427994.92938174,70870934.48507157,74157819.04127805
40590805.80511874,39131964.73932533,35564976.92478339,38369281.87720423
44072900.2082873,43927253.61487208,41155523.39402223,41849231.55347685
42990168.79693457,41247912.27826032,40731338.67432169,40723716.86263042
34291216.735423334,29595003.24005425,31437103.491478443,32155155.71083402
3695163.070358923,3022878.3844933184,3164011.0991512113,3239634.3931380743
490.26063704235116,451.16077301428135,523.0952485561636,461.7810749541098
3922.085096337258,3609.2861841123777,4184.761988445632,3694.2485996295636
0.0,0.0,0.0,0.0
1943738.9299224373,1694650.0160811557,1586489.0120292797,1994140.5489474013
1043369.3983506128,909662.2702119976,851603.0936500254,1070424.2183714488
0.0,0.0,0.0,0.0
311652868.7996937,260947478.34261543,215092412.29657847,202301166.02548045
287849.31272731104,236988.32524520296,209208.29461121088,222437.57115663035
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
252135.99849330029,207585.30722485052,183251.9305155477,194839.85761367402
305653.59481186717,251364.90525714835,223453.86138396116,238036.8597221235
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
320813.2687522616,262741.5593479719,245121.66580068186,272368.78930935153
222733.76301525268,186865.44752339064,161470.14565016594,193155.26269863342
5581.363517344076,4721.727129703897,3951.474910250866,4825.701375285969
0.0,0.0,0.0,0.0
393649.9814587449,389495.0632521768,484626.27861777856,534560.8282297251
223737.9907316864,224582.51450134208,277152.3621614006,305801.8560008741
51024311.72203472,36864003.907046765,33513295.087938707,40965671.181794755
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2947336.3033201993,2295677.4537337422,2177157.16459353,2382431.472788029
1784262.2217545393,1324820.673068058,1239829.7041245892,1378433.6004605873
3484934.6460658386,2587575.6416900177,2421575.3931494695,2692289.8175939806
3451201.5965762525,2494329.503574352,2164512.669730627,2960786.979530696
37004943.706327535,31031771.24395799,29406737.53617452,35447379.247154936
7282597.26139785,6081359.761955701,5966657.842734973,6896318.211149643
16223901.663565425,13790237.080565076,13224187.049849086,15784456.053928318
6292582.541019454,5271957.221382487,5273335.95885377,5965078.690199287
18476336.188742183,16621649.781030461,16072616.139113255,17938108.134445578
28345571.529865753,25659666.496635444,25699033.44478627,27592447.73776085
156097886.52938807,226663137.62824696,190257877.48004577,208695194.6555173
84324163.0535936,70736960.31983174,71983302.14603862,95544068.54421005
24832497.827290006,20940090.151435647,21274988.70499087,21967237.467651367
42665478.24162474,35819102.67603414,36313500.63698388,37380938.69379956
58528764.7812246,48809569.457221426,50837156.54058049,54288159.290747434
101225748.29413164,83113692.97014102,95603840.51671328,116933373.24713172
103542245.53635885,121765133.2439628,133703210.28256428,152875441.00990927
54131580.990460075,62410248.553244285,85173059.27947724,99239573.3029696
56940468.33370872,72136172.63801779,87184072.05025998,84386459.28181025
36989703.41749283,47012404.03307658,57129186.92726533,55217085.27083265
88217093.7019967,110089045.6848028,132221304.36642405,130783937.29210219
60065734.2581303,65359638.32596534,72393719.49046108,76168454.41230159
909193932.379297,946589182.9501098,1042566641.2342738,1220091141.3724914
193777650.28047863,229368928.34793758,245441131.45616418,261537206.71834996
285358679.24687016,299727530.74421906,332290591.04198796,362466123.003978
1279817053.5700552,1275478335.79693,1417929305.673886,1627102988.036158
5432711364.208265,4888593936.717521,5361249058.1854515,5993316534.332067
44933074.92401951,51016213.31715488,54806180.21511456,58587182.42584208
103499.68119401338,112386.27180661034,118486.67317755806,121529.08858521508
41219025.07537609,49605837.99650269,58801799.20502737,61113437.557354175
902741.3813639734,1065296.0694067378,1078723.8365742038,1126621.1004772098
904706332.7377101,1044634879.9036144,1182218578.5960653,1163841490.181736
2320869.7464071694,2844531.7671549283,2842953.3266962124,3009303.3489790005
1502283.8992060982,1677665.7561359087,1732209.2700723705,1805568.816629636
139715345.09919322,174386236.8184385,191996145.83211744,186623143.1536409
209204659.06253988,251883138.9291046,279116568.05407906,280342810.4353089
2086399205.7886229,2530524888.033698,2672223683.771575,2735151348.656235
46546654.83591852,60364337.63983189,65514379.028174415,69090256.81172661
12526035.391644536,19328078.7707807,17409095.67090041,18284475.653118026
22334081.411281917,28276513.136480156,29816266.666758634,32724885.549724944
12932312.699104995,19220072.470028292,17852613.756206542,18891802.287174705
84988817.62871476,110218311.09098835,119621692.06165719,126150832.03704235
54807153.819292106,70351607.22896749,69083805.51644208,72730123.10103123
17933055.082645625,26603469.002480436,27958922.024456408,31550785.938387018
214054518.88725713,284504153.5711575,310203010.6110321,336558775.1415324
212680066.41771227,295207661.99433655,323421877.48970395,360389201.72152627
123814754.45155081,187603173.6657832,207805698.55017906,231636406.679311
32736060.74742098,47372676.944875255,51341037.77046731,57615708.78040784
2343779.7390271756,2541250.0111819203,2732295.332755548,2785056.8736791643
21885245.57814483,24295367.885158096,25921363.968576457,26079859.870039813
9167236.445130603,10189925.597351622,11450014.5654372,11663999.215052554
5649547.1761886235,6341704.604775533,7193229.942092256,7313889.728622555
14451991.52346256,15981888.39864731,17650860.736917246,18042702.81031779
2266052501.715532,2344053943.1757555,2413234447.951094,2422458204.4488616
8832437.348152172,9790659.811583227,10804242.001010783,11080657.601815287
374900768.41191804,386499870.6894482,400312283.9772452,407038352.17364913
18846757.521437127,20872777.926001113,23019162.482703257,23597211.239996772
272553918.90815884,280999987.6342323,291046827.39514804,295945079.56398624
55884770.140475124,66495048.86997156,73626654.23549113,78492298.54513176
4068871016.147175,4301336328.176168,4497174814.902597,4604274331.786249
36472409.28954412,41792156.41135726,46455831.777176194,48904091.223497346
910025397.8594961,954010717.3830094,987924291.1591111,1035593219.2002738
2185143079.5216365,2387827760.3521986,2454631592.1384254,2605845486.4652143
2437880596.9498568,2741478485.8132343,2971941237.4394994,3046328887.1152616
85885069.9715015,96841985.1857943,105615314.27535397,112520309.06457631
101936471.75906298,115167444.43949297,126789903.44656442,136386463.30637696
55838662.35203765,59899483.33340984,60611839.56491843,62424834.44217132
3660972764.975623,4247275060.3456535,4771636665.504675,5057134083.342155
239116292.99561268,266442695.28026295,267505240.85073984,276811283.8014757
2827072099.763678,3128587976.723738,3257832674.514962,3301102788.415077
37373271.14249797,38580490.053661585,45394725.17994211,50753972.08487926
2952319577.623439,3240721817.678956,3260240100.7938485,3348364901.2353544
1044411170.7646675,1175225035.4801745,1208947252.188356,1240737957.420549
134881865.22195512,146078481.2410834,155837277.02950534,160429808.9483452
1104583404.1682177,1299552296.632885,1422107238.7889733,1504116523.8023646
55845641750.586945,74012760643.48305,83751771753.02245,88030676961.42816
416265377.8737016,770354848.140302,953312296.5477071,1024648043.7070374
503574001.2873634,658114908.3016136,746020375.4603934,807646954.0054799
487282257.1150704,648055062.5741255,735952531.2652074,797641629.7311856
233575233.92672166,389151279.5185952,482332766.9809671,550309195.1081674
957177215.8070979,1041713482.4353148,1069484724.5885937,1078385809.9267526
632571472.831923,846731828.1365787,933754217.8750387,995015014.9076556
259237600.10246134,354590533.366443,392902189.5697818,418492409.3823832
1671615853.2490466,2115627091.9706783,2490322466.086662,2821438732.3713446
250976175.7799663,328330389.78661186,365813917.7064236,351919070.22361547
137916285.60155916,164819396.17603102,200538805.44807208,241172249.52799916
69064217.9240003,81485793.73961122,95832631.7355041,112620953.42336842
10578673177.110102,16404349553.093208,20009549679.105152,19244911035.759804
313361521.70350695,375659352.8636463,438978509.23881084,534666353.2529635
194806571.9254964,225905793.04481232,253862271.84522107,298473030.2288126
309790620.11624044,346388329.983321,375352898.4115855,435591993.0687535
