2010,2020,2030,2040
55968724.9,48650897.27684215,60997282.13301834,58899001.81520882
77852861.22,66251475.63834672,84685564.2591515,82268737.16391338
40660284.96,35364163.23003193,44320744.99348907,42784869.13356052
44733271.77,39682367.17392923,47432995.14772447,45673510.49533874
44919353.31,31390187.108726714,34916313.97426957,38793827.35718861
35360966.55,26549179.341552436,24775268.443997666,27003096.47602148
3629572.199,3005566.340947178,3166658.365906006,2852361.156860696
47424.67548,47340.189582842526,47347.91949899402,47272.02510241346
204726.4939,204050.60672274386,204112.44605195386,203505.29087930656
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,1763300.8199180271,1288193.9002396464,3576806.353825403
1250882.472,826152.5407246458,571122.3958303981,1799614.6393046982
26438.39926,26438.39926,26438.39926,26438.39926
426104395.3971926,347904698.21809924,379314110.33191705,412697846.9235746
437333.5578,336994.07419795624,250815.34957685482,313403.08940531197
29829.38662,29829.38662,29829.38662,29829.38662
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,165602.92674216582,90116.35157779246,144938.86313978294
306338.9808,194001.2040520668,102333.22786122444,164813.87038440534
15859.6401,15859.6401,15859.6401,15859.6401
40743.68908,40743.68908,40743.68908,40743.68908
329797.0087,137018.59933383678,60470.96401910633,79114.21647368146
334472.0998,179277.26406327737,172254.43206267073,180183.66557753528
197779.5091,193873.46851192374,194037.4233531314,194294.71772351663
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,117830.914484246,49240.119493369806,56275.29919837458
218399.7186,74056.3445009275,34766.73771453225,38838.86063263225
50565716.25,51449946.9985637,17051082.90096846,40248888.49166368
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.266,1939082.9467472944,1886435.8457358654,1306433.9738073891
1652844.4619999996,369300.30194726103,313355.0372433657,0.0
3214013.1410000008,707056.7875067034,597787.2032085608,0.0
3383474.403,1285344.6601364391,1816428.4971235709,1304943.9575050706
36180303.27,30037988.96809672,29568308.04559196,23319515.26603005
7143323.369,5978524.816138563,5790477.003851417,4722160.660811419
15978915.89,13404639.07635885,13067385.805177895,10418598.28559266
6196272.642000001,5291856.434230643,5024818.1248035,4084573.1959373113
18964471.05,18437712.67390901,17098543.881430916,12315743.398978528
30866912.38,26959354.965317484,25430840.221528433,20340332.480913676
154488607.7,88974583.44502181,96932413.35755038,58393737.31587895
84794797.59,48884123.63385595,50684142.901313104,46385967.78155594
31485148.79,20334715.470507585,20256971.422908068,21714362.26276234
54283985.8,35145244.21176404,35009406.53438881,37221913.60131928
74608129.95,47793412.40899556,47619801.35756365,51057419.77119461
135936541.1,85071608.02124894,84930374.3502761,93466340.12559704
132380711.5,84258285.25908266,88057620.16483268,90771092.90380456
67418707.75,46868393.82478112,62624805.1886673,56806863.10841255
68774324.82,49614636.70520493,69667189.46467064,61810214.91545827
44754502.59,32512915.253505066,46029830.50854507,40776399.19397649
104315426.2,72564147.57985923,99082187.57888308,88274102.92521161
63006571.83,47318142.11492497,50485255.0916345,47353077.30503926
895247507.3,896840170.3693564,1161046372.8974571,1274412767.1862185
186931955.3,201563383.46654183,261771859.7888057,294329454.0121199
272861804.1,281383674.76455986,361927252.0246223,407913216.15738887
1310540681.0,1248541697.7360632,1209540639.7322636,1263037577.664407
5332421961.0,5733295049.078297,7023797083.404868,7729972066.270106
53090729.75,32360571.3213943,35597134.31141478,33212779.94307096
333539.9671,340965.14653080644,343163.9628716541,318204.6249387255
47270845.92,29847151.680214915,37199496.68118444,33765275.15933825
1743044.06,1848020.332753443,1927132.093263728,1532634.16673949
1011642834.0,751177193.9670651,1045292118.4073981,911181426.4383504
