2010,2020,2030,2040
55968724.9,60007692.56931295,50417485.50246535,45747384.50710344
77852861.22,85955557.82477233,74285830.8909723,56548018.00121515
40660284.96,43562616.38924623,36534244.539109536,33339030.332583845
44733271.77,46734478.61399078,42709269.67273365,43562177.014181264
44919353.31,49154717.99159954,47200350.55561858,51537953.35420431
35360966.55,42876339.67407095,38160880.63313763,35940200.06145191
3629572.199,4957049.393791393,4674917.808390824,3899410.035205715
47424.67548,47753.17082245173,47639.12202900893,47462.15948531198
204726.4939,207354.45663961238,206442.06629207148,205026.3659424917
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,3555768.316905405,3352454.6474164063,2713932.601047264
1250882.472,1788321.7421046041,1679186.0666575662,1336437.1752815235
26438.39926,26438.39926,26438.39926,26438.39926
426104395.3971926,467330614.95864975,445964165.2582481,433510077.31963575
437333.5578,518137.4983012082,579568.9856025707,528198.4806379469
29829.38662,29829.38662,29829.38662,29829.38662
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,324271.98060868913,378081.69529257546,333084.70211048337
306338.9808,394090.1445179486,460919.82584354037,405288.9000524213
15859.6401,15859.6401,15859.6401,15859.6401
40743.68908,40743.68908,40743.68908,40743.68908
329797.0087,444067.9434532501,541814.059353728,476452.30464079883
334472.0998,414479.95803639287,503158.87281797506,468899.3966450901
197779.5091,199742.6614918276,202078.29331276953,201326.74482504555
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,516270.80249802227,685772.0664654316,599520.8360739022
218399.7186,312543.0448950599,398624.03061821696,339056.6362395311
50565716.25,38120722.01941058,46365018.10488486,53234861.25958298
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.266,4447114.013621493,5279366.810032863,5195871.101213245
1652844.4619999996,1981779.56237242,2437708.698139286,2218499.8319128584
3214013.1410000008,3856473.2646388733,4746971.99403611,4318823.84219711
3383474.403,4489003.79637741,5025547.0475713145,4382213.397059754
36180303.27,37981420.86835472,40415860.67718805,38172686.84218329
7143323.369,7076507.657745169,7638568.825532309,7273416.958791835
15978915.89,16843923.752649534,17907748.07783621,16762633.714583833
6196272.642000001,5907283.362860798,6435885.892957464,6043019.451558894
18964471.05,18127351.92819487,19401349.820309628,15324687.733652487
30866912.38,27102978.6618867,26734270.83185432,20322583.52323575
154488607.7,130866435.97471142,178801925.60476854,205094147.88575435
84794797.59,70518770.54969537,91694316.34854774,112986418.34770486
31485148.79,28766025.794151384,26220820.22144329,18572921.891617235
54283985.8,49210593.88810059,45119058.44536678,31800694.93796441
74608129.95,71787720.64455585,58750753.24825633,43169784.229613945
135936541.1,162683723.57060885,86771975.24660219,79929002.90318985
132380711.5,155408311.85354868,89510064.08480063,100916121.93828589
67418707.75,66435120.81283209,65992485.68294733,88645775.24164733
68774324.82,94776232.26791674,108475291.56891626,181898899.08822575
44754502.59,62764206.85146886,71905648.82634601,120477397.90570316
104315426.2,143483429.99752504,170582894.66653356,298339107.2550812
63006571.83,65376493.77005682,56282143.22205683,63257219.43812826
895247507.3,1409058212.1440606,1550582665.9653454,1498766524.6028693
186931955.3,389814502.121406,506127620.977025,414447784.00878686
