2010,2020,2030,2040
54927297.17731328,42747269.39632429,39904949.726841904,40520062.75110714
76439187.03703439,59905778.84346667,59773672.02379524,52593283.63278095
39898725.79371081,31022836.32423286,28884670.052484285,29497776.560753334
44287990.12373114,37601168.79156667,34024544.40149049,31456882.38665238
43835574.13728362,36065229.926628575,31305579.647185717,28301765.09371428
35053699.75685082,28578164.101961903,24039381.38515238,21153862.162466668
3633044.917690196,2692718.7944992757,2450945.7351475325,2039879.9258883528
524.7913842351805,547.1484061371858,556.3305520418952,343.69528319599516
4198.331073877597,4377.187249095333,4450.644416336667,2749.5622655692378
0.0,0.0,0.0,0.0
1997920.9014750328,1179517.3135419046,1241507.858000762,1068861.164155595
1072453.4539251754,633146.8958245714,666422.4741852762,573748.3633204589
0.0,0.0,0.0,0.0
414217228.13675743,347785183.6560345,321804127.1106728,297653332.3933055
299015.3125934459,220625.09049758856,203390.3561023,183262.4897771619
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
261916.63857453925,193252.25048551144,178155.82060573337,160525.2081670619
317605.0575137634,231718.2782159491,220772.98053922094,199410.9191830238
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
337009.77311591804,204194.68771676152,290620.45237771265,286838.9358380224
239546.63243954,119422.0481439246,212640.16018468078,249839.42243099574
6040.979423695865,2890.7354838624715,5292.791101967472,6514.928234539146
0.0,0.0,0.0,0.0
388156.78743515967,370185.6764937048,413178.14775876666,419859.8535491857
222188.96605897983,212402.3255693286,225430.2514540671,230516.25998506718
49724298.07901109,42022390.67362334,38319867.09472741,40455034.38927169
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2765525.5021886723,4939847.53736981,3911121.723773604,2741126.741442892
1697401.6161320168,2674100.6637045243,2127540.638439524,1631241.0347784285
3315282.71362013,5222924.039072524,4155409.441177933,3186061.0670765038
3281602.308690605,4285009.183005143,3139807.8530950467,3015135.9371611914
35808980.3011323,38941103.97283333,38192901.46445238,40156977.36277144
7029323.368599016,7697542.402132857,7761188.709910002,8260595.921557618
15696025.520672787,17132616.11577476,17048780.08190762,17808437.948149998
6050077.695171148,6756327.706608571,6955995.215133811,7415566.178630003
18332774.4096523,23507035.32422761,21025683.454553336,23131667.832081426
29755837.11584049,35505296.68741047,30657678.63385238,33531779.62685333
150851108.90245086,156137241.70342383,146432128.07230482,155130621.47045243
81506494.50008528,86833542.38491905,109958948.53086664,113630474.51235716
27840869.65782329,30434763.19753285,27249519.808071904,24023642.03852905
47551683.37702195,52419497.33297429,46409313.95390761,41407809.33818095
65220722.86904492,71409906.28470953,69485109.48164667,66069068.36590858
109993532.86017716,116460550.29600044,153987260.56672424,171081169.12702385
107481095.76976328,104368591.74665049,126440655.33127904,110321896.74875855
64323837.51448362,79430386.46084286,128037591.49384762,152213587.2614619
64406380.31445409,93799497.26190478,139664764.00979048,147505150.02559525
41854378.2162246,61299563.57381144,91169776.8641795,96006816.40935144
100894543.25066066,143119796.80077618,201990004.7910048,213137988.5656572
63347922.39004394,87316183.65397143,104649615.06040952,116673167.18869998
937150534.4752461,710897603.1840472,773637890.7609048,894593156.5149523
202859640.64502296,183378413.9025524,200150173.4991476,235121764.83072865
294140099.15127707,265209700.63048625,280120327.2907052,323366893.64431906
1313757969.770524,1082641446.7401905,1312404632.2015238,1501127842.3064284
5529262253.6004925,4570546566.939525,4980308867.561905,5367847599.739049
51664005.279098205,62298463.38446049,97291608.79884236,113703056.89684334
105028.8341109115,80518.72609452857,110791.25139038093,109826.96850742381
48134116.76629508,64305350.26124762,82133836.3200143,88225699.51523809
912376.5399877212,764713.1999199523,971192.0275142385,1035760.461536
1020092313.7973932,1503821582.623809,1997490206.4600477,1959328427.5462852
2331244.223379968,2002380.9035277143,2457465.4264515243,2677744.177370143
1507870.873502229,1263813.7289094762,1558074.1993871904,1556024.2260560475
155640115.51139677,222719348.0117809,273698514.9371524,233520204.12512857
232004490.34330168,345165720.3342143,428772676.52080953,342947480.1965572
2210512301.439065,2896489376.517191,3358135670.2847624,2836685790.777857
48019677.04359525,53097243.73836143,61420026.45372762,64895340.13704714
12467226.638566887,11379748.33514381,11492914.63020619,13203575.892531905
23916050.02511196,20631847.871978574,26797435.70305096,30198092.61278286
13212480.730940493,12018141.137267144,13115076.82346714,14719832.55198905
87678386.11034691,96949436.65819712,112145876.9792562,118491398.51837333
54545935.28964393,49262107.27479953,56216044.18374716,59778351.292614296
18933607.11100918,16560350.450990478,20219213.10129,26146978.94996143
218067562.23931968,216127435.6126714,236244449.59306672,269664502.34431905
215028992.4212967,190168090.77036664,197101783.88180003,252743845.99728572
125186494.03492296,104245950.5299238,114909242.15619524,155060127.3443762
34411544.749046706,34956147.442746185,39646491.48019952,52312622.3567819
2326459.2226003287,2007944.0442377143,2449667.0397610483,2363930.4646689044
21934239.399712946,20404804.65433476,24357872.00515048,22963269.21526047
9431353.682298522,8478625.189729523,10687927.023684284,9766691.593664287
5804704.470732788,5237091.537755238,6764456.180333332,6028093.3625461925
15191437.674693933,14536575.393098095,17410264.73483095,16209809.062924765
2258292359.741,2536882836.6384764,2679560130.923667,2531070564.812619
9389362.24234065,9108944.699720953,10773473.984523335,10106269.42241762
374428430.9801787,424140396.131181,458813733.692157,453807087.5429715
20004969.65359672,19386317.68692381,22934189.64992857,21510350.679261904
272213299.94378513,308379340.41129047,333612623.49591905,329997879.60511905
59850058.4918754,60793989.20680952,60476552.02546666,57708085.29418095
4121313987.578032,4226476809.5142865,4904608466.952809,4749746678.349953
37830284.96245738,35621728.19194286,36782771.76226191,38638458.58100477
930862403.088508,1015933166.6686189,1028201599.9347147,931762131.9678572
2269782073.933771,3681452433.1236672,3595051806.758047,3298879561.693476
2488466214.314097,2553144331.6905713,3237631774.048763,3120786487.408001
88630076.2040918,103727583.8919143,121751866.73265712,125995777.07539047
108069163.31253275,128912209.28659998,164543940.9678143,192827324.49515715
60304280.62325802,85194567.74244761,79126086.69714762,85328380.13505714
3909290519.167296,4186622848.0148096,5607274480.550525,6052567760.266667
253470156.5126837,398304659.55619514,434640671.88921434,398543337.8491666
2896807622.892739,3516275172.419429,3788823875.9709,3736694383.6096616
37654757.21336132,35467580.01731429,38580238.08259525,42503129.13955237
3021063262.279573,4466223174.730952,4476103641.856476,4147445912.5709047
1059366330.7148854,1336216467.3037145,1403888692.667,1378167354.640524
141887448.1609031,164520480.6562714,190567110.31612852,190394989.41294765
1129644062.241016,1157083352.649762,1382231592.6739051,1425174858.689
58856739540.181496,68245526124.979774,80508518393.57007,80755277981.43953
433081913.85825247,367153673.2251144,473279462.3335714,464183690.43248564
526333249.341449,498406027.97738105,653373271.0460478,690862381.6629049
511835953.4119688,485541488.11615705,637338414.6762381,672987957.5388098
253462250.9106869,205285248.4538476,253452735.5945381,260463284.21713328
946037196.9588199,1193532247.3322382,1181833673.7225714,1149037296.6850953
686165898.9464719,618355387.791981,736545489.9547906,788889733.9409858
281449219.86166227,246795988.1931857,289467466.7725857,315263152.9791667
1786847911.2618184,1661073498.0930002,2407154671.5176673,2635368386.846
254449600.90784097,217572042.5106905,237110990.96534285,276256302.1759524
143580268.86300015,133708885.84737615,214480523.1064571,256841158.69262862
89250040.64987217,76872953.31947143,105006421.46781904,121910788.0775095
11238012276.056509,10807913398.103334,12744944532.171906,13588713599.030478
334875846.00396067,336538411.9825143,461505999.0579952,566488472.5761381
233621901.3257984,210718315.32270956,247118291.63291907,299899979.16579515
362804329.9717491,316956936.44304764,332676783.5215905,425423891.27088094
830464228.1947901,722411084.3782381,842514674.7074144,1000201587.1933905
65173281.13423607,71541746.30865714,70784508.55952382,83984105.34530477
564158771.8164178,495682118.0187095,488451718.5187668,639974520.2212857
85038783.90221308,94154520.7079333,107812875.15564762,123484278.63827622
801431655.295528,619232598.7189476,660911534.093681,787919227.897524
105881608.12428673,92050033.72002856,97925177.17313808,116625522.24319044
1023638830.5521476,893276253.5944283,1030213742.3920476,1221252340.440381
203389394.90160325,177633751.11371428,204076724.61246663,243076500.4483143
737269271.238508,656654804.1323332,731763729.8396188,843965638.5483332
572171223.5775198,514871992.1997762,556295289.3126904,648686629.5128049
5649964510.896229,5140670030.142857,5341399000.830478,5756166423.161906
419680904.42798364,404735325.23438096,410829664.5170476,446686344.24247617
722059873.6680822,685494696.7120001,701214095.3498095,761801024.8882383
890144732.0832785,833864740.056619,854618335.3387617,925493869.5188096
9445584614.44377,8884686908.571905,8490011869.333809,9054875378.87095
56798318.83865248,45778228.53890953,43700194.80784286,38729233.11785239
72028096.71285738,56204091.54637142,54021367.326861896,51593250.42962381
9148415.589545082,7113254.717152857,6622992.603153809,6763572.359194287
59872830.58621639,49401469.56608095,45244779.04852857,43379786.76928096
21178447.117322944,17865437.614038568,15471789.976367146,13856059.523844765
431739.19767759024,353007.04074047616,303867.0486282857,273589.8816692381
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
453345.7965126803,334496.10494796326,308366.0237679905,277849.58127501904
137003.91684885146,98507.4721483093,97849.0352931674,88643.64279725523
366886.0532054542,237739.79935654128,309095.31394318416,284614.3505358191
