2010,2020,2030,2040
55968724.9,55968724.9,55968724.9,55968724.9
77852861.22,77852861.22000009,77852861.22000009,77852861.22000009
40660284.96,40660284.95999994,40660284.95999994,40660284.95999994
44733271.77,44733271.76999999,44733271.76999999,44733271.76999999
44919353.31,44919353.30999997,44919353.30999997,44919353.30999997
35360966.55,35360966.54999996,35360966.54999996,35360966.54999996
3629572.199,3629572.1990000014,3629572.1990000014,3629572.1990000014
47424.67548,47424.67548,47424.67548,47424.67548
204726.4939,204726.4939,204726.4939,204726.4939
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,2554548.966000002,2554548.966000002,2554548.966000002
1250882.472,1250882.4719999996,1250882.4719999996,1250882.4719999996
26438.39926,26438.39926,26438.39926,26438.39926
426104395.3971926,426104395.3971923,426104395.3971923,426104395.3971923
437333.5578,357462.20863572095,407264.39818014,498247.0588529257
29829.38662,29829.38662,29829.38662,29829.38662
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,183531.59040609078,227154.84824489075,306849.3376185383
306338.9808,221088.98226601296,274712.77641750354,373952.7032836749
15859.6401,15859.6401,15859.6401,15859.6401
40743.68908,40743.68908,40743.68908,40743.68908
329797.0087,254168.57607810647,306042.7162054494,413673.3912446354
334472.0998,322317.65852428426,330980.1821962414,349760.8364741889
197779.5091,197779.5091,197779.5091,197779.5091
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,125393.03983111464,391975.8976234433,566583.2631072247
218399.7186,78589.34976991381,229223.7263830281,327848.70649956533
50565716.25,32958396.23951913,36836345.24379533,53245567.62943343
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.266,2778081.080282865,3142113.3323500077,3783478.9846764924
1652844.4619999996,993305.0040883204,1028285.5035278829,1291050.6094518302
3214013.1410000008,1925832.5813822509,1994154.800476774,2507374.8923718208
3383474.403,1888371.150979584,1686530.2279849641,2047725.5400459168
36180303.27,27989883.33171204,29221782.944093,31907407.42335013
7143323.369,5660136.393095409,5888518.48682636,6397923.495976361
15978915.89,12450195.844138345,12958952.988916915,14115991.596589772
6196272.642000001,4917917.560841732,5104623.538379828,5564988.86960697
18964471.05,15727895.343492106,13631777.823594965,14324789.61010734
30866912.38,30866912.380000014,30866912.380000014,30866912.380000014
154488607.7,75570970.54927705,81140905.02173896,117175369.5909913
84794797.59,13472975.24150306,7551706.873036385,35024849.46101258
31485148.79,31485148.789999977,31485148.789999977,31485148.789999977
54283985.8,54283985.79999998,54283985.79999998,54283985.79999998
74608129.95,74608129.95000003,74608129.95000003,74608129.95000003
135936541.1,135936541.09999993,135936541.09999993,135936541.09999993
132380711.5,246855668.1880192,216421962.18939528,208547740.7974572
67418707.75,59615640.70171709,69000096.51875995,75166567.37282184
68774324.82,68774324.81999996,68774324.81999996,68774324.81999996
44754502.59,44754502.59,44754502.59,44754502.59
104315426.2,104315426.19999991,104315426.19999991,104315426.19999991
63006571.83,63006571.83000007,63006571.83000007,63006571.83000007
895247507.3,719160011.5774436,765767621.4843483,852220830.776015
186931955.3,276338934.28821206,270514525.2460787,196600598.042774
272861804.1,292386701.56351155,373042814.402521,362626483.5316877
