2010,2020,2030,2040
25648922.727272734,26965336.363636363,30767481.818181828,35135004.54545455
140230363.63636363,142410545.4545455,147025772.72727278,151473000.0
59369863.63636364,59870236.36363637,60478472.72727271,60755195.45454544
752889.1363636362,1152031.3636363638,1583676.8181818181,1882554.545454545
1303651.3636363635,2596583.1818181816,4942140.0,7476715.909090912
31540472.72727273,35575527.27272727,40984840.90909093,46235413.636363655
86853136.36363639,94607959.09090915,105169909.09090915,115308136.36363637
7870446.818181817,11273468.18181818,15999136.363636369,20580477.272727273
31953600.000000004,42068345.45454546,56574668.181818195,70408990.90909092
627332045.4545453,641815363.6363637,661291909.0909092,679371000.0000002
782659500.0000004,804958636.3636365,832104954.5454544,854485227.2727273
51475390.9090909,56126127.272727266,62341268.18181819,67780172.72727273
1120531.3636363638,4731968.181818182,17190218.181818187,32367109.09090909
1870.9281818181812,2844.2018181818203,3870.7390909090896,4543.10181818182
2894019.545454546,4417311.818181818,6498669.545454548,8611355.454545459
5361748.636363635,5702215.909090909,6045480.000000001,6267583.636363639
16297145.454545455,22079590.90909091,38548650.0,57778254.545454554
36629.82272727272,63109.00909090908,102081.95454545454,154986.68181818185
44742.2181818182,76167.57272727275,121851.54545454547,182762.04545454544
49835959.09090908,52001918.18181818,54435722.72727274,56303386.36363635
104738454.54545458,110488636.36363637,117158999.99999999,122280136.36363636
46913.52272727273,82288.5,134962.22727272726,207182.18181818185
62947.881818181806,111690.40909090906,184642.49999999997,285075.95454545453
187113.8181818182,346351.09090909106,588692.0454545455,927877.3636363638
12027654.545454549,15964581.818181824,20705427.27272728,24392931.81818182
651396.1363636362,1229292.272727273,2115177.272727273,3363035.454545456
506898.9545454546,955538.1818181822,1642935.0000000007,2610863.1818181826
67353681.81818183,84965236.36363636,136524818.18181825,198160772.72727272
88560.72272727269,162891.27272727285,275699.4545454545,433246.2272727274
32153481.818181828,38971990.90909092,57279504.54545455,79188231.81818184
20597.75454545455,27328.731818181815,34623.08181818184,41231.877272727295
9882.218181818182,12648.490909090906,15525.395454545465,17757.69545454545
115230.81818181819,153032.72727272724,192124.22727272726,223004.7272727273
9529.780909090905,14064.559090909086,19309.309090909097,23734.868181818172
