,1980
0,0.6443485133606777
1,0.7819732759032184
2,0.6591217227572169
3,0.5808492945596231
4,0.71316698799088
5,0.8036647167832305
6,0.8015507505013427
7,1.4339257035407555
8,1.4339257035399289
9,
10,1.2831708655908716
11,1.2831708655905247
12,
13,0.49194769067249056
14,1.6041307366417814
15,
16,
17,1.6041307366428255
18,1.6174138690361317
19,
20,
21,1.8748151672634636
22,2.077751828409372
23,2.1243363825321184
24,
25,1.6942633549195907
26,1.552259640062723
27,0.8095600844592323
28,
29,
30,
31,
32,1.8566717620769646
33,1.625562696430024
34,1.6255626964280196
35,1.7589816314421924
36,0.7296510330439394
37,0.6468222456123837
38,0.6530393087864327
39,0.6004561745942888
40,0.9019735118576868
41,1.14295399069371
42,1.1841312786060587
43,0.7304468982194956
44,2.406593271704151
45,2.4102446596876383
46,2.4396269419924157
47,2.6714853431188845
48,2.3772545945134973
49,2.731662172779751
50,2.3206253360051
51,2.3658858653369657
52,2.171685195795512
53,1.0819689973071434
54,0.9309692090064102
55,0.6891435593311321
56,0.6560074577406673
57,1.018864544620238
58,0.5934412463740412
59,2.247511043432162
60,0.6431932307616934
61,1.9438842962081
62,1.021674060993145
63,1.680897872193259
64,1.0549077731222531
65,0.76068400016953
66,1.211075226141306
67,1.3025458222173656
68,0.8568845531631121
69,1.034694486342501
70,1.2547976872441662
71,1.1028791400409008
72,1.1565547754473435
73,1.0346944863424306
74,1.0146044486678518
75,1.2416618002427604
76,1.0401771856762085
77,1.140664117650734
78,1.3111794325892092
79,1.1053004298018003
80,0.6008276876216035
81,0.5666096420504327
82,0.7753329056006294
83,0.8380480196997987
84,0.5347578160042374
85,0.41912533624232207
86,0.5227152046688412
87,0.5877579710639566
88,0.5199774778294466
89,0.5884823946054583
90,0.6388441260274474
91,0.5770236698375111
92,0.5855939077449531
93,0.6230304466125326
94,1.1056363032642524
95,0.661167364123547
96,0.8804429932819374
97,1.0304454345166467
98,1.2143697645560079
99,0.9767346358667941
100,1.282551822931724
101,0.789590521528533
102,0.9111384107778302
103,0.7252292079223137
104,0.8080322314415121
105,1.067500825431891
106,0.7060120241155392
107,0.6654927100853688
108,1.4859309049260554
109,0.7975008198121845
110,0.8206808097702362
111,1.4646615565808845
112,0.5247751768491261
113,1.3492909686526486
114,1.3029870596304074
115,0.9096260162971371
116,0.7314823170934717
117,1.0628609959370323
118,1.1951185883193776
119,0.9212805572344335
120,1.1626536214442402
121,1.012737103449684
122,0.9314806329830121
123,0.872730287523276
124,1.3839627441620832
125,0.9416496275144639
126,1.108323337040371
127,0.9917250846347297
128,1.1863816976727435
129,0.7947314267427904
130,0.7117455846386718
131,0.7128768330647907
132,0.6982787041709951
133,0.4152049467756546
134,0.39263804836705607
135,0.4116586237193639
136,0.4061583182182099
137,0.2817021834094993
138,0.7528910413355998
139,0.5793344215483133
140,0.6591217227561819
141,0.5842234475193891
142,0.7206612937025793
143,0.7571773012868152
144,
145,
146,1.60413073664275
147,1.6360337470213164
148,1.7977256073754038
149,1.9510966508538108
150,
151,1.6791956930006307
152,1.3696268392264936
153,1.3696268392274014
154,
155,
156,1.4375312376464817
157,
158,1.625562696427678
159,1.5938938734952903
160,1.4929432704738224
161,1.2106250824636116
162,0.610907917568972
163,0.6305289588645728
164,0.9142410625081432
165,0.935857312995276
166,0.9172100750924446
167,1.3654052930013274
168,2.3839401816168575
169,2.3063566397413098
170,2.3376313660745325
171,2.258024569247502
172,2.6766535432702847
173,1.9898494669671312
174,2.365885865338776
175,2.0929531836108115
176,1.832875074916258
177,1.4613886312604982
178,1.3810084367845632
179,1.2439617225984951
180,0.9793349638285902
181,1.0346944863422225
182,1.0342951512336966
183,1.0385605813325625
184,1.1042470180912596
185,1.1137522473696144
186,1.119701971189345
187,1.7042205258548357
188,1.9879395810955733
189,1.9879395810942209
190,1.248942812160373
191,1.0247322510099557
192,1.0216740609925434
193,0.6371311223296778
194,0.5844305310906854
195,0.6082408874243375
196,0.6684572821360731
197,0.5917795646046123
198,0.5706775869519096
199,0.5835507879337728
200,0.8097281292978789
201,0.5001924013487046
202,0.5001924013486971
203,0.5001924013489449
204,0.4914265985956834
205,0.5521245459112117
206,0.5738415226981449
207,0.614132985375144
208,0.9690827280403249
209,0.9272628933879095
210,1.3972089163204613
211,1.3875615004636395
212,1.352859046663278
213,1.271344265700314
214,0.9609874078067461
215,0.7375834980854212
216,0.7314823170937178
217,0.7193670543929835
218,0.8103743755626531
219,0.7159011467630393
220,0.7154575308693948
221,0.6523209285146039
222,0.6508494561852732
223,0.6952699182406556
224,0.7035632118120217
225,0.5323932261945868
226,0.6501308339334408
227,0.42606711350890025
228,0.3848711833383144
229,0.38307446640965087
230,0.3082793653184392
231,0.3183446976341071
232,0.7229942444912076
233,
234,
235,
236,1.5312487236104542
237,
238,
239,
240,
241,
242,
243,1.0682213961871465
244,1.218253076103127
245,2.4741246009066615
246,2.474124600907512
247,1.3985383614616773
248,1.4788701937121564
249,0.5807515483783418
250,0.588482394605488
251,0.5884823946054999
252,0.6350911341312586
253,0.6489175043815321
254,1.135257472666108
255,1.0182999884464317
256,1.0170498704070194
257,1.0165487169836702
258,0.9796167899497829
259,0.9441827890541941
260,1.0992517672574909
261,1.078942174031716
262,1.2308694131272404
263,1.2677108763437772
264,0.6950750674787702
265,0.5615911694618761
266,0.647313793079511
267,1.0675008254319618
268,0.4064149071052532
269,0.820680809769922
270,1.1951185883195397
271,1.1599683787802906
272,1.16245926078336
273,1.1613359314544531
274,0.9410120823813563
275,1.342681003006323
276,0.9605873610334176
277,1.1600951408211657
278,1.278337119423981
279,1.3839627441604172
280,1.116064334011364
281,0.8452485441942202
282,1.0779537085620516
283,0.6172634519259758
284,0.4911625811838563
285,0.6994598104605942
286,0.5807592709490728
287,0.6117403394365015
288,0.694930065452665
289,0.6776446869387256
290,0.5495432731439728
291,0.6032846579976013
292,0.5836385012588481
293,0.7280205298873035
294,0.4302783770460204
295,0.7188530825745854
296,0.6318198178701311
297,0.9392825153120163
298,0.4828965819137964
299,0.7425050902378822
300,0.5485611044612545
301,0.9368834930959593
302,0.5743246655220949
303,0.48804428702612
304,0.711014482183565
305,0.9124683699340109
306,0.6391487958379763
307,0.4849067208215928
308,0.4141655750295869
309,0.4842930920599335
310,0.4605391748315699
311,0.5074410399467294
312,0.6076201222768087
313,0.8810687495346675
314,0.9701983810405
315,1.070479202407475
316,1.024635810565087
317,0.5792819038061946
318,0.7570660918959168
319,0.6740041965776077
320,0.6557510415600641
321,0.747110357307965
322,0.8543286821254431
323,0.8661118974838041
324,0.7934280496885707
325,0.7476923143168055
326,0.6751662238834444
327,0.9197656184795534
328,0.5165633734658923
329,0.9197656184778195
330,0.5279619535746922
331,0.7058409395580703
332,0.6953449222634089
333,0.4630452514784558
334,0.4099337769848603
335,0.4321652336535463
336,0.404865602501071
337,0.8673988291742832
338,0.41841587065759583
339,0.5310858604000197
340,0.9631710201319827
341,0.5238633397447205
342,1.0166350434239886
343,0.5328816642030989
344,0.7488582295598862
345,0.7703522247907983
346,0.7155698030679594
347,0.5800160124603446
348,0.6871541665237763
349,0.7141694051212465
350,0.7370419371443164
351,0.6702862853366293
352,0.4977282541658446
353,0.8904047212403458
354,0.7262089612547258
355,0.5455328400762772
356,0.7336678010974362
357,0.7765857724497701
358,0.6084207298310115
359,0.6315094604203819
360,0.6257964839567535
361,0.6316223219602887
362,0.5949950499629305
363,1.1090014650138433
364,1.5797633227632124
365,1.502193742181601
366,1.3557648920542735
367,1.376908744304127
368,1.1478972377994094
369,1.9100443170262873
370,1.6398507588767788
371,
372,2.116457295035371
373,
374,
375,
376,1.4313055606361418
377,1.6913105175124339
378,1.5282042222035037
379,
380,
381,0.5862720834466713
382,1.9757045345338173
383,1.6184485968717328
384,1.5693166783042152
385,
386,
387,
388,0.6660290822314613
389,
390,
391,
392,
393,1.6711844724200258
394,1.6026793550642635
395,
396,0.36327512997297734
397,
398,
399,
400,
401,
402,
403,1.3435353533036536
404,0.6536353222874871
405,
406,0.8247697162342243
407,
408,0.4430444975802659
409,
410,
411,0.569411179946494
412,1.0318565130882096
413,
414,
415,0.549676904428609
416,0.527197850124794
417,0.6193542426917067
418,0.6875063023614497
419,0.6652331359564431
420,0.7477744497527204
421,0.7348734512881079
422,0.4470404477772293
423,0.6813680128586356
424,0.516203000232898
425,0.7492091738967274
426,0.5399782838324101
427,0.6436980224342659
428,0.6926873507507472
429,0.37457163679327904
430,0.670347145778459
431,0.803195175324017
432,0.7787541315463633
433,0.8451760353366985
434,0.78750963417514
435,0.5666745329111051
436,0.5616254530631737
437,0.6982001349425707
438,0.3983916781849916
439,0.9621028268171354
440,0.3655578586387798
441,0.8966484902202463
442,0.9588106675347619
443,0.3593919713836214
444,1.0856925246119318
445,0.3534505983514023
446,0.28875414469721067
447,0.8604282562236689
448,0.7250001696609852
449,0.241369299158463
450,0.8437447927587388
451,0.357383277662836
452,0.2601255475198007
453,0.3813571921423796
454,0.2664143207217908
455,0.3477507984926393
456,0.40060470620658134
457,0.11784750521144821
458,0.2314873145061566
459,0.21655677980364027
460,0.20187620554143917
461,0.17816205155390832
462,0.19042774114891284
463,0.18732910701834982
464,0.16337808450652083
465,0.17387829323329482
466,0.15514284147540272
467,0.1594416071410767
468,0.1592872459833841
469,0.15090594216060757
470,0.16424178219527524
471,0.1563372622872335
472,0.15639538432707356
473,0.16356593513672008
474,0.1850463115453706
475,0.15631123950288356
476,0.17043916283063254
477,0.3330811943831562
478,0.20302341311934316
479,0.21791147066524044
480,0.1993008111942975
481,0.33614433465174837
482,0.3430038571130019
483,0.22210351105520607
484,0.2239866963390046
485,0.24811314114390673
486,0.23500248117700515
487,0.3950884757555502
488,0.3461162950662625
489,0.26095893328271136
490,0.21428584555582078
491,0.23867154402530863
492,0.3890499543951316
493,0.5086481344158368
494,0.32522055981047543
495,0.36558039695735495
496,0.4686351258488794
497,0.3679692520617611
498,0.2416288256055143
499,0.18343524523924584
500,0.23798000738497624
501,0.4073024121351712
502,0.1653219966364188
503,0.4371382815037213
504,0.3572510421400347
505,0.23914566389833286
506,0.31606814071313827
507,0.4438794462061932
508,0.47065742841748304
509,0.3803179868627496
510,0.23182762052626568
511,0.5490710280982237
512,0.16532199663669328
513,0.22621143344423605
514,0.294938230062675
515,0.2544315788495837
516,0.1459797679132078
517,0.14844392792340744
518,0.24251312522322316
519,0.12317274627084318
520,0.14834378943139945
521,0.14834378943182427
522,0.16529036829326368
523,0.16532199663672978
524,0.1653219966369088
525,0.2203228440606507
526,0.22098608682971826
527,0.22098608682937032
528,0.22098608682962242
529,0.316072784234107
530,0.3730744132644691
531,0.3730744132645491
532,0.37086965177529063
533,0.33418361015307235
534,0.3341836101530535
535,0.3587704294612811
536,0.4096785020146817
537,0.4096785020148328
538,0.427915051678132
539,0.5492251654528023
540,0.3737114525915278
541,0.33562995745220253
542,0.3259582044953823
543,0.3259582044950442
544,0.32595820449512775
545,0.32461873279166376
546,0.3607500716479142
547,0.474349317842892
548,0.4743493178429287
549,0.386132929372314
550,0.27255002072561035
551,0.2717927601463697
552,0.24208785417692139
553,0.24251312522305213
554,0.23891829864928735
555,0.21976117662734543
556,0.2197611766274691
557,0.23369471620289214
558,0.23682171435625607
559,0.23682171435590782
560,0.23682171435626362
561,0.23032420736785603
562,0.2018724322924625
563,0.1993008111939289
564,0.19711280802902284
565,0.16081997116463626
566,0.16081997116440025
567,0.1573541367818091
568,0.14106104666219926
569,0.14106104666267724
570,0.14111543018485528
571,0.14246262443889832
572,0.1596769265820781
573,0.1706646679628697
574,0.16245399381078576
575,0.1757768601777092
576,0.1874043586541686
577,0.19042774114863584
578,0.18974746276835672
579,0.19675187003105096
580,0.2206881546818037
581,0.22713626692676908
582,0.25597927305711654
583,0.27603668596270214
584,0.2633467667298981
585,0.2865243197119675
586,0.3944400767312278
587,0.4246445477420744
