,1980
0,57674530.443341464
1,80249751.80002788
2,41897898.12333787
3,45505003.911280334
4,43607029.536726214
5,34423740.66886082
6,3809603.5668608155
7,555.7949514729245
8,4446.359611778968
9,0.0
10,2011774.2150363007
11,1079889.7012583392
12,0.0
13,49294.09109697214
14,301553.41967954586
15,0.0
16,0.0
17,264139.84403680335
18,320308.95089361
19,0.0
20,0.0
21,331323.5306087716
22,217055.80045659104
23,5342.043894353591
24,0.0
25,319679.2589475203
26,183149.18453831706
27,50795656.5770492
28,0.0
29,0.0
30,0.0
31,0.0
32,2956155.238318856
33,1866651.542432836
34,3645853.4810857046
35,3245558.641799444
36,37382081.63393574
37,7363972.024839836
38,16388668.43502229
39,6350883.877873441
40,18702732.931879673
41,31339068.737019178
42,162950561.2449393
43,83065494.8189607
44,31776076.55374853
45,54632764.89053163
46,75326260.6031992
47,133820193.68665779
48,121702372.65563686
49,55168188.27989262
50,53880267.42694477
51,34791557.61879001
52,85830916.3610895
53,61277366.39229342
54,947394340.1625134
55,191964623.59475964
56,281294802.27944005
57,1343333246.6623225
58,5392211318.0728035
59,48652885.49600149
60,102753.84876470987
61,42479770.22773902
62,931063.3622598688
63,879903460.7281226
64,2415140.0182011956
65,1518717.7234899509
66,146020501.5383115
67,222926599.11364433
68,2128649686.5693603
69,48274094.53021605
70,12838267.584817868
71,22982953.1381441
72,13266578.772180492
73,88142923.06679013
74,56819227.900391646
75,17908573.38077082
76,219136360.6397459
77,214823591.39652616
78,125076850.03834586
79,32928210.31811525
80,2333047.6634343113
81,22093094.425681308
82,9244077.569704752
83,5705323.040322012
84,14567318.266723607
85,2272684425.4114914
86,8887716.152756067
87,377762846.7074163
88,18969652.69701853
89,274641211.7867622
90,52627251.37229344
91,4065360009.083328
92,34552055.22370984
93,929008986.0233933
94,2172603038.382459
95,2454681096.7008696
96,87860864.70742296
97,102913276.76949836
98,56115673.36105574
99,3621480135.010575
100,235843550.65222126
101,2771466874.9849505
102,36140658.324847385
103,2971191803.840557
104,1050261326.6548032
105,131404551.8130787
106,1098988170.179771
107,42450826.019954905
108,388883566.6411033
109,504585165.74304706
110,487233786.44358516
111,226244802.17367715
112,953371653.3480653
113,623237347.7721573
114,259822513.50713772
115,1724702847.2577143
116,244702630.09846067
117,148699228.8801051
118,70110853.97462462
119,10031706642.024082
120,340932002.8619474
121,200999989.83658388
122,315035179.2100776
123,757187973.6580503
124,65997336.68335738
125,500316973.67207414
126,84859941.4984869
127,809386247.4839853
128,107151363.76015313
129,941796755.1909935
130,191758458.16930163
131,684277121.6874033
132,542758211.8056805
133,5529136166.0806055
134,416036902.2124362
135,713107247.1104538
136,877138231.7142065
137,9262494396.191315
138,58388948.75540655
139,75628894.15870328
140,9606807.654521147
141,61996438.14048195
142,21060791.325723603
143,426280.5592697704
144,0.0
145,0.0
146,457193.8943528212
147,138174.69521148727
148,370100.7008877187
149,20082.351892704755
150,0.0
151,379613.3624395874
152,22535.19385122933
153,31285.122599324084
154,0.0
155,0.0
156,3843.659793648197
157,0.0
158,430888.0476991622
