,1980
0,61861676.11275245
1,82722175.17448857
2,45006671.36560493
3,47850681.054868855
4,45784334.20627374
5,36436581.07353115
6,3828401.644859263
7,535.4935285334176
8,4283.9482282665285
9,0.0
10,2180586.3329505576
11,1170505.4702762556
12,0.0
13,54289.62738894919
14,276786.2622144901
15,0.0
16,0.0
17,242445.53489261307
18,294537.9441955049
19,0.0
20,0.0
21,339077.0746191375
22,284548.17595330486
23,7473.315941442786
24,0.0
25,405836.4496211496
26,228292.82104139004
27,52847364.582037516
28,0.0
29,0.0
30,0.0
31,0.0
32,2892048.222732623
33,1660110.4936112068
34,3242447.49731459
35,3673992.597626226
36,38929106.24708049
37,7638529.47859918
38,17103519.51993328
39,6665488.291073279
40,20977451.141139016
41,30160407.613466546
42,160336232.4423869
43,84624030.0446295
44,20998286.694775905
45,36312225.12592295
46,50120059.08396885
47,90729806.57841308
48,95142845.07086064
49,44631224.0272426
50,59240281.42383605
51,38330972.99014754
52,89119679.11247379
53,60532088.43243773
54,968259881.8780165
55,198468517.4132901
56,300643305.67547715
57,1396234913.6576557
58,5821102890.564427
59,48110969.374704905
60,105302.83597591639
61,39599022.55300491
62,1005890.3153950655
63,947617512.3935081
64,2625403.0245781965
65,1580914.2485270654
66,135718029.73047704
67,199344642.5764476
68,2064651255.0504918
69,50360000.00464917
70,16178193.061463943
71,26153286.556196563
72,16496446.32001344
73,91951545.63233936
74,61284109.567772135
75,21280427.76691689
76,240374369.5496656
77,248232723.46224263
78,149527962.7573951
79,37551836.87059508
80,2329649.286857377
81,22583676.860837694
82,9335266.421454754
83,5744110.656932623
84,14722194.963756397
85,2301068886.678886
86,8981607.41067246
87,378729493.9693295
88,19171858.812621318
89,275337757.97209674
90,54714675.64910327
91,4151972171.535411
92,35254916.73179343
93,957856183.2071964
94,2297963998.945574
95,2563504075.4508195
96,90645750.93827541
97,102985074.47525743
98,55568498.084060654
99,3701683201.469837
100,262801445.62303272
101,2985043675.901968
102,37205908.76338197
103,3085733995.660656
104,1113044466.683246
105,145265269.34786555
106,1174514569.5792453
107,45068546.98430328
108,441745560.9047378
109,526685284.6979672
110,506580573.2085411
111,262971266.1533016
112,966222210.8393772
113,695421542.9703935
114,283320037.3744016
115,1814752698.5983937
116,247450620.37537694
117,155574592.33229828
118,75726921.9227361
119,10923431883.292133
120,361127895.75424254
121,217863663.43007866
122,342004249.55606717
123,755106784.5371314
124,72277360.62256393
125,543705910.649136
126,89007884.1751426
127,835225514.9388525
128,114062765.3355492
129,940641849.7640983
130,190063852.9136525
131,696899248.831164
132,569903710.9867214
133,5976853235.490983
134,434313088.1873772
135,752411588.7826068
136,930224913.7654757
137,9683733584.625084
138,60267285.688357376
139,79767251.5112328
140,10319621.13485836
141,65686414.45006231
142,21791179.56358672
143,447260.23572626215
144,0.0
145,0.0
146,419643.6878736606
147,127353.77931740179
148,346446.62531256553
149,19023.186178293432
150,0.0
151,479794.2868485129
152,26788.37156720736
153,37189.7173039249
154,0.0
155,0.0
156,3498.7636846009314
157,0.0
158,383211.1957138229
159,2056765.0270098113
160,16636303.320277052
161,19373486.957406234
162,3596847.7893920825
163,7201313.869292791
164,11245521.844018983
165,330801.04585992295
166,83655151.68973605
167,76975829.64760655
168,17395327.01046344
169,4227073.736794264
170,27155577.061432794
171,322992956.1774492
172,145803193.20231143
173,75646398.49849015
174,13941321.111544097
175,21890161.13020296
176,23950015.577019677
177,74654010.55571474
178,145513539.91386884
179,46985255.01629835
180,48771693.13396557
181,4782793.296531311
182,89006119.30850822
183,39609027.921139345
184,58699950.16465574
185,472759.21082516405
186,85045278.26001479
187,2167381.3424019995
188,338728.78852929507
189,33372.29443638427
190,61509468.853272125
191,5329778.572628359
192,14415.62553909803
193,573982.4241553609
194,672825.3778278196
195,978939.8288692458
196,128905.53923457702
197,438994.8868156557
198,187968.31041145904
199,7028931.592049674
200,744669.6166508358
201,179396.94824272135
202,9975751.729071474
203,486934.5738018524
204,1644043.1040815732
205,13047850.166896392
206,13196187.723982131
207,50741850.89216885
208,85839068.03847872
209,83038530.0480656
210,32072035.760924425
211,11399906.737350494
212,146878776.7810509
213,242091743.1677328
214,53145638.02216393
215,90980977.62061313
216,358470340.38424593
217,274708685.69991803
218,390228041.3298754
219,95024164.65835248
220,79512566.55000326
221,198975952.62147865
