,1980
0,57515293.5508918
1,80481219.53032294
2,41774773.55638426
3,45519846.15999017
4,44429537.14271475
5,35963661.851414755
6,3975832.979912985
7,581.0291978064687
8,4648.233582452692
9,0.0
10,2091597.8111744989
11,1122737.7896495245
12,0.0
13,53404.53460584098
14,304732.3426043251
15,0.0
16,0.0
17,266924.3596510966
18,322034.287021432
19,0.0
20,0.0
21,329767.3085108213
22,248521.96652980798
23,6407.20011575162
24,0.0
25,438653.9978480969
26,248838.9566990592
27,52389179.92549609
28,0.0
29,0.0
30,0.0
31,0.0
32,3339543.322189993
33,1982500.8237905225
34,3872124.6924605574
35,3803525.5349503034
36,39009458.69403099
37,7639471.505067212
38,17061782.27332427
39,6560185.341734919
40,19702419.3710818
41,32229644.303794254
42,162155661.44374093
43,85968017.4759475
44,30898404.929852284
45,53240439.91573655
46,73583521.12143606
47,131749212.32822299
48,117777357.84645411
49,56940353.23573934
50,57481575.42772181
51,37346245.293411136
52,89433639.82753308
53,63259021.23900984
54,919789760.9254162
55,203475496.04421312
56,295187431.8728327
57,1306970556.0771966
58,5576998149.847541
59,45902014.097447015
60,118157.74435586727
61,42053559.75602378
62,1011909.8836716362
63,898953999.1028674
64,2626087.0443410655
65,1646850.3866954332
66,145334206.79250333
67,215883670.31011617
68,2141946293.071787
69,48056697.516613275
70,11694593.342582133
71,21254928.916144256
72,12061147.798690978
73,87745981.21981883
74,61368028.62075081
75,17203300.24293505
76,219531681.7030394
77,215547904.73372293
78,121718373.52473937
79,33015354.642490003
80,2454689.6836015903
81,22523375.288014762
82,9250484.309445098
83,5706371.909823793
84,14489692.369036723
85,2229378759.306705
86,8815943.822167378
87,374749042.90125906
88,18823565.532381963
89,272452036.9996181
90,53556650.15313934
91,4125604744.7620974
92,35548457.28652788
93,936630853.1450491
94,2330405189.567344
95,2551596300.3341966
96,90867344.95591801
97,107244515.64434592
98,62638265.24579558
99,4004664554.6808205
100,273000996.8281951
101,3110870213.1800003
102,37992727.32251098
103,3140894863.6682453
104,1132055154.9495409
105,152818003.66691798
106,1157187485.084164
107,53835959.32123771
108,543588758.6151031
109,505861773.15157694
110,487245662.0649706
111,325583085.41305405
112,943999416.1626884
113,746933424.7137295
114,312314902.6832507
115,1718292505.759689
116,269345077.103259
117,150998019.730363
118,66531304.368701644
119,10489568701.194096
120,343467471.2654377
121,195284331.77190664
122,308480857.3466952
123,858054571.5306131
124,65425511.78483606
125,492722948.71740866
126,85694600.32151425
127,779375292.6571411
128,107782897.72691019
129,1033893803.4899919
130,199772530.2101131
131,730297542.9822458
132,568294107.2487851
133,5734485026.428888
134,421896897.26447535
135,728932031.6717213
136,901836026.0968692
137,9418267250.869833
138,58406817.80504099
139,75604354.74634589
140,9578576.309147052
141,62043960.90792621
142,21727447.48209836
143,436810.5605548852
144,0.0
145,0.0
146,462013.5516907013
147,138007.52590148608
148,353250.84648889623
149,18477.621775251777
150,0.0
151,518752.1796179711
152,29854.769721447752
153,41446.73159130977
154,0.0
155,0.0
156,4007.6398186945084
157,0.0
158,457630.08794475876
159,2430509.406850048
160,16905572.893739603
161,19024916.955414094
162,3587661.276267148
163,7197028.380684591
164,10001658.617202211
165,293014.13939751673
166,78019707.95439343
167,88532179.33499393
168,26201617.03233393
169,6445913.781236475
170,40650900.71886885
171,399353218.62113756
172,174767213.01603365
173,65982849.377008684
174,13583166.753404604
175,22398087.44164885
176,26695921.51571279
177,76111313.16330656
178,152843099.035382
179,50916097.59697114
180,47581972.968725234
181,4564043.898226048
182,84913437.54961786
183,37120661.55424967
184,53467747.604063965
185,434442.02116665407
186,73774280.49912623
187,1566538.2418366214
188,210522.13210695272
189,20741.096759287895
190,49789935.52414263
191,5362568.682810657
192,14501.893237337044
193,643216.5046259294
194,726489.3374874559
195,1052285.5373797575
196,139281.45351112462
197,455777.4729965407
198,184545.16879052945
199,6905598.905891638
200,739639.6720967097
201,177255.94728022945
202,9856696.782691803
203,481123.2854750328
204,1629327.4050603611
205,13008322.567209344
206,13256005.723884428
207,51384640.21531475
208,85462597.99261153
209,87660773.78622787
210,38311171.051843286
211,13496568.694736397
212,157630671.03445244
213,258866194.85077706
214,58939889.73901034
215,98906357.8995128
216,390187833.53058517
217,301231182.31017053
218,452208789.37933606
219,99204250.80573934
220,83049726.2936156
221,207318690.4919705
222,152663781.96977785
223,91058461.6208336
224,80717224.41896476
225,426097625.84658533
226,46459142.13906984
227,1003817131.6668355
228,258625823.01936224
229,342416782.6736443
230,553383374.5913116
231,851374647.0580986
232,4504078.142081032
233,0.0
234,0.0
235,0.0
236,40575.25909661235
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,14948528.944679344
244,6531648.90574705
245,689047.7210993865
246,5379872.591661411
247,118436828.73809014
248,1839603.9497198525
249,373859736.0043837
250,157760437.14479345
251,27602127.76589573
252,328231553.9929689
253,253961804.89938688
254,22524737.715212617
255,32721032.141255572
256,1844924.2037156553
257,107834667.93299834
258,224398643.62619835
259,1145659.3890046526
260,1655283.419285213
261,24416375.33479295
262,118278301.62406233
263,1374374.9535411964
264,190529273.60010988
265,115700684.28288198
266,104576000.70991637
267,7737620.4388303775
268,217762531.7280558
269,201239576.2313114
270,38621481.69526191
271,57793670.57624262
272,11968498.166790573
273,8457549.10266074
274,129359958.73394294
275,77783384.28494754
276,79749671.45782408
277,66901313.191789195
278,90844621.44352947
279,21456551.12714115
280,5367326.922866361
281,16861039.46602328
282,196731.0275668836
283,222055936.38839674
284,325652821.595023
285,541113469.7791492
286,98242175.06032948
287,2586275555.9305735
288,178213240.37498197
289,131573469.79169996
290,1318102919.6602132
291,289805054.6335754
292,106739612.09552132
293,541039906.5412804
294,1147932020.803508
295,285139198.08247054
296,216711904.57238722
297,155003180.78237715
298,4858858517.167049
299,173857842.9941961
300,152724747.20269346
301,457912244.07001454
302,389989351.5819049
303,2125519923.3450491
304,580515658.0764033
305,146801834.9271013
306,5100156623.219589
307,243851872.15162125
308,2471778017.306099
309,600459876.2407707
310,219194521.2280607
311,96691010.43522784
312,148018129.55894262
313,1048548736.1859769
314,185878606.5347181
315,80008483.75917394
316,117288229.86669639
317,339338240.03047544
318,271329793.97451556
319,323286532.0204638
320,455650074.5353539
321,78296841.56124265
322,128712688.53319034
323,66358914.25555183
324,123589949.26595575
325,980956804.403882
326,398746748.8923771
327,39878520.865599185
328,58853573.86448197
329,70930489.75494362
330,54236217.83754918
331,22805734.77314902
332,46192121.91885903
333,114063848.91732457
334,264395867.4417835
335,67213681.03309344
336,267987733.83377874
337,44691369.586080335
338,86987758.62045082
339,87880520.76883608
340,415277679.97658366
341,75153057.2797623
342,125164720.64732791
343,98549922.17662956
344,24061697.853337545
345,67616875.00088689
346,40944834.91494426
347,50375564.723729506
348,30312925.357738864
349,27971299.579360154
