,1980
0,56680068.55916885
1,79148676.95908692
2,41173852.70202623
3,44961729.62609672
4,43780810.32048688
5,35254362.87128196
6,3718429.851158492
7,533.2346639782589
8,4265.877311822474
9,0.0
10,1908035.4829570807
11,1024204.3328132342
12,0.0
13,51324.15427703931
14,270787.30664922716
15,0.0
16,0.0
17,237190.86661838167
18,287252.30022493744
19,0.0
20,0.0
21,304595.16794612375
22,224977.65491734623
23,5742.797243940022
24,0.0
25,344014.6376523222
26,198580.8445124329
27,48589408.83307763
28,0.0
29,0.0
30,0.0
31,0.0
32,2673628.340836914
33,1659827.8127959138
34,3241895.378825018
35,3177344.511513183
36,33215667.295000326
37,6665052.701776066
38,14748960.750845082
39,5857970.893932459
40,18885148.780419342
41,30288423.49673427
42,148809495.7009295
43,81735579.92804591
44,27605831.781737708
45,47134573.32273542
46,65109055.077718504
47,113180061.01943733
48,109782445.22059423
49,68992156.13334852
50,67522290.02457048
51,43875631.807225734
52,102877457.66948852
53,64244610.48511639
54,912188753.5260215
55,195003890.1786508
56,286243786.64995086
57,1305660833.898901
58,5517599077.294591
59,54676711.65404081
60,102803.37427539013
61,46770270.63334755
62,905168.6391934266
63,1042053396.9464921
64,2311680.5609828522
65,1483001.1540645333
66,153532750.54673114
67,225544899.6854409
68,2166952735.3754916
69,46905651.05734246
70,12063465.553436229
71,22419565.706538852
72,12714370.60874869
73,85644303.28062065
74,53367065.01801494
75,17558157.714195408
76,212968787.88664755
77,208979410.9837164
78,120759311.88621803
79,32532352.307176065
80,2272815.4564435408
81,21280662.25442197
82,8827942.349867214
83,5392514.411119929
84,14210020.057584424
85,2254127066.9359674
86,8726044.988447208
87,371733624.52503604
88,18618097.213486716
89,270246005.0549328
90,54355561.21820494
91,3952091974.520278
92,36133861.90085574
93,933932033.5694592
94,2249656063.3550158
95,2422728671.509754
96,90135437.19337215
97,109504347.9956262
98,60154856.83351543
99,3791105287.4169836
100,239034804.92861316
101,2788295612.5187716
102,36751837.58760901
103,3001599257.8306704
104,1048720773.7583115
105,132186056.42003216
106,1094148484.4441643
107,43316062.282709174
108,380640188.91289675
109,499773583.1081444
110,482499077.8754999
111,215889645.73880494
112,977374360.8081967
113,612322942.3183622
114,248274354.01284093
115,1667976970.8956723
116,246286201.1665262
117,139779924.9430712
118,68596837.65402624
119,10162525573.47951
120,319576070.0016852
121,196311212.59908363
122,311678196.21180815
123,758256810.674128
124,62571187.71510655
125,495715355.9318277
126,83719465.36523443
127,774132739.9793035
128,103950334.4324992
129,944249708.7208034
130,193736641.13719338
131,690330971.828869
132,552257290.850141
133,5656489321.26197
134,415741136.3982379
135,717595684.5137706
136,888144396.0014261
137,9445785854.180002
138,58063817.73832132
139,74442830.07968688
140,9440790.612924099
141,61306525.61355737
142,21218327.487351634
143,430427.4849471312
144,0.0
145,0.0
146,410548.4971780381
147,123706.65099030684
148,327603.4302731615
149,17618.745145843048
150,0.0
151,407554.95013896975
152,24893.626629510534
153,34559.28385559935
154,0.0
155,0.0
156,3367.946133979102
157,0.0
158,383145.943158
159,2027084.4546631686
160,14975255.898796963
161,15945462.868532946
162,3211177.2498316397
163,6322625.9225252485
164,9218521.6244198
165,270211.0115099869
166,75373201.61404902
167,82594679.89590988
168,24772014.383950815
169,6388706.860921605
170,39364384.60325739
171,412026848.11123914
172,214549756.98531643
173,77225205.95875081
174,15957963.606951805
175,25494649.041691143
176,28811603.447158355
177,82212881.51948853
178,162031200.10190326
179,51900517.720108375
180,46831645.299002476
181,4454726.636731212
182,82881590.93627933
183,36293140.55629591
184,52435207.20834755
185,425555.56424926233
186,72924255.7161377
187,1655330.4673634758
188,250109.6507171997
189,24641.344898256975
190,47608098.058478676
191,4792000.405391035
192,12972.16202665869
193,560256.0582046722
194,654066.2036009984
195,961601.3213055199
196,128120.09164573987
197,431940.0348431311
198,182443.01426967207
199,6809546.052612131
200,700765.3152676672
201,175094.1080972278
202,9736483.08240705
203,475255.4362639509
204,1616597.7162920653
205,13241923.462530006
206,13475424.21185886
207,52285864.522934414
208,85373988.32691309
209,79919638.84066066
210,30824918.74069492
211,10702206.000690164
212,129499299.19362293
213,217362452.79230157
214,49699459.37826064
215,90266971.39881311
216,356783499.7956344
217,274169323.3258394
218,397699673.26081824
219,97429535.74916068
220,81491991.40567705
221,200400450.09445074
222,147049317.0524803
223,87935044.6922538
224,77994143.50985739
225,413089058.07510495
226,44919262.58894967
227,983280236.1601964
228,255006320.0649263
229,337645379.9915362
230,547926415.8114754
231,844914912.6962463
232,4299168.484111589
233,0.0
234,0.0
235,0.0
236,34057.171038063025
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,13873984.103004593
244,5981662.514217801
245,756059.1504227424
246,5903077.212913686
247,131302353.90956399
248,2051656.366493951
249,372465702.4663672
250,156483057.9488492
251,27378634.573249996
252,317792111.7482443
253,240604750.76323444
254,20961990.86301902
255,33886707.45510475
256,1913089.4118526396
257,111598593.96234919
258,217353317.30332792
259,1068057.1969916064
260,1650388.6817138856
261,23851744.798029013
262,114281232.27608031
263,1333147.2669101807
264,180685030.16773608
265,111933687.59260494
266,95656292.73382461
267,6692964.882022
268,223337138.40814096
269,199279167.62185073
270,39820525.61492131
271,56577288.82963524
272,11398353.897603936
273,8082797.703854266
274,130165675.38887541
275,74505805.75394098
276,79912948.20257214
277,64770432.14662279
278,87413132.3339082
279,20520464.443738192
280,5236494.455288345
281,16805837.933977704
282,199308.60175772134
283,217563757.31648192
284,320603851.13440824
285,533242904.3610328
286,96449607.48298526
287,2545004581.7131963
288,174892325.1301574
289,129678776.18860005
290,1295052583.3184755
291,285787086.6461098
292,104759774.55532953
293,530141940.155441
294,1129532978.7310653
295,279804518.66559017
296,214165446.96344098
297,159095472.3065164
298,4845395040.088196
299,164258863.13156518
300,150127183.84799182
301,470144125.1547869
302,396779847.8479345
303,2125857423.2710814
304,564763785.1211624
305,149997225.678359
306,5186113958.76377
307,240976962.91513944
308,2427440334.4700823
309,589141054.9432786
310,213998824.79347217
311,93407105.66301309
312,150818934.04606065
313,1086431429.819065
314,190021854.21887374
315,80445339.01627621
316,117873083.74011146
317,348507123.29600644
318,274697434.08832467
319,330991906.82173777
320,463248925.6197378
321,82205847.05423933
322,130288464.46897054
323,67337484.12856229
324,131615663.31202294
325,991349489.1544259
326,419868638.94416386
327,40212717.29080215
328,60446038.223655716
329,71524912.9080377
330,55773305.58025903
331,23617045.393493112
332,47820828.768490165
333,117742889.66292953
334,269021744.30083615
335,70213095.72997378
336,272742243.2501803
337,44964993.821895085
338,87875619.96763445
339,89153465.2027623
340,417001613.0412902
341,75657043.04708198
342,122519465.30131641
343,99182132.30590002
344,25646338.938929338
345,67214046.85581146
346,41442862.95857903
347,50620124.53548853
348,30941329.249767542
349,28697554.112058368
350,86255804.87619182
351,139389874.42354587
352,46326398.3717672
353,102626431.20156065
354,20885255.455459185
355,18716316.66548656
356,55011556.29872954
357,73863661.32389344
358,4842729.938303264
359,3944268.9161661826
360,5609996.899612015
361,3475824.527911961
362,38577326.98299983
363,3573.551182725768
364,677950.4485267114
365,1489978.8516600083
366,0.0
367,4203100.055121355
368,0.0
369,1518098.682730843
370,13762897.39255047
371,0.0
372,221500.35937354065
373,0.0
374,0.0
375,0.0
376,5330608.123067197
377,1142526.6410298657
378,31942959.791980106
379,0.0
380,0.0
381,23305418.88572754
382,0.0
383,1604639.2577651688
384,956558.5460529183
385,0.0
386,0.0
387,0.0
388,17462808.760015424
389,0.0
390,0.0
391,0.0
392,0.0
393,2412458.9880067706
394,4715251.073806966
395,0.0
396,20719326.366652127
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,2151688.7977836477
404,2834261.586576835
405,0.0
406,6324305.445270575
407,0.0
408,29236010.15740032
409,0.0
410,0.0
411,49659499.695990816
412,30157896.82302527
413,0.0
414,0.0
415,3151113.620252541
416,17941156.783462908
417,67527094.84858033
418,5940507.760076558
419,16551323.082373932
420,52296558.77091475
421,45679271.704637714
422,1178462109.961967
423,34430406.35622787
424,4633575.284367492
425,71969914.8573918
426,61713603.162218034
427,3082830113.106886
428,42781145.124690175
429,1484689.4467286884
430,420214126.8792952
431,5400916375.022373
432,1004935079.2382132
433,556981515.8572295
434,682990395.2573445
435,1478266376.7581801
436,1462312332.1002135
437,399795189.466882
438,9966069000.171312
439,104563754.65040062
440,5168683603.95623
441,345529646.87715906
442,97711436.72390868
443,9584335998.633442
444,181674473.37516233
445,1861184801.1074593
446,23965277664.452465
447,309390113.048328
448,146628425.0146811
449,10809724099.753935
450,128606631.23333952
451,2802629037.7895775
452,10053586330.494423
453,535217511.50840986
454,2005387212.694918
455,1242339157.9940984
456,1176157601.2348688
457,182736332.01080167
458,7494769681.362128
459,9332723922.286884
460,21009064805.475418
461,14132357464.266064
462,1965153496.507705
463,3575339688.7032785
464,12797730508.17262
465,27869749496.942623
466,11987935193.72951
467,1897218780.2963932
468,2022740950.791312
469,4852079027.771802
470,27141629004.539356
471,21101552735.49672
472,7929109060.554261
473,11669108733.981966
474,27023977985.48689
475,2342334183.2359014
476,16215145341.27541
477,1743274578.474508
478,6753641918.02754
479,21928281490.60656
480,2271487574.3822947
481,1439636201.0520327
482,10828222743.582787
483,5677961251.437868
484,1196350967.811476
485,27692380252.352455
486,1146534517.200344
487,4619870615.981147
488,2960266103.551803
489,53599489879.32951
490,17900874980.831142
491,6983467674.731311
492,979541217.0310166
493,6597843167.565901
494,588114558.8290164
495,2558082654.6209335
496,1595310608.9199998
497,7252309973.389999
498,4070960143.9737706
499,32255142270.445892
500,29537963082.16393
501,545984242.8461148
502,2453180651.438033
503,436290606.5238035
504,4956135755.158362
505,3397432582.248197
506,2493825230.019508
507,3990693655.619115
508,866749140.1159344
509,4087716076.6701636
510,2580080247.2259016
511,358692498.54541975
512,1616546787.6527865
513,1700349240.210164
514,817058024.2986723
515,1048955363.2198693
516,7146387905.253938
517,15531101751.113111
518,1318531957.881262
519,733195971.3559835
520,227056711.60339347
521,8347673.220712133
522,952876763.8624753
523,212703524.69113117
524,112152767.56440824
525,234276438.1976721
526,48252071.46953278
527,260561185.93542618
528,39478967.56598853
529,208510041.74925092
530,28818266.900237046
531,105666978.6341492
532,208122746.9000755
533,7515211.116583607
534,7856811.621884751
535,633315467.5443282
536,129905074.09807047
537,162141959.8079032
538,26358240.84404426
539,416218365.9247458
540,749620351.9710492
541,631233165.1329837
542,81137587.96675242
543,116080052.85756393
544,51525329.584721304
545,145940499.5801017
546,18674094.184508033
547,359824541.51154923
548,2901810.818641836
549,448241032.1836557
550,287485105.6450001
