,1980
0,48473366.3462
1,65848151.85519993
2,35234312.977600046
3,38374658.04440001
4,35261343.96900004
5,27933623.25060003
6,3291357.886979998
7,306.21315818299996
8,2449.70526546
9,0.0
10,1253465.1041499986
11,672840.9414650002
12,0.0
13,48085.036221900016
14,266933.9287615725
15,0.0
16,0.0
17,233815.57531757883
18,284344.7648767429
19,0.0
20,0.0
21,274816.3256341773
22,118276.48113260805
23,2413.7579312100006
24,0.0
25,401822.5854870734
26,228111.4876344382
27,48577073.545734406
28,0.0
29,0.0
30,0.0
31,0.0
32,3099519.324238911
33,1844008.7327816833
34,3601628.640772891
35,3544149.2846302325
36,37592802.14771802
37,7392273.58016705
38,16466675.539650813
39,6368733.537311639
40,15644728.499694094
41,20001333.74329998
42,169290992.8603
43,92755604.33990163
44,14892635.818600023
45,25556636.516000018
46,34640472.490299955
47,55106373.580200054
48,76420893.11047213
49,36957591.551234424
50,28213464.48920004
51,18330896.071200006
52,47183225.816100076
53,49446624.925399944
54,918717435.2320132
55,190712421.57867056
56,281534489.62585187
57,1316875871.0769014
58,5474717272.692264
59,22492219.187299985
60,92786.28980970007
61,24308991.075500008
62,680038.743187
63,561610164.3660004
64,1692836.0241000012
65,1279767.043310001
66,100380126.10700008
67,153463331.5620001
68,1676722711.25
69,33835985.74250002
70,8030184.701780007
71,15112016.37080001
72,8191370.95554
73,61780603.390200034
74,41377740.55889993
75,11619365.263499986
76,152297991.3389999
77,146261186.7150001
78,79374666.9218
79,22163366.6418
80,2229739.0242500002
81,19725749.063699983
82,7975984.521910008
83,4895129.543500004
84,12603203.70599998
85,2316944074.608016
86,7686303.9610900115
87,377633737.7530902
88,16411523.50510001
89,274521705.1034737
90,57470403.969791815
91,4054191195.7280164
92,37689091.46535738
93,817137179.467377
94,1968345966.0111477
95,2152350440.979836
96,69765723.69409993
97,84669106.9677
98,44986000.4038
99,2947770503.0299993
100,175946493.79899985
101,2419889311.6900015
102,39728304.73279671
103,2540345718.3599987
104,878080883.4879994
105,106829701.37899995
106,939761113.4349993
107,70232174.5971213
108,373669131.0063278
109,412885155.06700027
110,397596688.31499976
111,121845468.37165572
112,988831151.7850332
113,396558058.4210002
114,159128583.09199992
115,1229241616.059999
116,280859883.60599345
117,91836467.07610005
118,42902614.34019996
119,12454671103.260328
120,200988578.810295
121,130151429.80599995
122,225302294.20999968
123,824918902.5592785
124,36870350.07399994
125,366167043.9169999
126,83555935.07490979
127,770882159.9370819
128,102068897.46936524
129,991411425.3205409
130,187096425.5588427
131,674805283.0407212
132,543298654.8578807
133,5614595402.4571
134,414516929.41831154
135,714250586.8675901
136,889276278.8402623
137,9778968020.051477
138,50813439.19698686
139,62907418.15789996
140,8078908.078369991
141,52570486.25129998
142,16983241.483600013
143,342724.6585489997
144,0.0
145,0.0
146,404706.2790904903
147,123106.74616899688
148,337772.01868153294
149,18666.18387563166
150,0.0
151,472536.17965111765
152,27419.763841989086
153,38066.26555355486
154,0.0
155,0.0
156,3723.0973576603965
157,0.0
158,425661.3003271444
159,2260666.0692754244
160,16482727.383653281
161,18552267.47093197
162,3486235.0680611474
163,6972024.612850491
164,9707478.177284198
165,285100.60189821484
166,53722987.352106564
167,51607249.104400024
168,12958278.8944
169,3400795.214794099
170,21492932.453049175
171,376697120.4891246
172,89693544.28043278
173,32367736.57049996
174,6667112.47992001
175,12133499.17250001
176,16654008.641800016
177,51639130.713399924
178,103769929.11800002
179,34533915.32229997
180,33291757.464400038
181,3213473.5062699993
182,59774216.03350006
183,25762953.0169
184,36391335.792799965
185,296679.46323800046
186,49425000.16300007
187,827066.3269649992
188,98307.6164557
189,9685.479453760006
190,32241975.614200052
191,3586466.3909899974
192,9745.778166690014
193,506726.0435319998
194,621503.935196
195,939827.2836119997
196,128135.82440099983
197,411624.64086699975
198,162096.98282199987
199,6057413.111909991
200,635446.469067
201,155959.75332
202,8672476.282809988
203,423319.33043900033
204,1474306.9054821313
205,13874732.321693283
206,14078301.642668847
207,54304954.910541
208,91575386.89157706
209,73475107.09168363
210,49979175.41096771
211,16359759.07604131
212,87219497.73566884
213,173982603.85693443
214,47181812.73334265
215,103368342.00337376
216,406868804.4659179
217,313067750.2176558
218,431942192.58173776
219,94251011.39576562
220,78824056.89447707
221,195858275.48426387
222,144760623.8992773
223,86459626.01746523
224,76665323.25400998
225,408643588.2672786
226,44164621.54127198
227,977860624.986951
228,254526222.2871049
229,337138344.89714754
230,561067384.5727704
231,877131535.5698851
232,3623358.9351199954
233,0.0
234,0.0
235,0.0
236,20014.872890899987
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,15829510.001520328
244,6796174.48962559
245,746570.3857823905
246,5828991.858225746
247,84937647.51399995
248,1338658.8543699991
249,378122970.6807541
250,158958856.31752953
251,27811805.931873452
252,326579074.4932147
253,215734720.56278685
254,16265677.683099987
255,26201506.40790002
256,1479158.394040002
257,86248749.3139
258,173200218.33099997
259,882802.4938699994
260,1279273.3553799991
261,18015547.56430003
262,84869047.0103
263,985001.2660029994
264,156612945.48200014
265,101474377.98999985
266,88183559.57419999
267,5409098.8040000005
268,225764382.47051314
269,164213240.4599999
270,24905005.998900004
271,34555521.40809995
272,6869364.235549991
273,4879597.8836699985
274,96206438.73890011
275,47956750.32055574
276,58105746.93979993
277,56954531.25535736
278,61829211.55215408
279,12091774.750499997
280,5090932.395980982
281,16360274.806078523
282,201022.41991061968
283,194651163.58393437
284,281959306.4813117
285,468605275.83003294
286,88244591.39282626
287,2365511485.2244267
288,165139978.71232775
289,113921682.64559342
290,1206571700.4745576
291,250752402.92868876
292,96982911.13013613
293,518169171.3898355
294,1012457927.2500333
295,261538413.51845884
296,202704476.81288856
297,127131748.1990001
298,4357306295.316392
299,146545588.70199987
300,141489863.54354095
301,378534645.0057705
302,360482287.2765572
303,1964121595.5360658
304,523052922.0065573
305,133113977.23928677
306,5014138893.208034
307,227216816.90816423
308,2176776636.984754
309,552881702.474918
310,198204633.47690162
311,93641103.35225242
312,147936526.0973459
313,995554448.0638694
314,180427269.46792462
315,79123081.07616884
316,115811138.11410163
317,324561528.3336885
318,255560956.1110164
319,312768521.15922284
320,440799874.4002064
321,75609271.21052293
322,121493716.16605076
323,63081371.565937795
324,128952908.41506888
325,944023402.7749178
326,410744889.7128197
327,39286838.324140996
328,60418955.42968852
329,69878085.31423116
330,55748740.834718026
331,23557077.96110688
332,47703751.07115083
333,117490536.56130986
334,260208441.2951393
335,66904283.70869834
336,263712554.9432278
337,44585147.81388685
338,83149730.36200008
339,85807528.48060328
340,404804104.87570477
341,69463589.94390008
342,101781266.50525092
343,90832766.8309001
344,20765005.325899996
345,56145527.55609993
346,34301937.95729996
347,45722084.0454
348,25507343.06870001
349,23470989.743199997
350,71073850.70669995
351,115523968.5089999
352,42119821.4032
353,82484796.5468999
354,17442686.672799975
355,16986000.205399994
356,45263071.34889999
357,61514288.47429994
358,4244360.543550007
359,3686423.215319998
360,5211913.743059995
361,2599388.011756297
362,33248382.3118
363,3117.433131629321
364,303616.7456739996
365,487095.0206970005
366,0.0
367,2317917.7623389675
368,0.0
369,1336399.747399178
370,16896235.24466113
371,0.0
372,195512.7423671153
373,0.0
374,0.0
375,0.0
376,6917561.4285983965
377,1511988.259519993
378,28438656.40507219
379,0.0
380,0.0
381,22890609.699258357
382,0.0
383,2103696.4961982714
384,1223604.7116982853
385,0.0
386,0.0
387,0.0
388,17163459.92018444
389,0.0
390,0.0
391,0.0
392,0.0
393,2967917.9839291926
394,6034361.55871504
395,0.0
396,20519907.667928044
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,2531995.7223699833
404,2925319.0003238698
405,0.0
406,6905302.880258036
407,0.0
408,29022746.63454722
409,0.0
410,0.0
411,48787380.769832775
412,26910434.68412476
413,0.0
414,0.0
415,3222208.7655653106
416,17267498.377926722
417,67595234.68887705
418,5865912.423508854
419,16398716.616228526
420,50777206.960495085
421,44388831.75164263
422,1177059067.7659996
423,34270392.33501311
424,4796758.124669836
425,69859123.67405082
426,59888348.29161869
427,2969245002.0800486
428,42422826.89759181
429,1580618.483266328
430,403910740.91016823
431,5106253094.59672
432,981280717.7529491
433,542828877.1997035
434,668532983.5087534
435,1421991372.5857217
436,1529077709.1425896
437,411299192.26340985
438,9582580824.676228
439,108277025.3037426
440,4982166065.01328
441,357206404.2210213
442,101168653.96943118
443,9182378475.138689
444,186267429.24804252
445,1802794753.4221969
446,23486764798.545895
447,311270350.49758685
448,149850819.8838269
449,11225422551.094433
450,128506225.34569031
451,2962887673.188656
452,9899479992.570492
453,535869367.0898688
454,1973664504.3577049
455,1250025824.110213
456,1179154617.0707705
457,183028783.05327776
458,7396127969.940986
459,9237054911.761475
460,20797917077.798355
461,14072561636.278526
462,1958182959.8888538
463,3564266126.028197
464,12750878046.604921
465,27752119593.85574
466,11931751964.746883
467,1889741409.8232784
468,2014755098.592787
469,4833367724.608689
470,27009097107.709843
471,21009957139.11639
472,7897001346.840656
473,11620296491.603437
474,26829819646.191803
475,2325747468.3091807
476,16089252670.26885
477,1774077139.4179182
478,6627608071.117542
479,21524102863.408203
480,2229614192.153278
481,1453431200.3775735
482,10973168994.394094
483,5540182331.482951
484,1193228921.873672
485,27270441004.54262
486,1138899267.7592955
487,4399113517.554589
488,3016992312.6536236
489,52590487775.19836
490,17537363504.738518
491,6797381217.514752
492,978644815.7558688
493,6456402026.721639
494,594407695.5988853
495,2425813083.4452467
496,1485181251.6130326
497,7012403321.258034
498,3964148746.7831144
499,31710517880.904922
500,28762575998.2623
501,545358406.725541
502,2474554779.0827866
503,433371557.4871968
504,4700836352.570819
505,3311922021.354263
506,2389622003.500164
507,3721605683.4045897
508,807110105.054131
509,3960769593.9872155
510,2515478581.6298356
511,350517219.3013606
512,1630631472.9219673
513,1659747642.79841
514,785124952.6002785
515,1015428598.941836
516,7150173998.222624
517,15545497520.275414
518,1282137614.3378687
519,733903314.5885082
520,227399347.66490164
521,8360270.134739674
522,961171584.2446555
523,214556772.7528361
524,113129934.72427545
525,200653660.0472787
526,48106234.029667206
527,259773663.76016387
528,39359646.02427868
529,210348571.76746064
530,29574639.223527715
531,108440343.81955574
532,213419443.37904918
533,7559131.554896066
534,7902728.443748524
535,635345466.5039343
536,129753704.73109344
537,161953027.03540987
538,26226783.00274262
539,406723946.6519673
540,735744728.2409016
541,613461844.2531476
542,77799268.004859
543,111304062.25507544
544,49405374.572416395
545,139889217.79145905
546,17707230.53422377
547,334899331.0577049
548,2700801.0569165074
549,422998170.01818043
550,277739643.2073608
551,253919629.15950823
552,1783811433.830328
553,99680280.99811478
554,3026481736.8613114
555,860069130.6376721
556,429359471.8096393
557,1356589285.8509672
558,576501650.5288363
559,875494742.5734588
560,370608203.9113769
561,1260257882.334082
562,1596616827.0746226
563,564213015.466459
564,2209805476.5868845
565,654343434.4979347
566,19774114.778780326
567,320913500.9128524
568,313174627.6265082
569,1012194238.4612131
570,1852380278.0677052
571,2642372129.134098
572,159884461.32665575
573,1729086099.8844256
574,2845201697.3419676
575,56975344.23577706
576,2113057656.423279
577,231211430.32293442
578,1867532121.4652462
579,1350917532.1964586
580,4165509976.011967
581,1403377951.6184423
582,2341018096.519345
583,3918399324.692296
584,100166983.1627672
585,1029782484.5174754
586,1509462182.857213
587,1560447074.068656
588,367808487.86970496
589,659510336.6834853
590,250326548.25365803
591,42707291.673660815
592,95560945.23287357
593,943164321.3541595
594,773672409.3365693
595,126727226.52547176
596,10536170.622489836
597,26655386.149865568
598,2412054.2664020327
599,293650.87936432625
600,2002562.7085836718
601,7721558.07234182
602,778256.5571171222
603,1215621.3538575748
604,737329.3270781597
605,5281.632148265143
606,394058.60426682356
607,612175.2456467722
608,140086.6331297869
609,95773.7753633
610,33910.68824569998
611,209485.65355500014
612,4785240.447090003
613,1660810.3625500014
614,1002838.9256900008
615,4913745.409810005
616,4602778.315539994
617,7111196.625980005
618,1671810.8318700008
619,56257177.66493774
620,1263658.532720001
621,12283936.434354275
622,66965485.76500333
623,2546006.4716460663
624,13001778.71050442
625,70531672.4918509
626,35324640.848970465
627,30898556.015021358
628,8998803.723236889
629,74974469.7790754
630,1871590.0091422598
631,61762470.30171154
632,204759709.77765584
633,25507188.893295094
634,13480985.764900496
635,14886141.315099988
636,273120645.20439327
637,638589054.1911801
638,117509153.25416386
639,74368385.16012624
640,18120297.35739997
641,52817769.444704905
642,14245967.116709825
643,342213347.31663954
644,22105598.598242637
645,97595482.454846
646,8045294.525438527
647,140810284.12906548
648,320714960.49404925
649,40666012.913000055
650,18809119.463000033
651,12223623.64830001
652,19812464.386199977
653,5630915.845578524
654,221395485.69665602
655,46808642.283099994
656,32650077.37336722
657,346047833.240559
658,143539227.7420312
659,179001168.4312279
660,14268071.484952945
661,159790396.13824263
662,4199345.188040655
663,59747863.51842786
664,93852.90024347705
665,13393623.68531623
666,2343503.653682459
667,120405566.36971147
668,78723589.12915576
669,1127177.7954000004
670,11245132.256299984
671,221977.7051359998
672,1634563.101459999
673,557327.5312779995
674,4263555.614279993
675,3995534.0176799973
676,13683387.262699993
677,2349672.2448599967
678,23767528.520900007
679,8456071.950500008
680,4928963.91079
681,1351490.104570001
682,44019595.33150004
683,9680222.481490005
684,4113549.8732300038
685,77909492.97700013
686,759467564.1264429
687,186102.47493279178
688,79490632.61552949
689,18352279.142260663
690,470899.8286335406
691,87564218.99817207
692,218290067.7620656
693,297756955.6681311
694,1323633.1992217214
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,17665.454412562234
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,227098.57770069677
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,1292058.2224417788
732,2980711.982618222
733,8535974.737860164
734,12920.582224417789
735,3250337.979116902
736,58142.6200098345
737,42969233.58733822
738,27169693.278789993
739,2821468.1481821793
740,31830204.79920541
741,31395248.522922948
742,198285.7801447623
743,660952.6004826393
744,71146530.10489048
745,1298116.4001812295
746,3856169.3064211966
747,6170164.429106069
748,2436440.555222338
749,16176617.31831131
750,0.0
751,0.0
752,0.0
753,1195101.7800301968
754,4626200.438828362
755,52417894.334946856
756,25276782.245582633
757,1468360.7943492802
758,226409535.5723328
759,10215946.40747164
760,19159069.61503296
761,135436095.86608362
762,57485392.69352463
763,20211097.369130004
764,37501915.30100049
765,44814971.49160083
766,61344309.01361882
767,40203560.39918082
768,4336563.818339362
769,84624463.75547963
770,4375112.976932344
771,18718232.716550224
772,86633684.96900494
773,90240859.93263622
774,82720568.38880982
775,4309230046.530656
776,2903722531.58246
777,2472377065.683606
778,1921534247.9457374
779,3772011590.2852464
780,19746268118.477047
781,8559977914.38508
782,3553672834.1218033
783,23496431188.086876
784,6504125655.389999
785,1863647823.8259017
786,2890315661.1475415
787,14393489419.706396
788,2302532322.5962296
789,9025679306.889668
790,7857607625.49803
791,4323140192.768197
792,1305386551.2414756
793,1285060280.0026233
794,7425980625.017705
795,5482546742.06541
796,1455066474.2483935
797,5349198618.960327
798,975484436.9127374
799,1402194403.716951
800,1311662547.4828527
801,1409928220.4025252
802,1619799252.4410982
803,4958051266.320492
804,587326337.8014262
805,1067407686.1201472
806,6796177448.688524
807,4097021880.4262295
808,533072697.77095896
809,3373117245.867378
810,242293359.91442788
811,235613797.39546072
812,357789815.5591638
813,336936414.01540804
814,2997729216.3863935
815,2362844449.173278
816,124268379.6940508
817,89579447.1760754
818,19663240.36482803
819,4369608.969962115
820,61393006.02795899
821,51452145.62128363
822,37837013.17781525
823,6605857.689243934
824,370338753.7085509
825,149361517.5683852
826,464760724.27924585
827,629301873.1194916
828,1204116520.6901965
829,259276794.70296884
830,219945499.29976073
831,89477675.91499834
832,102771502.05091801
833,365059256.0238032
834,1742731069.8465571
835,100562164.66428196
836,34311422.51218197
837,404008311.2725902
838,834844188.4166065
839,523109834.948541
840,600201296.3187377
841,2484074014.4780335
842,42853471.17948196
843,4421296060.999673
844,1105861020.027852
845,1749503450.453442
846,335478230.19399995
847,3742302648.170984
848,460338900.47231156
849,461973021.8278196
850,1726870553.5818036
851,433333940.84999996
852,436011250.4802948
853,3990891320.4165583
854,78196089.43188688
855,23292452.171201635
856,41593664.591432795
