,1980
0,55286499.463171326
1,76961021.51351477
2,40160320.85368493
3,44935855.04157707
4,44275935.069941
5,34754248.66585903
6,3720892.073330367
7,500.719818915434
8,4005.7585513239283
9,0.0
10,1890074.072389632
11,1014562.9216915449
12,0.0
13,52198.12996180818
14,271500.6568537066
15,0.0
16,0.0
17,237815.71183485084
18,287474.69599830196
19,0.0
20,0.0
21,298732.49437763396
22,220698.99499795912
23,5646.859085276904
24,0.0
25,385585.5400679892
26,219323.8369408965
27,47463387.30861687
28,0.0
29,0.0
30,0.0
31,0.0
32,2971205.6596780275
33,1807191.342795078
34,3529718.6959330263
35,3424931.707048967
36,36375216.111036725
37,7181787.896199674
38,15968921.725659506
39,6200569.812912622
40,18202828.8451518
41,29454572.854094584
42,152841222.49097383
43,85134016.799059
44,27612514.73223344
45,47421036.11053248
46,65029772.05972786
47,114007617.71727161
48,113282689.82277116
49,62273562.75676869
50,66525716.01069886
51,43305798.65143821
52,100624698.44616675
53,61172068.06870328
54,871091751.6110607
55,198796017.49908528
56,293648745.04218525
57,1229388515.5429838
58,5537363785.928361
59,50643351.93579836
60,101976.32063200658
61,45266598.38979081
62,882470.9766030819
63,979143987.9607592
64,2270706.942517098
65,1476253.0757565245
66,142428040.3726328
67,214983739.64060324
68,2101681810.889294
69,47614587.780041814
70,11981925.112185739
71,23052403.323665082
72,12572918.349281969
73,86938739.88510981
74,54318103.04156851
75,18269349.599572953
76,219492130.38434762
77,217968821.44353607
78,125950615.40574759
79,33083962.270368196
80,2312581.8498150497
81,21755617.169323444
82,9058784.980465477
83,5579275.50514673
84,14314543.853981804
85,2220620328.9844427
86,8738673.324977867
87,365517247.1499655
88,18652236.88427001
89,265729281.77028355
90,54104655.17819344
91,3949887274.79482
92,36816828.07623771
93,902559743.3288686
94,2240258356.845754
95,2418543782.9291472
96,85548069.24507543
97,102400510.10495737
98,57004683.259216405
99,3719593060.909852
100,245747685.37800986
101,2833171975.1604757
102,38973676.025150985
103,3014552280.5979657
104,1057044554.3121148
105,133974266.01413445
106,1089389649.0378032
107,54259496.53581592
108,476088280.496941
109,490705149.18021643
110,473804995.4851672
111,261674910.88676226
112,973501305.149803
113,687549031.5208377
114,280236141.0500344
115,1628389432.378612
116,256077083.73789844
117,136540206.76017016
118,64584024.57138643
119,10209894493.216724
120,305783777.5128852
121,184064443.4159913
122,294314884.0508412
123,764402461.0273724
124,56366635.297683604
125,468086433.86321634
126,79181132.2658149
127,724652646.4321942
128,95563250.05820477
129,949596596.4506882
130,196289407.39851472
131,695652970.7517542
132,564928383.0458196
133,5777218724.223768
134,425993809.71614754
135,735732062.0780822
136,909306316.1709014
137,9532196202.22623
138,55901537.56837213
139,72509089.50283115
140,9208396.961813936
141,60507947.732472144
142,21219182.077586394
143,435186.68010095065
144,0.0
145,0.0
146,411630.02813353285
147,123507.11476315842
148,321751.71884300315
149,17077.397198552513
150,0.0
151,455957.12447990704
152,26497.3761037019
153,36785.734590863955
154,0.0
155,0.0
156,3586.3274796190663
157,0.0
158,417162.5672038215
159,2211059.698079706
