2010,2020,2030,2040
55968724.9,56193211.63888559,48427895.04702368,50858154.65354273
77852861.22,90276760.79604411,78540675.65262984,78664502.1796965
40660284.96,40588547.16931595,34959328.63141593,36756337.44491356
44733271.77,42511885.33532727,39337810.35906059,44596510.77485107
44919353.31,43849274.20416189,36009959.02736191,44415990.70362856
35360966.55,29291452.76447955,29954182.295693837,32597242.101670023
3629572.1989999996,2935971.141718888,2776735.445031126,2786025.7190666487
47424.67548,47320.0793946534,47202.61767050111,47191.28957297365
204726.4939,203889.7252172272,202950.03142401087,202859.40664378795
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,2221679.2809647387,1341217.3276624046,1721579.0808681664
1250882.472,1072203.1042846458,599584.5625927885,803756.947828122
26438.39926,26438.39926,26438.39926,26438.39926
52795.4994,53550.33250528743,47876.16989180647,55694.84356265887
437333.5578,546467.9505619674,456781.68798660557,444826.10749039607
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,349087.4884207002,270528.5537080764,260056.2958540949
306338.9808,428414.08394662885,325382.6049642757,311934.20598290424
15859.6401,15859.6401,15859.6401,15859.6401
40743.689080000004,40743.689080000004,40743.689080000004,40743.689080000004
329797.0087,529551.870841293,326208.82203883125,296613.6868134317
334472.0998,477928.59886547294,320037.24291011534,284364.9418269392
197779.5091,201261.02879024166,197369.192365865,196383.0862736018
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,537036.9096508862,388283.7830717304,348516.2104629161
218399.7186,318229.8210513727,233912.50576822206,211022.1118627888
50565716.25,57789157.01383312,52318582.82295293,52000998.88264342
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000003,5994362.681654643,5840555.960030927,5011816.835612585
1652844.4619999998,2697925.3183378014,2556673.0301136104,2147354.656984892
3214013.1410000003,5255214.506908581,4979327.371567197,4179866.5286526256
3383474.403,5276965.6100016935,3173393.7274404718,3118734.4020018913
36180303.27,43233347.17625134,40057409.89065608,46586530.95750371
7143323.369,8207110.684307915,7648218.21452125,8897744.868442677
15978915.89,19081294.78480236,17847900.864784744,20665284.016929977
6196272.642000001,6870623.362942077,6470612.988617315,7556762.343817314
18964471.05,17469040.548762713,16903290.53718081,19556856.63222986
30866912.38,24666359.586436514,25150185.564267933,30040204.783201274
154488607.7,229219072.99634913,213364129.66794437,188065505.42736816
84794797.59,101126673.21553998,102175283.79457329,100401273.30792093
31485148.79,24295182.829703253,25278396.942366872,31688025.040515967
54283985.8,41673656.69205975,42746119.79569594,53531053.36597309
74608129.95,58011731.35678673,61516146.51345911,76703660.91671579
135936541.1,119256741.13544923,151249200.94357497,182703781.47869638
132380711.5,160633156.2562788,228338828.37230742,265588654.0559808
67418707.75,110337077.46336633,198543389.9105664,399848711.3450663
68774324.82,99704465.86555174,132185582.43165652,176960738.9990993
44754502.59,65691051.40069238,86761768.04535428,115831136.0929971
104315426.2,177021343.42866904,223600884.18908334,308402857.7511024
63006571.83,84715614.34323741,69414962.41161358,78789640.17776597
895247507.3,1121537614.3829405,1348698974.885893,2308143424.1269884
186931955.3,268216188.40142995,242673605.0671443,330408960.1784301
272861804.1,305832289.89576083,282685774.0995227,385201155.4961895
1310540681.0,1588257870.7151933,2182437176.4233837,2755164530.0045743
5332421961.0,4722698471.124331,4800102629.207189,6521630166.444809
53090729.75,57604973.62367094,91794247.60406616,161906053.18589473
333539.9671,386080.417092004,405458.3781431182,411714.24612005637
47270845.92,99983842.65791044,117894007.81741518,172901958.3155771
1743044.06,2424122.35721088,2355619.051462975,2695399.6740122614
1011642834.0,1806643983.2599845,2293177988.6855555,2834802824.5034122
2276765.7180000003,4324235.470964571,4259374.913249192,5397192.575752049
1789053.1830000002,2661276.746784768,2688258.55226053,2955773.1757274345
148406084.6,281711707.0105655,291711142.0206845,356555994.7670083
225658188.0,404077731.7865224,349858794.37066054,413721494.019132
2217466603.0,4792242840.128572,4304955982.809048,4301875871.003334
46840383.56,70204884.66983065,64056601.17654967,93255952.42600684
12867877.85,31903311.83680092,35640704.217551395,48083480.77833709
22464039.45,27273649.558098592,30311628.268365256,43261324.48383239
13328176.2,29310159.522380356,32729536.168797012,44713890.13036369
85525132.37,128186013.81915773,116959958.01801012,170274602.15234345
53012451.36,106345070.35825823,108133867.06150112,138198382.4412154
17984684.83,39646704.921912484,46698217.77975536,75519243.39126487
220063950.1,486310055.09989035,403643157.9619379,509443335.7026522
222728589.9,620973230.8246422,527804080.6163564,663217004.70488
129726839.0,371516661.03937757,417962612.1099205,643863857.9224155
33670614.08,64949163.47909992,69415075.61619514,113480433.82576662
2495797.236,3094973.507785903,3832792.5710411426,3603440.560143046
22236608.57,25571049.63306446,32621993.89785494,32188135.9772597
9334282.123,13028563.292778505,17422136.24625708,17045785.850895643
5750478.142999999,8074614.012974256,11019209.348142825,10928313.530315213
14727511.53,21296469.409936633,27852169.01846806,27203684.7343333
2251088225.0,2429150715.4628243,1611126699.4275398,1364157906.3065875
9001923.365,13356799.348742386,17324103.631940003,16791529.420180004
377196688.6,406375048.400289,276216302.52003664,261375169.895932
19208226.61,28390367.31435337,36838515.72223432,35737676.112320036
274230524.0,295564734.6034533,200917332.61529619,190186461.76988667
56592140.4,105082569.43721655,125407523.59023558,109024540.94604038
4104313925.0,6052033295.657587,5556345101.954729,6548761255.552824
36190733.47,85770657.87978649,103278603.01439124,90912566.05359599
919691610.7,969535749.4058157,1104938999.5307205,1244931404.8689106
2233347780.0,2064697842.3197408,2053301688.5725026,2347862382.456503
2474594725.0,4514352827.157837,4572146474.4602165,5594434947.737837
89472754.95,128812503.66277376,130425844.3370595,166780256.0906786
106288930.7,171808262.41863212,147052670.99969402,177747111.89179397
59560878.67,61764786.8235612,53965840.00233739,59041527.53710406
3686657534.0,8340137673.720388,8046412951.792767,9359897055.687052
249309023.1,316174062.9042156,260279899.104968,302468777.5024108
2841584474.0,3770605789.500495,3086658375.925258,4215517657.897639
35835674.06,46159686.38222935,55559381.75258695,53132735.864510775
2987347055.0,3381804029.6444807,3313896254.6401935,4131993916.715909
1069970062.0,1329589947.9912822,1259536121.90233,1628414647.8960922
135921306.6,148237708.49654135,75333247.38442233,266111032.30567944
1098589334.0,1622699760.395467,1645002411.0459907,2749081974.0398483
55397985.85,301049709.9851441,317160211.37032026,234281827.65654397
662086205.4,3146973367.6014233,3558555543.965186,2955859118.0355186
499680757.5,1079027169.5520244,1213376630.940167,1705945003.5372143
483186786.7,1108965382.8253908,1242586144.228534,1706972492.0495813
402653991.4,1800121123.1851826,2064908511.171664,1772581597.459949
968206467.8,1366037648.0632734,1494113888.3245118,1526737674.6388452
