2010,2020,2030,2040
55968724.9,43788697.11901101,40946377.44952862,41561490.47379386
77852861.22,61319453.026432276,61187346.206760846,54006957.81574655
40660284.96,31784395.49052205,29646229.218773473,30259335.727042522
44733271.77,38046450.43783554,34469826.047759354,31902164.032921247
44919353.31,37149009.099344954,32389358.819902096,29385544.266430657
35360966.55,28885430.895111084,24346648.17830156,21461128.95561585
3629572.1989999996,2689246.075809079,2447473.016457336,2036407.2071981563
47424.67548,47447.03250190201,47456.214647806715,47243.579378960814
204726.4939,204905.35007521772,204978.80724245906,203277.72509169162
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,1736145.3780668718,1798135.9225257293,1625489.2286805622
1250882.472,811575.9138993961,844851.4922601009,752177.3813952836
26438.39926,26438.39926,26438.39926,26438.39926
52795.4994,47766.370918195105,47854.69063276653,47192.7051164951
437333.5578,358943.3357041427,341708.6013088541,321580.73498371604
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,184828.95481097218,169732.52493119412,152101.91249252265
306338.9808,220452.20150218575,209506.9038254576,188144.84246926045
15859.6401,15859.6401,15859.6401,15859.6401
40743.689080000004,40743.689080000004,40743.689080000004,40743.689080000004
329797.0087,196981.92330084348,283407.6879617946,279626.17142210435
334472.0998,214347.51550438465,307565.6275451408,344764.88979145576
197779.5091,194629.2651601666,197031.32077827162,198253.45791084328
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,354841.47895854514,397833.950223607,404515.656014026
218399.7186,208613.07811034875,221641.00399508726,226727.01252608735
50565716.25,42863808.84461225,39161285.26571632,41296452.5602606
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000003,6157248.301181138,5128522.487584932,3958527.5052542198
1652844.4619999998,2629543.5095725073,2082983.484307507,1586683.8806464116
3214013.1410000003,5121654.466452394,4054139.8685578033,3084791.494456374
3383474.403,4386881.277314538,3241679.9474044414,3117008.031470586
36180303.27,39312426.94170103,38564224.43332008,40528300.33163914
7143323.369,7811542.40253384,7875188.710310985,8374595.921958602
15978915.89,17415506.48510197,17331670.451234832,18091328.31747721
6196272.642000001,6902522.653437424,7102190.161962665,7561761.125458856
18964471.05,24138731.96457531,21657380.094901036,23763364.472429127
30866912.38,36616371.951569974,31768753.89801189,34642854.89101283
154488607.7,159774740.50097296,150069626.86985394,158768120.26800156
84794797.59,90121845.47483377,113247251.62078136,116918777.60227188
31485148.79,34079042.32970956,30893798.940248612,27667921.170705758
54283985.8,59151799.755952336,53141616.37688565,48140111.761158995
74608129.95,80797313.3656646,78872516.56260175,75456475.44686365
135936541.1,142403558.5358233,179930268.80654708,197024177.36684668
132380711.5,129268207.47688721,151340271.06151575,135221512.47899526
67418707.75,82525256.69635925,131132461.72936401,155308457.49697828
68774324.82,98167441.76745068,144032708.5153364,151873094.53114116
44754502.59,64199687.94758684,94069901.23795491,98906940.78312683
104315426.2,146540679.7501155,205410887.74034417,216558871.51499653
63006571.83,86974833.0939275,104308264.50036559,116331816.62865603
895247507.3,668994576.0088011,731734863.5856587,852690129.3397062
186931955.3,167450728.55752945,184222488.15412465,219194079.4857057
272861804.1,243931405.5792092,258842032.23942816,302088598.593042
1310540681.0,1079424157.9696665,1309187343.4309998,1497910553.5359044
5332421961.0,4373706274.339032,4783468574.961412,5171007307.1385565
53090729.75,63725187.85536228,98718333.26974416,115129781.36774513
333539.9671,309029.8590836171,339302.38437946944,338338.1014965123
47270845.92,63442079.41495254,81270565.47371921,87362428.66894302
1743044.06,1595380.7199322311,1801859.5475265174,1866427.9815482788
1011642834.0,1495372102.826416,1989040726.6626544,1950878947.7488918
2276765.7180000003,1947902.3981477465,2402986.9210715564,2623265.6719901753
1789053.1830000002,1544996.0384072473,1839256.5088849615,1837206.5355538186
148406084.6,215485317.10038412,266464484.0257556,226286173.2137318
225658188.0,338819417.9909127,422426374.1775079,336601177.8532555
2217466603.0,2903443678.078126,3365089971.8456974,2843640092.338792
46840383.56,51917950.25476619,60240732.97013237,63716046.6534519
12867877.85,11780399.546576923,11893565.841639303,13604227.103965018
22464039.45,19179837.296866614,25345425.127939,28746082.0376709
13328176.2,12133836.60632665,13230772.292526646,14835528.021048557
85525132.37,94796182.91785021,109992623.23890929,116338144.77802642
53012451.36,47728623.345155604,54682560.25410323,58244867.36297037
17984684.83,15611428.169981295,19270290.820280816,25198056.66895225
220063950.1,218123823.47335172,238240837.45374703,271660890.2049993
222728589.9,197867688.24906996,204801381.36050335,260443443.47598904
129726839.0,108786295.49500084,119449587.12127228,159600472.30945325
33670614.08,34215216.77369948,38905560.811152816,51571691.68773519
2495797.236,2177282.0576373856,2619005.0531607196,2533268.4780685757
22236608.57,20707173.824621815,24660241.175437532,23265638.385547522
9334282.123,8381553.630431,10590855.464385761,9669620.034365764
5750478.142999999,5182865.2100224495,6710229.852600544,5973867.034813404
14727511.53,14072649.248404162,16946338.590137016,15745882.918230832
2251088225.0,2529678701.897476,2672355996.182667,2523866430.071619
9001923.365,8721505.822380302,10386035.107182685,9718830.54507697
377196688.6,426908653.7510023,461581991.3119783,456575345.1627928
19208226.61,18589574.643327087,22137446.606331848,20713607.635665182
274230524.0,310396564.46750534,335629847.5521339,332015103.6613339
56592140.4,57536071.11493412,57218633.933591254,54450167.20230555
4104313925.0,4209476746.9362545,4887608404.374777,4732746615.771921
36190733.47,33982176.69948548,35143220.26980453,36998907.088547386
919691610.7,1004762374.280111,1017030807.5462067,920591339.5793493
2233347780.0,3645018139.189896,3558617512.824276,3262445267.759705
2474594725.0,2539272842.3764744,3223760284.734666,3106914998.093904
89472754.95,104570262.6378225,122594545.47856532,126838455.82129867
106288930.7,127131976.67406723,162763708.35528153,191047091.8826244
59560878.67,84451165.7891896,78382684.7438896,84584978.18179911
3686657534.0,3963989862.8475137,5384641495.383228,5829934775.099371
249309023.1,394143526.1435114,430479538.4765307,394382204.4364829
2841584474.0,3461052023.52669,3733600727.0781612,3681471234.7169228
35835674.06,33648496.86395297,36761154.92923393,40684045.98619105
2987347055.0,4432506967.45138,4442387434.576902,4113729705.291332
1069970062.0,1346820198.588829,1414492423.9521146,1388771085.9256387
135921306.6,158554339.0953683,184600968.75522542,184428847.85204455
1098589334.0,1126028624.408746,1351176864.4328892,1394120130.447984
55397985.85,52431192.84425616,67419911.08909139,63567405.006507576
662086205.4,596157964.7668619,702283753.8753189,693187981.9742332
499680757.5,471753536.135932,626720779.2045988,664209889.8214558
483186786.7,456892321.4041882,608689247.9642692,644338790.8268409
402653991.4,354476988.94316065,402644476.08385116,409655024.70644635
968206467.8,1215701518.1734183,1204002944.5637515,1171206567.5262754
683568133.3,615757622.145509,733947724.3083186,786291968.2945138
286306904.9,251653673.2315234,294325151.8109234,320120838.0175044
1676381649.0,1550607235.8311818,2296688409.255849,2524902124.584182
242634961.7,205757403.30284953,225296351.75750187,264441662.9681114
145308241.4,135436858.384376,216208495.64345697,258569131.22962847
67384019.19,55006931.85959926,83140400.00794686,100044766.61763732
10135488814.0,9705389936.046825,11642421070.115396,12486190136.973969
341535156.0,343197721.97855365,468165309.05403453,573147782.5721774
193508227.8,170604641.79691118,207004618.1071207,259786305.63999677
298658349.5,252810955.97129852,268530803.04984134,361277910.7991318
739650029.0,631596885.183448,751700475.5126243,909387387.9986004
65901975.9,72270441.07442108,71513203.32528776,84712800.1110687
473442499.4,404965845.60229164,397735446.102349,549258247.8048679
84208400.71,93324137.51572022,106982491.96343453,122653895.44606313
750586648.8,568387592.2234195,610066527.5981529,737074221.4019959
102437267.3,88605692.89574184,94480836.34885135,113181181.41890371
918550392.8,788187815.8422806,925125304.6399,1116163902.6882334
186264192.8,160508549.01211104,186951522.5108634,225951298.34671107
669293725.7,588679258.5938252,663788184.3011109,775990093.0098252
529580769.9,472281538.5222564,513704835.6351706,606096175.8352851
5439423780.0,4930129299.246628,5130858269.934249,5545625692.265677
404345850.8,389400271.60639733,395494610.88906395,431351290.61449254
696068744.1,659503567.1439179,675222965.7817273,735809895.3201561
860168070.1,803888078.0733405,824641673.3554832,895517207.535531
9312545294.0,8751647588.128136,8356972548.890039,8921836058.427181
56792379.23,45772288.93025705,43694255.19919038,38723293.50919991
73383734.29,57559729.12351405,55377004.90400452,52948888.00676644
9323034.192,7287873.319607775,6797611.2056087265,6938190.961649205
60377885.76,49906524.73986456,45749834.222312175,43884841.94306457
21323629.95,18010620.446715623,15616972.8090442,14001242.35652182
442356.6698,363624.5128628859,314484.52075069543,284207.3537916478
44111.58976,44111.58976,44111.58976,44111.58976
11842.60692,11842.60692,11842.60692,11842.60692
442450.8451,323601.15353528294,297471.0723553102,266954.6298623387
131563.5423,93067.09759945785,92408.66074431594,83203.26824840378
341868.9285,212722.67465108706,284078.18923772994,259597.22583036486
25127.10242,17023.53506339316,23973.27725342697,22652.2891096587
89500.48261,89500.48261,89500.48261,89500.48261
774216.2703,753070.254236044,802853.4352253517,811327.3698053849
25375.57318,24328.564388001487,22350.802713579596,23364.808117281013
35228.35983,33774.8201517314,31029.13636196807,32436.85814951807
5984.970359,5984.970359,5984.970359,5984.970359
173216.5928,173216.5928,173216.5928,173216.5928
73147.65441,73215.72749736941,73415.13004282357,72733.27386620175
6566.399815,6566.399815,6566.399815,6566.399815
380541.8591,605997.9424831166,479832.89406210853,365269.69764620403
2028144.177,3154178.719300252,2481861.4675358892,1911874.904120557
15305038.1,19806422.88917833,14564545.90805471,12593234.51083028
17986551.7,21658717.347113196,18232283.194850348,19543216.06224749
3387085.289,3728638.2222692487,3862150.9213030576,4143661.2777182953
6747035.107999999,7391458.281024542,7507088.076465018,8002809.948787875
9609334.725,11825150.657323178,12198683.719276508,12696019.055967173
281608.9016,348216.9342087653,359224.48527923663,373034.9862453832
73751127.38,89040608.44867255,79632527.73474877,93337422.8584202
86232281.18,98722128.48915882,87606419.79638264,90622635.1897255
26596665.73,27541441.621274747,26484027.770033315,21994001.37587855
6560960.64,6463008.742861249,6551394.726366152,5251818.127173295
42172691.38,41424275.28479411,43036463.08134745,37387120.28125649
440284946.2,470935938.40774304,673012008.5564765,737911995.2693098
207807162.6,250019121.07220274,391763791.90308845,459467221.0526122
75495764.12,92377880.73763794,141580728.63748556,163018200.30524752
16277616.85,23350006.408530895,34214072.793152794,35973347.7676166
25866100.22,35729631.197704405,48727999.730475344,51843833.26209391
28966354.76,37323746.81763935,43372711.55064793,47454910.2466065
77355293.09,110649347.7579521,140443346.50767595,129840053.90596645
153316297.7,214377689.25043115,263531901.71035013,237420611.4644835
50174741.57,65137898.69611153,75136337.22838008,66985351.19204675
46499439.35,53275963.29397935,61808121.64092031,63111371.26106887
4448528.048,4930755.052533742,5721186.930529979,6051244.654640408
82776295.23,91748140.14271168,106445661.85849504,112772667.51775834
36553600.65,40478008.27914854,46647666.84188139,55108195.80140711
53497219.11,58216408.99449234,66517371.03006376,87745131.90474473
432634.1758,478593.5807670835,547440.5385695596,721341.9081429406
75568632.79,74913282.39408714,85708337.04466334,114022198.19640139
1802304.6840000001,1779040.6432909528,2111185.1468300954,2508605.2095260485
256532.3634,247154.33781887655,279304.42671105755,315033.2012299618
25274.12447,24350.181063053144,27517.677505586013,31037.75381283552
49717377.13,44538983.706636086,47361935.82282178,54931015.07168845
4665736.829,3891758.611161974,4980158.771063879,5332812.629107214
239569.7721,237453.57773596363,240412.66921422412,241338.01301390078
908141.6872,776698.0611950756,938227.7595745516,931814.4340615994
660805.3117,553629.5884456533,665496.5423275582,627071.190468606
1014413.969,840409.5561703099,1028358.400244596,988550.4579677861
144805.2629,120107.98612617391,147487.888294631,145210.58025657394
469108.3658,399616.5082785194,477445.45067742415,474621.88904461445
187119.1696,165722.00895396248,190232.1944986768,191843.39062420055
6999437.024,6205334.847565856,7176269.70399157,7181618.0502439495
745732.4153,676051.1772049163,869883.0536323452,776029.1697460592
180075.7296,173805.67224623178,202290.30357604127,190578.63845727933
10013496.82,9664836.845005963,11248785.808590721,10597533.573240725
488776.9805,471758.2533968205,549073.6812915824,517284.87596929655
1659545.0680000002,1619114.4353688145,1830633.8024750045,1722080.9728464335
13600194.24,14117945.85630507,13500118.515693162,12560392.113595543
13582460.29,13018964.578224944,13271128.702253515,13639090.427697798
52395204.75,49185418.79454872,51377545.012629665,54760409.420334436
82410589.74,80686786.97019109,88806793.27853392,94088842.91200536
89247606.08,84033168.27254769,96374271.30634293,105379484.18608582
39422752.72,37311500.022860296,47977890.21566458,45236339.375496484
14146402.05,13387871.388168978,16927483.23216088,16099360.740212789
144908485.6,131197045.75858197,156918738.7774534,167155741.3821248
235851934.3,212537960.01831818,250577671.9957418,271319626.1625753
53691725.72,45916034.456258714,51373028.98639682,58473939.292145394
89138808.61,75856423.06957673,83243063.58034815,97412632.01885766
351494117.0,298071293.1204673,326376469.6953673,383084482.84490067
269255005.3,223051470.63206694,249301167.35149544,293559418.90455264
383158985.2,323217421.5093267,392941488.3619886,474517338.6060266
93286963.48,80107318.24060094,94021316.04452476,114605752.6404486
78049437.78,67038937.426426575,78641056.66710274,95801776.12346943
190687638.0,169330843.690498,190442155.92903614,229295134.25787422
139755169.6,126700754.1898975,138001775.343388,164862244.20357367
83972774.66,75902248.05665466,82495633.07196274,98390488.13310848
74535898.47,67315471.2969428,73018901.80315743,86976165.32382378
394491077.4,366492337.6483256,378767865.332297,436932569.6288113
42549451.07,38203278.01415757,39534290.31470471,45696541.32989565
950336204.5,905538728.1953923,924035682.4020112,1029023140.2464398
248425086.4,241624654.73739827,244219780.6779697,266500083.61088398
328942764.4,319939598.2088517,323296011.5576612,352742139.86602795
535038812.6,520543543.40579855,517338630.6949413,559210035.3013699
826167233.3,802991771.2693816,791092615.3718578,850464904.2395724
4236500.6110000005,3283250.1692286916,2872846.8359268825,2447606.5866762153
28235.802460000003,28235.802460000003,28235.802460000003,28235.802460000003
1129.432099,1129.432099,1129.432099,1129.432099
7780.532234,7780.532234,7780.532234,7780.532234
39291.037189999995,52775.17484455924,42163.478130930016,15915.357137729294
846.7199762,846.7199762,846.7199762,846.7199762
8087.039772,8087.039772,8087.039772,8087.039772
0.0,0.0,0.0,0.0
4258.953308,4258.953308,4258.953308,4258.953308
125.77573590000002,125.77573590000002,125.77573590000002,125.77573590000002
6225.898925,6225.898925,6225.898925,6225.898925
14466668.29,14059857.711158825,14521889.565181205,14212485.398671681
6194928.422,6584392.214129479,5942903.420641146,6371535.54648043
701849.0140000001,726203.7435364118,1108283.304663633,1121213.9680322376
5479821.147999999,5669975.382457303,8653135.032802494,8754093.673726588
125399578.9,183268292.5989442,227449656.2887346,208977822.90260136
1972342.0280000002,2888699.5936259055,3546083.5470640473,3251668.162618048
376885613.3,429426386.70562613,462487832.39101183,450996391.73622125
158790251.0,179731809.80330464,194342872.41035226,192249793.63351414
27782306.36,31446289.49906928,34002674.51025595,33636464.64883213
327924027.0,349285574.48313946,395124024.02476805,385058412.60653
246741549.6,249244410.0778437,319434613.8732723,308860317.01872945
20834997.97,19971496.782762334,33517740.03376233,34431984.94802233
32744868.16,39603505.33019526,49330486.35932955,59354255.728820026
1848028.5890000002,2240504.6934951358,2781877.04812447,3353228.0302704684
107957626.8,132610634.5825344,164053178.9582439,196215055.9655535
213779486.1,321041537.0301666,354503913.3110428,369239219.26583326
1046547.6159999999,1625987.0719378917,1668858.3864879392,1663000.752129082
1627716.371,2382961.77629238,2774497.7130079037,2974882.38055057
23589941.91,33742765.36411163,34543257.543897815,37315214.69646449
