2010,2020,2030,2040
55968724.9,72038560.9675475,46362377.29343802,66897359.54344755
77852861.22,59538721.67962571,79085702.39213048,102753565.22742571
40660284.96,53109468.72955221,33398589.356295064,48426967.94633792
44733271.77,49911720.22527399,39776013.005997814,51713498.76278828
44919353.31,39258053.244197704,46342422.36329294,56022588.5351072
35360966.55,25515077.205459327,39560019.70719741,46907845.9367117
3629572.1989999996,2255823.256958831,3212202.521217879,4142539.410131165
47424.67548,47107.123175416506,47411.995395053185,47552.77522787402
204726.4939,202186.07546333328,204625.0532204203,205751.29188298705
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,3284377.2669817763,2518285.556840728,4674369.065755538
1250882.472,1642643.167621459,1231416.8273008873,2388769.5555184595
26438.39926,26438.39926,26438.39926,26438.39926
52795.4994,67391.14461265082,54423.330209550804,76865.18813633652
437333.5578,491933.1336726003,270994.03286490514,343471.3577467338
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,301318.77784570574,107791.47614542021,171276.57709656784
306338.9808,359314.7109892904,129569.58063930941,209581.63060826657
15859.6401,15859.6401,15859.6401,15859.6401
40743.689080000004,40743.689080000004,40743.689080000004,40743.689080000004
329797.0087,352935.06027873495,110244.65853997775,239115.4244614325
334472.0998,401298.1050567723,112300.11023196753,224725.891939938
197779.5091,199943.6144308483,191707.3325175374,194618.8463404001
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,524992.2739202122,560678.6408992552,793538.6480689694
218399.7186,321067.87946025276,351529.543802929,479632.65000688133
50565716.25,29549429.68529295,21445844.247869145,22120092.610960107
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000003,1291177.2701291773,1466300.0468857964,4317746.030111344
1652844.4619999998,133364.98417834545,251896.45915372545,1956315.1110026112
3214013.1410000003,246239.3397717008,477749.2819510768,3806737.330235925
3383474.403,637476.3241282221,49888.52886885061,5837365.313328821
36180303.27,15672738.631103322,6145299.34126951,46412949.12311618
7143323.369,3063224.7626622496,1207467.57602463,6955331.709387488
15978915.89,7485209.829329573,3496284.251708625,20785856.71825672
6196272.642000001,2796474.961990532,1120083.493877675,4978358.354229105
18964471.05,12037144.47365003,9486056.554082412,18479878.949936226
30866912.38,20303203.969231077,19455000.85725678,29283625.987735365
154488607.7,77864496.9799559,131370309.69912258,235242107.28876546
84794797.59,52550881.985289566,44818366.69741336,100116201.99791336
31485148.79,20512572.774324093,20673957.337463617,24395986.39093837
54283985.8,35181361.030658,35469378.66846276,42252179.945338964
74608129.95,47597618.11445497,47653464.53855972,62720505.04317401
135936541.1,84555564.3877012,82903732.77495834,154149375.849325
132380711.5,115838857.65051079,165815628.6185965,222394520.1165679
67418707.75,66457989.58978121,78145588.99791454,66177839.945247866
68774324.82,87146882.22704013,65286048.48682109,29266781.094178222
44754502.59,56366262.17519532,43030107.38712865,19011017.48410961
104315426.2,124578173.40230241,98546706.3811929,49156322.074059546
63006571.83,56718148.37096228,60699313.22656704,70517460.10341941
895247507.3,947748965.4230789,986497154.0942692,1493712730.2572217
186931955.3,170520210.11008137,195968623.0325385,228469676.02358136
272861804.1,264813515.49250865,313209702.3736849,344768137.72136104
1310540681.0,1579929228.6515827,1658715607.5586782,2391820816.5337257
5332421961.0,4900849018.07843,5522335609.291761,6968920456.030813
53090729.75,70077606.90851417,34846313.43849987,29642500.674680814
333539.9671,324685.74806511216,337426.6161325836,347292.80598024075
47270845.92,49887790.02121414,43118488.071018904,25335894.388114132
1743044.06,1853645.941522363,1857717.2952349344,1914281.014732363
1011642834.0,1110228801.9027305,670364664.0172063,537826457.5892539
2276765.7180000003,2903708.8772956133,2682397.970017614,2795975.71153709
1789053.1830000002,1826270.848125364,1931804.5890851733,2135739.1264954107
148406084.6,172338927.60354194,138174535.0808134,153859161.0920325
225658188.0,242429429.42569527,205185104.2949,297100324.2455715
2217466603.0,2232750153.950461,1750487008.098555,2777076812.097603
46840383.56,53629384.59437941,46651267.33385559,54824855.208446085
12867877.85,25526772.203519396,18332534.11257463,16515454.015034148
22464039.45,40567664.465253435,32287171.655069627,36082368.067570575
13328176.2,26397306.78987751,19156298.38906561,18020463.827374175
85525132.37,97921064.42627971,85179827.97568443,100103855.74304637
53012451.36,79149342.65322784,66103041.27441833,67560364.81628501
