2010,2020,2030,2040
55968724.9,51392108.93636495,51770982.6262602,74484572.84567925
77852861.22,68391240.49508424,69846213.89563185,107884769.01619852
40660284.96,37389211.42319917,37647576.8100325,54048659.39400296
44733271.77,41373951.55501579,41542565.51659198,56822315.9317634
44919353.31,31620380.981425695,26973987.92434474,47726775.643130444
35360966.55,22451808.288557813,17458187.342978764,29522400.722134955
3629572.1989999996,2900192.0542285535,2498803.518422943,2322958.368626986
47424.67548,47281.28992847912,47249.59435272097,47219.952718016335
204726.4939,203579.40948783394,203325.84488176752,203088.7118041317
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,1311783.9639015016,852739.2449998872,1202476.8804147919
1250882.472,583785.1820466439,337376.98143695324,525110.8075313914
26438.39926,26438.39926,26438.39926,26438.39926
52795.4994,47622.9504046399,41325.7993676399,49659.73625564942
437333.5578,499185.48525082465,369794.5731353743,244160.61601596803
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,307671.3339425632,194333.88486842226,84287.26734210178
306338.9808,381353.8124204437,235000.85655722037,96657.6468421579
15859.6401,15859.6401,15859.6401,15859.6401
40743.689080000004,40743.689080000004,40743.689080000004,40743.689080000004
329797.0087,570131.615254709,329462.18033748487,124278.09815141292
334472.0998,623716.6863599867,485414.9495204432,333046.1688831651
197779.5091,205696.1595463925,202654.60730233416,198882.33620739356
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,612256.0108447091,319040.5422080424,214527.67673930907
218399.7186,354087.0463812422,188781.51898443265,128832.25059638979
50565716.25,71250583.77376351,34163129.16907306,22559351.22386354
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000003,3345531.191786536,3268846.9556762986,4620185.921434088
1652844.4619999998,1200755.9266604476,1204000.6118455667,1956475.796208699
3214013.1410000003,2331015.6865374595,2337353.048658459,3807051.172810279
3383474.403,2521884.41537309,2555094.7958464827,3874351.378595755
36180303.27,34212772.97158399,35039327.784926854,34074835.301960185
7143323.369,6383696.013443809,6430712.35668,6254507.942068572
15978915.89,14732419.804559251,15164277.20992163,14607758.571887346
6196272.642000001,5219829.66015058,5264574.350289626,5090175.210412007
18964471.05,15619182.446281858,18595529.15771662,17607824.50689043
30866912.38,23026988.89628899,26072051.689664707,24963988.612406604
154488607.7,109996383.34227486,115163359.5835082,97235375.02271773
84794797.59,36874107.51943177,48814304.87243653,48812601.39862702
31485148.79,18269086.274616204,16871523.367226206,16358458.259917157
54283985.8,31529822.780454833,29079828.86147198,28400673.100822456
74608129.95,42834822.50312735,39462862.53807354,38344420.36064592
135936541.1,75831652.62219584,69977404.79441535,66864576.63083298
132380711.5,80171810.13850877,83738179.12053734,87546348.23622069
67418707.75,68127954.38188805,105374687.97091329,109128921.9137414
68774324.82,74721400.15289408,124046528.95410836,128589435.86164169
44754502.59,49084593.857859395,82397037.53750415,85561146.64308129
104315426.2,106519060.97166306,173097889.237544,179962986.5598393
63006571.83,58948118.309698366,63717662.001536466,82713205.74776027
895247507.3,1444713247.1173935,1595353414.7019653,1594130589.211442
186931955.3,284597888.6414908,310471009.7412765,317189701.81999075
272861804.1,380578203.74026215,431740234.4422526,442238871.055824
1310540681.0,1779709710.8963456,2186251525.68668,2021785267.884203
5332421961.0,7452914978.199991,8435881482.276659,8660753910.249992
53090729.75,45641671.57787246,51936738.14846199,50000450.69128056
333539.9671,332912.83875420643,364457.02644182066,382463.5639755064
47270845.92,41343236.39558619,62139178.59105094,64171834.71876666
1743044.06,1799640.8313123742,2099091.756325755,2433785.1737276595
1011642834.0,1055825011.8587487,1683183818.67132,1806150391.48951
2276765.7180000003,2416116.2779282075,3189502.981931113,4154387.19833816
