2010,2020,2030,2040
55968724.9,64599039.63016199,48936379.574692,56126526.783125326
77852861.22,90116185.31086144,67254993.54875188,77724100.36360428
40660284.96,46933331.633926965,35560389.98997745,40781395.01249602
44733271.77,55202400.75128007,45641927.930065796,54563397.572894365
44919353.31,57239225.82636375,45873454.04511138,58325049.82023043
35360966.55,23733272.536950488,21921306.855074305,32985364.695255257
3629572.1989999996,1293714.9823170754,1239495.5463521332,2732543.044837646
47424.67548,47031.70343322522,46985.28676422534,47021.046623080736
204726.4939,201582.71752580107,201211.38417380225,201497.46304464486
265813.4166,265813.4166,265813.4166,265813.4166
2554548.966,759270.3864636682,680493.6552812111,728882.129422592
1250882.472,287204.3244012648,244918.17714536953,270892.3717116981
26438.39926,26438.39926,26438.39926,26438.39926
52795.4994,48572.32640289657,44565.48232245374,60251.53480795848
437333.5578,168685.27425424915,165832.90094629343,176477.7297014839
29829.386619999997,29829.386619999997,29829.386619999997,29829.386619999997
332692.2548,332692.2548,332692.2548,332692.2548
253493.3429,18176.111903135312,15677.631065149122,25001.761463625313
306338.9808,24636.01665572257,22164.27718511995,51032.42352128228
15859.6401,15859.6401,15859.6401,15859.6401
40743.689080000004,40743.689080000004,40743.689080000004,40743.689080000004
329797.0087,92917.24265247604,106175.61497790983,284341.5235582375
334472.0998,210566.01619396944,240430.31867801707,258605.63355784086
197779.5091,194884.98466423404,195770.5784891673,195036.91605126724
139856.2429,139856.2429,139856.2429,139856.2429
372812.5899,2112518.269964539,1531576.2892506777,987079.174741968
218399.7186,1188789.580258113,870259.9936004844,564637.1618282557
50565716.25,41786075.53037741,40927217.88829502,56084299.918518834
0.0,0.0,0.0,0.0
597472.6991,597472.6991,597472.6991,597472.6991
4654.976946,4654.976946,4654.976946,4654.976946
37415.37731,37415.37731,37415.37731,37415.37731
3982926.2660000003,1830854.9547442328,1303975.6380630217,2085346.4686009048
1652844.4619999998,346783.7910681978,18329.817983010696,573084.2949915344
3214013.1410000003,663078.6278457884,21558.218745177728,1105077.8233265588
3383474.403,759729.848757615,325835.2165568935,994597.3771902045
36180303.27,35681380.39054898,42840708.963125184,42091206.82847756
7143323.369,5748300.483891756,7824336.804757945,9958194.909491278
15978915.89,16835071.369572397,21383114.448397163,22265543.620578118
6196272.642000001,4125581.272399282,6505999.619487856,10513405.907247374
18964471.05,7027755.100115343,19257234.895738672,58361172.90519105
30866912.38,10486698.644660654,30854877.674849227,83096768.02727783
154488607.7,119733015.91826424,127192670.95388328,137596975.06069762
84794797.59,83755631.7043267,83034214.4574172,84163175.78509815
31485148.79,9174290.090256607,32505667.105201226,56051944.32348961
54283985.8,15942324.81296085,54307335.36786323,94372393.9209518
74608129.95,21634271.858963095,75377162.05880547,128760249.09389739
135936541.1,40020622.74071126,147893664.47363937,228968741.3044884
132380711.5,35072048.78699027,203734980.1156969,305260914.6827316
