OBJECTID_1,OBJECTID,BasinID,AREA,PERCENTAGE,Unnamed: 0,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
1,461176,393022,62.541434775758425,2929.19864650105,392972,98795239276.34468,98739586889.09424,98952127359.70276,99429649891.82587,98906517563.78792,97852400033.07286,97522422095.47203,98140628467.3674,97787189541.68742,97790980004.36406,97776378629.25578,98060654491.01187,98454953490.9153,98708807597.09108,98406610737.49997,98519058652.69002,99324428008.66695,99313651222.38669,99107665845.56934,98975140619.83577,99205561724.40942,51136582233.35647,51281282918.10395,51027227690.27621,50184818841.56255,49684758802.28233,49638250668.52987,49910658652.74684,50549470522.31877,50198296596.43543,49976905574.82187,49537541677.18981,49219278126.06279,48680918532.12815,48989274409.704704,49593451326.01171,49768908858.64925,50029365377.81315,50293780724.03577,50545805994.37293,50511847621.48464,50760448351.28891,51279840232.26424,51234479140.37148,51012751702.91115,50925175634.376366,50667866370.44498,50470137267.548965,50492295044.4557,50492187040.398544,50437343108.05222,50095499267.22356,50505979390.00538,50871929110.535736,51585204539.73893,51764792360.64145,51610481124.554306,51608521730.904686,51221797828.265854,51524117779.86375,52141402103.03939,52381791181.10955,52703814039.85459,52985006965.50849,52971806006.61117,52093295250.84151,51890688725.41596,51382279030.36305,51391027957.50931,50766184911.87959,50527574161.67912,50152150156.35338,49851950132.74378,49794307760.73415,49941162140.29159,50261224845.480736,49982675135.08913,50249203866.5179,50281236530.23264,50302527302.630424,50099072639.887856,50732993838.13556,50356451898.95709,49889291372.29171,49881118888.46415,49205874578.00809,49554544109.02289,49301776136.26694,49358972877.80955,48781709191.09817,48183522554.86495,48132874244.33155,47983189739.59491,47965396406.36563,47728575616.33299,47830215237.240036,47727115453.1019,47644001164.23611,47344836616.14286,47317713511.90515,47797061110.726906,95006922893.2029
2,226897,185774,103.45047224059765,11040.972851791337,185643,783410986663.0605,784902529084.6761,786264984021.1354,785227875258.1259,786140885424.7585,788254201315.409,786345267264.6398,784894531246.1257,785576350182.6862,784793606284.8486,783258530833.5002,782282961972.1527,782393200299.624,783849718805.7688,780171496633.3036,778411294968.8175,777311362808.2015,773256886506.4585,775986843662.7878,777142617019.3776,775211251620.8624,412048802901.0193,413762862650.6687,414600832465.5985,415342909985.8806,418078696819.50903,418107371432.379,419736558429.39667,418752327240.6499,418217650649.5829,416814921628.548,414101475277.0258,413111460911.391,411979412899.3326,410882263158.0364,410583376366.4321,409946868042.474,409352733621.05444,410922933510.40686,411510808724.47473,412116083570.58844,413165827417.17255,413350213699.88947,413285452066.1242,413795858059.52966,414794338840.5942,415509816092.0837,417088524675.92865,414737673545.6102,414081070801.933,414322663005.35455,415537066571.6375,415028072565.8944,414553468547.04816,415569273179.9183,415256186456.4498,414676547363.17664,414915225202.3437,415684608739.5911,415465550103.5348,417258724867.9187,417561443328.7628,418572266544.0589,418311523457.6256,420142685206.6178,421822348236.97595,424329312941.51654,425599340334.45575,425607178460.022,424091730867.67523,423323473887.0895,422389011036.40356,421521493585.7589,422120469317.1115,421401382437.0974,420351789954.67645,419857294309.9442,420807398407.48016,422979418333.62427,423390980803.8297,423839677207.95435,423672742061.8208,422843710389.9132,422950163292.33215,423094634040.77,423024107601.6867,425000758274.36774,424591828084.9391,424865539255.83734,427459283047.4306,427387842323.86707,428232860706.1382,428374142863.72644,428759516131.2541,428399965447.72363,427679261398.8417,427020265003.32196,425204947525.6189,423963613411.6938,424465038310.8647,426435224737.3163,799275373419.166
3,114423,97694,2.9896390236140262,777.6638628941103,97682,56725619554.18512,56805383446.01832,56830323602.32907,57345898575.22247,57350232930.88024,57227871980.57446,57387353603.449066,57668439347.54042,57783251874.51239,57949560076.323906,57395888626.518684,57420571240.72752,57372953264.05935,57205844217.22066,57051401713.77174,57207189548.380104,57467603762.7736,57628562389.46646,57716233392.696754,57079040041.488365,56822379520.26794,9648506892.846184,9617079879.765182,9643267414.817734,9537619894.449913,9515478889.267195,9552485358.965292,9535282971.300407,9506898766.995117,9458992377.387444,9513147262.536676,9557313927.454842,9486684193.612047,9441717872.154123,9408004657.028572,9421556212.1111,9386425576.295956,9279684621.31586,9239973435.77636,9226692068.98665,9181956384.12716,9214604680.039341,9147778289.000166,9154088606.074945,9053653392.73536,9021350535.373821,9023442188.141243,8976742413.564308,8881963295.078762,8911361693.231285,8915636629.725128,8794268399.38218,8830241713.314665,8751584647.33347,8689317122.765942,8613401663.453106,8500777142.695075,8474540288.708597,8442323225.071308,8504654272.376055,8388239415.537476,8234990155.208735,8171356526.313082,8124202527.703102,8139733914.802159,8102952661.937334,8071213212.3610735,8156754569.870897,8119941581.247564,8030347042.994127,8023308606.821854,8007077062.162956,8042759511.391163,8002693126.7237,8010349522.926915,8024701501.527678,7980310010.82773,7965309916.241761,7971905341.607359,7973587793.432285,8010432396.796358,7996604694.641475,7895482549.264751,7844666405.272675,7873221151.880543,7858187749.290844,7864233790.988216,7839116446.41654,7880768524.066767,7777629134.235073,7855731125.690795,7976406581.345314,8015427222.526492,7974346668.920913,7839412653.078385,7742596709.367506,7798320164.462114,7791680341.234203,7872121717.419594,7857257014.289219,7813462591.143869,49411015260.14881
4,20492,17491,0.04956073448095301,0.5472742416259491,17489,26313745419.665337,26280484042.78434,26084532063.635628,26482381048.11685,26520761341.052246,26471089010.490482,26371656422.16316,26312405670.15754,26505495947.698822,26612185780.003204,26593063034.237648,26302147758.918907,26189640331.602745,26103044033.82037,25905723023.10074,25814318163.367218,25715213661.11884,25923903954.242897,25873907938.092533,25511313805.573288,25265791832.826668,69577193.74414223,68885539.20634903,68828011.68203713,68536619.76375471,68443114.87209785,68363895.99438906,67800494.78864397,66577723.30584447,65406109.211413346,65269891.99342247,64853723.29172203,64192795.712421425,62515662.46386131,62410713.75893225,62253177.88416137,61876844.85286125,62174161.50065724,61807238.679484814,61543386.46666089,60739469.01137336,60707229.42491777,61108305.012953,61407612.43460753,61019182.25206386,60915535.13437459,60847540.64723839,59861998.76282592,59125127.03848913,59801883.421865806,60071969.507416956,59445970.18674422,59172838.28406531,58431324.82437128,58281276.33378333,57663372.238047786,56758665.04006481,56043920.18579726,56031661.624965094,56366165.18068739,55842059.07419607,55291565.81002081,54819122.02232903,55004438.744804256,54050025.81697168,53885894.27073944,54344961.63916158,53731072.416953444,53426019.35787176,53312835.67728095,53630521.6706536,52850257.278363846,52055330.8613351,50951843.70179916,50896354.11544501,50166703.94605786,49803590.84386331,50171971.11812235,50811318.08058467,50714048.12704786,50453810.2677984,50509083.9087352,50329352.901492156,50324236.00694623,49606669.05719596,49896479.24541802,50425098.70658395,50847165.04589431,50943285.75721172,50600429.31540041,50917677.59092587,51087130.08557894,50937400.21184083,50614148.52655063,50550438.61401415,50270004.114801146,50002337.33355911,49700651.78357883,49726853.132935196,49735740.00718985,49711164.19254518,19311291290.013634
5,382088,325336,6.224049176224741,2948.586772812948,325297,1794157540.6571906,1813911687.7235866,1811932214.6879883,1809355260.4699154,1802530266.6585536,1779035109.82545,1770546212.1947622,1778095685.928402,1782028079.8525796,1795029279.5241888,1786272846.5249398,1790347717.9817,1792328528.0328736,1802378099.4056547,1796835492.1903622,1787648402.4897754,1781346847.5608976,1778368146.0345173,1778131596.8979535,1818465422.6687722,1772009153.6378322,849577279.713038,854824250.2232935,853455322.0663569,856614150.7082828,841679845.0001237,852559724.1463832,869061837.6642913,870583873.0092885,865315385.3424975,846748982.0524179,845273607.6182518,857435491.1893327,847079613.2255342,841320949.0616815,842779665.5885072,842881797.7623732,849703964.4411632,841830288.2677413,831932585.5452018,827178928.3554838,829541599.2707733,838424807.5286381,831259706.0220928,843178534.9393965,855284665.0440351,875522059.6194428,884931791.8846875,897683015.014168,882669496.2237905,881109710.5349114,884390110.286339,875680997.9031314,888090422.3526945,898720799.3508071,912856935.575138,906794089.9922115,882670067.5324695,880097057.8707213,882380590.9083116,886123326.3737187,878666598.2635263,880888215.2731403,881966078.0799615,896939696.8259954,894922247.4077225,891958808.1718125,878834946.807935,874942872.9889795,867774500.6049376,866567213.80848,861429756.2857918,857029435.4194404,850982226.7417384,853230680.8424833,844851965.8057835,825441491.3768322,814333630.777465,797250185.8200982,783108026.8096883,790171114.9933482,775939912.5637769,776302713.9674113,769956106.3289747,750546340.9726253,738672623.8250096,740845855.5029786,740210186.0074424,753346088.2905556,758825530.3879621,770481652.4692562,779648980.602996,778216742.9160928,793456126.5877081,789625540.9749343,787700118.6907156,789030173.3338386,799824621.276015,808298148.1839652,822099417.4036794,826535627.5872914,1749607081.0250967
6,7421315,6511113,277.78925280502676,39642.851762830054,6510656,513049922982.2203,511016677147.4595,509245605100.32996,511734858181.57056,511257050218.1518,509049084245.9418,509206573916.0296,511851196051.051,517270775098.9917,519265260910.13055,519056206661.1283,521204873406.7927,524859828193.3756,524223117033.2736,522659737553.0543,523553434466.1893,522790192761.0097,522335162588.92426,521464804639.63824,523611143043.77185,519870415482.64264,266239034587.5778,267433478035.81805,269443515007.51776,269461805529.51654,268532883881.5119,268056394705.0393,268249516861.62305,269121704592.6628,270482463500.5939,271424681558.24127,271660386514.35834,273839772927.03476,274255481377.48154,275812829296.23676,276213897187.0823,278701278894.4152,281824174165.75903,280322610559.27167,281221753144.5187,283008242484.63586,283264096124.3154,284366587633.001,284549183385.9063,284441234031.3801,284115873493.0925,285231629003.76746,286088147268.6483,287334790297.55096,287839962837.3653,291945478387.3229,294539352997.9904,293850403882.0666,292504635400.46277,292249440717.61774,294000675617.80365,294521634994.14594,293586194351.06396,292279717975.30927,292780838374.28796,292566490129.62225,292970799917.7171,293663479732.1907,295085833056.2268,293890382999.4478,295468650160.8029,294280434120.2627,291946200753.45844,291567667591.3851,288650743612.72656,288826095666.41205,290223509296.28345,290389565479.41016,290148399622.05853,291781619690.1893,293397301888.6892,293601774688.75665,293560944868.8915,293554486813.3116,293832657725.8528,293138307310.6296,291636452589.83105,294215605941.48755,296276525766.2741,297628864301.8777,297965781177.9612,298613833333.4229,299012036496.6272,301193028896.1978,301875184309.8687,302915624819.6413,303245899358.0795,302010592279.4016,301435199533.59985,302406947018.57806,302101796569.2854,301436652095.1388,300855665105.72833,300952456069.4764,303938484818.04926,305661828846.216,554761654890.4854
7,61751,52459,3.010449202196338,200.13928502902064,52453,15335667749.569942,15504695696.232885,15495319644.984417,15526321628.065683,15475611633.137575,15229916275.591331,15273095269.2784,15294522899.09103,15291965950.988039,15100332470.168417,14936642364.495943,14798212762.254177,14607495001.837585,14669231448.91334,14581793476.295107,14498583511.760628,14490918796.573338,14253356219.805174,13990437257.492813,13871575128.08215,13710378973.619295,2094674579.6534414,2091699500.461387,2089487503.67801,2043753015.052115,2027316191.6752055,2012400963.7695627,2030610220.1565752,2048024540.8298347,2038076292.6277058,2054526192.0022323,2026777025.9147484,2028010808.2785292,1999933775.9209476,1984406384.238996,2008474320.8733747,2004908120.1596212,1972172279.9548585,1955118528.2505345,1963891720.9878464,1991896821.5214024,2001433484.3732839,2006314472.438415,1988921497.5000033,1961377625.0081704,1967035427.5435767,1971630977.6174808,1962621419.2178166,1948266991.1697865,1940287136.429385,1957157248.836242,1974715256.24392,1974808303.3586564,1960094198.4056437,1976507350.484143,1985574510.8778825,1994940796.7853425,1990072446.2330883,1969677613.0970955,1964636434.697884,1944539425.3260765,1958250426.2116914,1951352997.6364012,1971509935.4579191,1992048800.5965824,1969063451.6803563,1943524517.5362082,1939364008.8464608,1922054488.0630956,1913318478.0262153,1879859705.3631363,1864097597.7232966,1856747171.5175705,1842493234.651398,1842937837.3274994,1818082865.1197164,1787304516.8393857,1784469092.5979846,1778521119.4027858,1766799941.2772024,1738251053.0892437,1724011747.489392,1708715559.4441586,1721897072.487586,1710385394.147985,1683032907.966785,1670961513.2179978,1662947787.4877386,1655706149.6758637,1657771119.7670546,1654940227.1635294,1622980106.3930008,1635045157.6928854,1615643965.7237787,1602887788.1529331,1596918741.6637537,1602135233.1878428,1614389226.9782627,1631750386.2274795,1619322884.246862,1635555670.9854689,10975578856.639662
8,13393,11584,0.033184859298235,2.5292332415166716,11583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14982388,13045748,691.5585889048435,101055.73642953948,13044727,779787615094.7588,777145856791.9468,772904256658.8767,773196603833.5248,779430029978.8502,783520380630.0417,789441469323.5944,791094288703.7399,788825365152.8849,796063674410.2965,804626495025.9032,808554315489.082,809731601417.9586,804958067153.4283,809771790222.847,805898730835.3582,803008920018.1364,804881062561.6919,809240033130.8907,814538529468.7168,814970698873.8822,818536643642.5319,810109206177.0006,808743216697.521,809530588170.8494,807662416203.6561,805932127295.642,804607256523.6881,804454039895.7007,810144748770.49,807307293130.8857,805699366926.4194,813931898705.423,818651869762.3114,814488266108.8263,811151667594.9928,803241746806.6549,801960395849.782,807403978053.7745,801328852006.1777,791692358190.8783,788292064253.7433,781984820494.7986,783679475124.7,775046859382.8491,785587461776.1005,792004759493.215,795872826952.2728,794982613295.857,792257394842.9309,791855419045.6726,788876297783.262,793938332948.727,794044264675.9995,799279611281.78,810550528783.9806,814595745729.391,824866498683.5853,828225939130.2455,829258130396.6011,826925349850.96,831061544908.0463,831428815342.8391,824517705111.0092,820115861067.3818,825908953183.4918,833457423044.5854,838175762342.4867,832163258901.296,838540241526.1239,844564030042.1448,843877414175.0491,848564625809.439,848598633828.9894,854245852264.9481,847363050938.6349,846347009269.1233,844648138074.0298,841988900437.8796,840435072362.1617,842577056268.8153,844356575987.5328,846762627512.0573,854300880588.1793,847113047839.2617,839444492889.8624,835317809167.3967,826766750646.3428,823111835161.9863,818046129187.3218,815138950275.967,810397040963.3062,813058193487.9836,817049442311.6451,816819522795.6013,811092784747.2206,810795773944.3192,813647441308.3906,810940325929.9119,803830436452.1218,796593306771.0497,806842520947.2897
10,132511,112000,10.043708620976561,305.13656547239265,111987,161060310470.90826,161400178104.34866,161546476435.16483,161882496600.20654,161823466438.14197,161747688854.91562,162015373124.25314,162197657644.24802,162999047726.09827,164021945134.64838,162771595239.44626,163009308127.05115,162960968868.76007,162938102264.3602,163104566006.86984,163612364901.2844,164444918638.56033,165018021067.2419,165097938615.4516,163815856212.95096,163627536078.6213,45462743047.54973,45499355557.92356,45417996333.88539,45406033279.23427,45536506695.37721,45655696919.07615,45707090778.12561,45756239994.53501,45682215701.168785,45666335334.49872,45701987817.450134,45447375780.83147,45452529470.697464,45455808585.193596,45414501749.15192,45507348336.81836,45662025568.76942,45741590072.826416,45550452656.22586,45642338234.87564,45611989664.04767,45636304992.39242,45614810328.51209,45347221653.49951,45158960637.464325,45124718408.36023,45105639399.07226,44908813062.59155,45070131316.33045,44984722392.68301,44643450833.28326,44461217514.6542,44085911505.21396,43976442255.006645,43903355973.30619,43745338380.85066,43617387595.47572,43848106145.91445,43874218789.421326,43754245803.29563,43487986061.821175,43547323778.647644,43490399820.617134,43453566021.39993,43556786619.74345,43574394899.13477,43585973686.81353,43366797766.121445,43176055232.76036,43122354134.223305,43050913684.356094,42944224060.175446,42747325663.738716,42965035299.73251,42983448763.132935,43118129540.22228,43036803139.975746,43084862318.95624,42897216818.031044,42986472382.61378,43102317719.17182,43187505792.65332,43437063423.413734,43483603761.527374,43612128470.98605,43764280651.5704,43832237814.298164,43738985279.401344,43854810161.73965,43821272525.486404,44109066203.17996,43988223148.88134,43976787514.72594,43877121698.57411,43767004691.41213,43818135200.967476,43592019000.53263,43775798260.077255,43893604139.23089,44124651374.404854,156892415856.35095
