OBJECTID_1,OBJECTID,BasinID,AREA,PERCENTAGE,Unnamed: 0,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
1,461176,393022,62.541434775758425,2929.19864650105,392972,51803558703.14869,51155289777.257126,51309873932.789406,50807400797.53243,49843618381.71815,49307410410.14156,49460455556.69655,50255535200.94011,49952119694.89299,49573423663.53004,50060124359.28356,50079615399.01545,49144889475.821304,48375192064.46187,48309856271.27099,48193104142.034546,48595746025.08007,47777112530.26188,47735075661.604095,48249911123.41162,48704473235.76501,49294985676.38917,49274270259.68516,48812968034.04769,48906341114.44245,49646951940.31577,49581881800.810814,49519819858.676895,48898063621.00877,49794910454.11562,49996075624.735855,49232441965.95299,49084773233.45904,48893723765.85057,49066862158.01728,48590672793.73861,48928924781.69683,48961805811.255554,49371329539.79425,50558441212.950554,49874837708.95189,49580775158.35599,49737059996.48705,50002811363.9332,50777737420.55425,51308065893.574875,50576360972.38655,50243816765.62741,50229990224.273735,50368996529.41781,49733980327.58409,49739510994.913376,50233188846.08093,50328282640.38734,50444150885.1599,50304856884.36015,51305231328.126526,51359502727.62545,51153095347.865715,50667515579.17226,49600243110.46185,49361596066.2712,48601371213.840515,48331362791.57772,48033730161.07926,47320860857.77298,46691530955.73273,47225491853.67191,46828302836.46381,46448560280.5469,46342434268.76829,45901046921.0525,46265025567.76116,46064215673.33157,46009911278.808655,46276963352.95107,45829931951.67918,45328986195.86487,45018058112.33503,44298945134.460915,44168377964.78086,43947822546.95159,44325823977.18931,44682178316.15837,44172905998.50096,43696787903.10519,43592851714.89172,44216899927.89284,43652254443.90639,43899133291.94207,89609612973.4615
2,226897,185774,103.45047224059765,11040.972851791337,185643,415131667885.89343,416270865609.23145,417839941186.8212,416304700158.9006,416314833871.8273,417973696686.1419,417429379424.79193,420472967603.55493,419419159954.3889,418796225765.90765,415570942274.2665,412908350129.3903,413239333834.6944,412982187939.1737,411945796743.9559,412081407982.84784,414961905603.0638,413530650091.9625,413215006575.20026,414057781987.2688,415078944991.48376,415904660229.3088,413960655368.85657,410946088760.4234,413318248172.4649,414885005712.56396,416369038709.01117,419007840785.86615,418220303487.89343,420699736270.29614,422433695551.843,423152896830.8619,424417509251.13354,425094682943.9329,423435658662.40564,424646846315.8799,425710456970.52637,423421640872.4976,424387715134.16534,428420091343.9558,428863989954.6997,428427403740.58905,428230147215.1679,429444503710.85596,430998560576.0555,430625993958.90295,430596296742.9906,433413953551.72736,433110902604.2605,433630521026.0402,433066735624.83923,433375310870.6074,434620345033.3214,433348052960.9541,434650395566.205,435895666896.79504,436782285497.7963,435178587781.779,434899318228.8773,434528317184.8721,432658277503.266,433911539775.00586,431430017892.4897,430839356952.6507,433608033023.7297,436088660076.7558,434234579917.91693,435676921740.5966,434204441700.3695,431031810093.05145,430674400666.44556,428281557347.3442,428133566977.2625,427444680120.97064,429029287274.8563,429597245698.6737,433883817487.9932,433546908951.53564,434520869413.4208,434900635414.3932,436159893415.4693,437258147875.53345,437219723347.9976,438668569966.18896,440105069762.452,436266776411.6145,433105688701.26965,434301630055.9636,432510969677.97784,431030478926.43005,809049688942.2307
3,114423,97694,2.9896390236140262,777.6638628941103,97682,9666365564.770138,9731027847.296152,9794202017.764236,9874947121.61306,9753828765.17291,9719993862.459705,9697945695.510992,9704249602.060368,9696557885.500637,9755926205.873468,9817817337.965878,9898947813.457329,9914966024.287535,9851543788.14091,9880082584.921318,9851542063.730442,9802541376.334053,9730105268.951239,9837366644.455616,9791984796.71498,9746206107.728827,9661714394.898373,9492866759.43466,9329753564.529726,9294427163.60904,9203455155.042038,9130174382.342108,9074983443.382442,9019315286.940044,8881329607.61878,8707551678.43456,8709571520.95629,8703256121.674889,8587891661.218505,8546463839.514978,8443332477.757342,8361499923.046941,8299955895.134414,8115669380.010769,7939396073.963502,7864968182.039234,7817308248.056094,7851972420.663891,7796958991.490057,7907957194.005959,7786827329.468052,7728899333.397015,7673088858.241268,7606372564.626606,7635187303.641624,7720158865.301041,7818930829.549934,7735658857.138283,7544242583.220547,7460527437.141352,7389242720.0393715,7292009763.856321,7244461036.976503,7304167606.739123,7451943509.323763,7461520140.352705,7429492263.957492,7414005189.804741,7359585912.806131,7446617265.201839,7230901504.9793,7165141860.889294,7102982907.032546,7086869138.577167,7059128818.374607,6914604420.633101,6873763647.001171,6740225833.545763,6654728157.180467,6737173453.891236,6804748299.469735,6769719980.838052,6785635072.78855,6790311646.267046,6713095474.566845,6597016904.781676,6590450985.020409,6542861791.553094,6545640980.76431,6402335859.096891,6223075864.604849,6281413760.813272,6207114761.231885,6194450082.597489,6218429772.841406,43740767865.41494
4,20492,17491,0.04956073448095301,0.5472742416259491,17489,71570339.834379,70793367.16913919,70497960.43812154,70740594.61117637,70960556.10357466,70701324.82961126,71304151.03434244,70629616.16418949,69235611.9695717,67936669.19343413,67346483.60956992,67196033.23226495,66801632.56673846,64801484.09305303,64287910.29218745,64718790.351996556,64260170.59715827,64325985.06221391,64195733.11989561,63562546.65194205,63401647.870986156,63738183.93612603,63788661.89972836,63302198.716311716,62992032.455260895,62370693.77032939,62662252.00019557,62284760.79321582,61854483.51033649,61604632.94430252,61200188.36457327,61150782.42549278,60393628.61873201,59744016.62236968,60741514.51422654,60491483.77389614,59808686.500860326,59962332.0695813,59075529.62765605,58724226.36505839,58942317.83912425,58773146.360099755,57746029.24920865,57291941.479076795,57562570.30376981,57011247.63581931,56122799.78298093,55169983.31677436,54466266.911761835,54780396.1664889,54795203.00332592,55281882.72909068,55406832.410189226,55392083.57215002,54823256.85173563,53600372.18235374,53205664.81407604,52968495.23247382,52604720.84045514,52695138.640699804,52751396.14108252,52423735.91679134,52182661.97230036,51991657.181066975,51699218.84764948,50447924.28814441,49995246.97741092,49471740.28098935,49351972.14867817,48925277.14348274,47645819.401313104,46711817.09530773,45867359.35856116,45106182.394922905,45366007.558909945,45497767.61250241,44635800.88027792,44484366.413984984,44258778.76674092,43410206.94100966,43015210.710223526,42513910.59155497,41770165.749590516,41735832.733783364,41726852.97690478,40991692.996752165,40735747.920694865,40473556.4481409,40334496.925636925,40105656.09836012,15872176547.563423
5,382088,325336,6.224049176224741,2948.586772812948,325297,855103019.8840846,848639993.8391452,852851425.7546746,851385619.1563878,832684903.6494235,808181565.8989376,819470541.9551964,827398488.0294703,824996921.3836321,840912574.3391635,845353392.9725595,828655273.9163592,848295798.4808658,863175018.7674892,869333547.1694075,881820960.7436525,900590683.4171875,887927439.02644,882126192.13463,881247458.3108574,897084593.0609443,908716834.5696402,913135630.7830513,912082069.6420821,921670436.5481311,935344046.8076301,931735280.4321432,923725037.1053988,908771227.9736114,912771428.5931375,891806631.0898491,862626155.0336891,858724594.7459697,828485636.1627003,789779001.7888142,781023444.7467443,789592274.0207992,769573685.2927455,783018900.0515198,797458232.8139942,781459471.7368921,773681504.5008746,771404801.9026753,776991924.5989413,782552684.2427095,784608636.5145899,795205703.4629614,824467994.1370451,842886994.7567962,853175264.4119123,849736327.1875354,883960737.0064365,902303804.911183,916776234.3693054,930083278.9621116,949949574.7098612,958542573.5581819,943928783.552239,940713853.3747337,939335032.969223,920492102.8901999,930187761.5591896,923664495.7163215,925521538.7938777,916826981.9797007,899609041.7392693,898293058.2762532,903922833.0871593,893568168.6550871,883755982.6477367,878574897.2931395,888006828.4933201,885275290.5622928,872396745.396966,858061182.4273068,875140392.9064482,867587741.7665707,866624333.9573896,856374912.8475665,856935974.0719107,849719780.3622828,862668650.6921467,866498625.6639211,875138183.4962593,861533011.5809938,870121761.7464727,894885198.0161797,928866639.3114064,937174250.1544652,964217464.9987191,1998497817.4667554
6,7421315,6511113,277.78925280502676,39642.851762830054,6510656,266028740352.54376,267116270183.1221,267925200744.9132,268545944270.64923,268222660604.66797,266907241212.5662,267499417822.53857,267278865089.65414,266568853909.98224,268182364895.15933,270188686240.28174,270983321879.5069,271276513312.5981,269439066127.63492,271052039062.0135,273587071117.7391,272931533527.38666,272653059820.4544,271196819061.54504,268877166274.5416,268862601092.1165,269255503622.95483,268995181943.13754,267575708954.66367,267381633778.7559,268585111076.3636,270649518106.3265,271280553095.64188,274361499288.51392,275351346605.21747,275000898033.88007,274427821042.87848,274782949588.7302,275480912865.9709,276095318771.20605,276962562510.37225,277757366976.78546,279526231945.0432,280030639073.5944,281253993264.4338,283119180712.94196,285886027608.56976,283965446348.4038,285156847954.1173,287723033608.969,289002468549.2703,288586508831.6584,288258556860.7824,290009346841.33014,286644073030.3291,287967401913.5064,288983560334.75354,289052023088.9939,289066893017.1219,291331601044.64233,294237982178.07153,293005841160.86365,294204853218.92834,295465725091.29974,295255066355.506,297630945632.2055,298785228205.6931,297883476606.9457,301212107245.3131,304382485625.27905,304306952047.19336,306677816452.01263,308401347603.91077,309969501646.30743,310593014126.36383,313493460071.28125,313950468925.1938,315655195765.5394,317620964558.3504,320193399097.1077,321190425555.7114,320890441230.9963,321690586361.1865,323118837018.3698,321570730162.7114,321790975465.93634,319767109642.81165,321092071246.1717,324339175899.4368,323661798409.4521,321258469276.1027,321808322379.49066,321991754474.7221,322427246389.58997,323579107318.293,581712298565.2848
7,61751,52459,3.010449202196338,200.13928502902064,52453,2160463461.9029646,2145366064.7450802,2162547911.9268575,2159108992.526697,2127125898.6648707,2108876814.7731657,2089045567.8994758,2111864129.4683557,2079870456.1438937,2079093865.7855601,2082239788.9353266,2050612252.7129967,2047604917.430379,2044983886.875977,2027375854.505349,2044256062.927955,2002973882.8999984,1971931278.3219576,1943717261.5879872,1972535251.7120013,1986349925.8913796,2003458110.4719787,2022991042.4351957,2023382738.664912,1982895313.4553952,2014518313.633681,2048066062.0401523,2057394799.846085,2033933357.3993294,2038356372.9285638,2004489916.8259287,1994500155.0744822,2008558627.6682458,1986113528.9608717,1949210517.0023153,1934070647.5502312,1900847598.9786983,1891318664.5323308,1867800238.5117354,1900185124.2741082,1846256652.9284372,1822808988.1985638,1817465656.9695292,1790913270.937481,1753773446.9150648,1766409000.1018817,1714201426.926039,1669822423.094909,1634464158.0749347,1653719947.7059803,1648122006.87754,1660573781.8974338,1642162998.7031245,1622234137.5481586,1609139380.6954384,1619792128.641451,1640184442.907699,1633335158.3972144,1620804171.9420683,1659516213.773509,1633605067.5953012,1631502859.4604833,1621942327.8934174,1631624074.0635266,1622845237.2827017,1602448864.1495714,1585005281.350017,1578971445.3985496,1553018378.9696403,1549126950.1028826,1509738146.8692687,1469058491.1564264,1440372763.9113603,1434249284.3857582,1427256001.4420512,1440851699.704693,1414283216.1196077,1399157539.9695501,1390296666.3278184,1369622032.6659672,1326218342.6607394,1291439358.9335077,1299511489.3762777,1310963629.5991445,1314418436.229512,1308735326.4822838,1312243661.8591554,1297690613.2620513,1289913480.5068886,1294034779.1556933,8854723245.07789
8,13393,11584,0.033184859298235,2.5292332415166716,11583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14982388,13045748,691.5585889048435,101055.73642953948,13044727,810985090861.8082,815410783544.1289,808315768263.5747,816028491153.8455,816014938077.9917,813672557180.8434,806408240323.5837,811412110653.5797,828639534262.178,840404375807.6556,834112384418.6199,827314027159.0193,844851704979.2742,852328428730.6587,847921921367.2578,844508595192.933,847459056098.9175,849541683448.4895,846756905539.2339,844984175606.7914,829387608024.4153,821360804061.2719,814678914184.4249,823870714334.3143,820733866115.6343,818877697427.283,819963359106.2335,832726855544.6913,831254602253.4679,814002235578.6377,814195718098.2451,815070642162.97,821528332329.6005,816651828055.669,820220063067.4868,814168158045.1058,813223520877.9653,810166171155.7126,811037389827.2491,814356449921.1935,818645003870.1094,813834724232.9164,813724887721.9105,821529275605.2413,809348067335.3037,802003247656.1578,808136914591.3324,812969585589.0743,800159137149.7039,788797539390.7208,788557715917.1888,777560611130.249,782421584494.3274,772985475633.3241,768690324537.5408,760525163418.8119,764564286582.1779,763833641999.2765,768910312210.145,769219056781.7776,774706821589.6195,769903666572.641,780883955825.5509,789039638901.7753,785977603779.2762,803953264687.6788,809483616661.3972,807572924355.1681,811621909158.2859,817182318236.9374,828790949936.9224,849088686401.7599,858924563766.2972,852151805997.1118,858336114991.003,856351776303.4756,868186792947.7438,873732263147.7444,883638355405.3679,886612786414.0328,890328381327.1157,891431845646.0428,893077929892.4354,892119493915.3595,889869828427.4705,895931710300.4553,886734902127.9087,887936234947.5576,893866855087.6306,884282787324.3217,892870126632.2019
10,132511,112000,10.043708620976561,305.13656547239265,111987,45073569339.07267,45031750245.96034,45115806322.552795,45125792852.17801,45088586193.18373,45146149097.44483,45332853428.15927,45268600072.19171,45420693954.05171,45519524134.37105,45231601290.578285,45320351123.81169,45377227254.49194,45505326314.699425,45355305576.044876,45461058970.04662,45405442458.85825,45459879141.94902,45792538206.0937,45448726765.24511,45640826791.78269,45560242014.05112,45583694998.41852,45319550171.9958,45070960349.25806,44885771098.99601,44866069061.407364,44734300868.15206,44528884095.363945,44666785809.23149,44744287992.27306,44948331253.217125,45187451463.77863,45015452684.890656,45003650634.92229,45058781388.58831,45092864279.650696,45078624626.049706,44754219835.496895,44328632040.03737,44205094933.65614,44146344235.982796,44083677148.4771,44075710463.74701,44316436659.61648,44347481069.60947,44464862676.02825,44502334907.385414,44486738366.81662,44624313127.72715,44659781228.74322,44631899921.14653,44753429838.467514,44373569703.425026,44318692531.19305,44115549745.916084,44004593810.052895,43835000026.79568,43972994310.6347,44124472932.73395,44121055023.53086,44311608345.92429,44399688867.81323,44655749958.69178,44541654940.68421,43986573340.216995,43765294651.327515,43274063819.5751,43150204259.488815,43078217429.04805,42681666008.91846,42347442969.96153,41965287843.944916,41570981920.08324,41653475137.654686,41825807251.715965,41833916200.645546,41982133240.114876,42157003542.73275,42056432470.0658,41855892484.639626,42094366855.31614,41888461977.7094,41851112828.62473,41390611835.05307,41056498711.78865,41205784068.7688,41279926500.1444,41369612408.27645,41488208555.322685,146902280341.30832
