,1980
0,0.7597345050800113
1,0.79729743668953
2,0.7620907111765747
3,0.5814460302423277
4,0.7233816165139836
5,0.751068437348757
6,0.038440046988090386
7,
8,
9,
10,1.1208361284884438
11,1.120836128488383
12,
13,0.4573231674353619
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,0.05989617249902447
28,
29,
30,
31,
32,
33,
34,
35,3.2104989662116674
36,0.5969924480244626
37,0.6095212983166368
38,0.564889343243489
39,0.6031074332054402
40,0.7678341945388875
41,1.0742351757290265
42,0.5741324549490558
43,0.7573303830191133
44,1.279003176995684
45,1.2768957863735406
46,1.3100956929360752
47,1.4407521431296069
48,1.4394940927740774
49,1.2063368403800487
50,1.2475689046793113
51,1.2552186548888633
52,1.1740730304886842
53,0.8837726124678796
54,1.343438354592299
55,1.187071662067443
56,1.2810472968127027
57,1.2387611439486002
58,1.2582164475206434
59,1.2015125868413303
60,2.236428507317289
61,1.0770190205450987
62,0.9175877892749604
63,1.1597448096009493
64,1.0831463347427446
65,1.779959128041685
66,1.1366439323435429
67,1.1780317032424903
68,1.0831151063208555
69,1.1159941122618056
70,1.111445427148401
71,1.093676859276719
72,1.0278745154854225
73,1.1159941122621888
74,0.845777266879764
75,1.1814686974097204
76,1.1222882935461496
77,1.1660221312206775
78,1.148506723804541
79,1.145356926905213
80,1.9088732527541057
81,0.34393773959230156
82,0.39677991429387893
83,0.40030586548924335
84,0.3978324127400351
85,1.224595631689923
86,0.451523147425904
87,1.2099742486540934
88,0.4462290730444773
89,1.2098116607409444
90,0.7176616221832541
91,0.9688901875370508
92,0.8896984916273779
93,0.8906499869235212
94,1.0157628250334751
95,0.8899311852320503
96,0.85508383077363
97,0.8935780631653945
98,0.8259905084718726
99,1.0901238383500498
100,1.0761954182969575
101,1.0203781519770054
102,1.234950006808911
103,0.9106625863389946
104,0.9552794090545733
105,1.1016709975969416
106,1.0732000486200721
107,0.9524874974161511
108,1.1167177116284972
109,1.2863251548143266
110,1.318772686244399
111,1.1134791099908545
112,0.954536321404617
113,1.3308753601194436
114,1.2389881875627242
115,1.2673907863643452
116,1.5250960214695937
117,1.3069513532072026
118,1.3661544569793083
119,1.1869968435454878
120,1.2561767531539596
121,1.4079477221185297
122,1.5721791966414804
123,1.1710371961777883
124,1.2913232876135095
125,1.610862331779117
126,1.24606810423831
127,1.4290507780599737
128,1.4064820106842786
129,1.1226599964144417
130,1.0975644331744847
131,1.107040987505799
132,1.2306077644704754
133,1.4687078146125818
134,1.4096419895088348
135,1.4496128741796561
136,1.473786244458486
137,1.357074483795108
138,0.7264633612461174
139,0.7693324428406142
140,0.7620907111769949
141,0.6936855053494326
142,0.6476570992587456
143,0.7791804973761123
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,1.3905180228984646
160,1.3952342797875859
161,0.8395443808282339
162,0.7152173054676563
163,0.6319669828039742
164,0.050858398765246185
165,0.02833993383781336
166,1.055997141477333
167,1.0919292808809977
168,1.30251726858141
169,1.338796545680462
170,1.3270340305461028
171,1.2706952298582932
172,1.2253393093495994
173,1.2126904193629526
174,1.2552186548889241
175,1.1387324347098164
176,1.019429791378416
177,1.0871157675645324
178,1.1102234687955594
179,1.1833187768187199
180,1.1278944663487729
181,1.1159941122620236
182,1.1153460218280686
183,1.1092999400476673
184,1.1555398964505834
185,1.1593399662725976
186,1.1339175971023836
187,3.316624790355403
188,
189,
190,1.065900300838795
191,0.9792888923379903
192,0.9175877892744987
193,2.2371924403753205
194,2.256131565593363
195,2.4636805180538013
196,3.3166247903554034
197,1.865258190952476
198,0.6362273344371142
199,0.6120494837477799
200,0.3923955849418744
201,0.4363377581599472
202,0.43633775816106196
203,0.43633775816011805
204,0.4382489292484126
205,0.7303312576814444
206,0.8468943155978167
207,0.902024405339157
208,1.149322409888599
209,1.205857560724491
210,1.225003462384776
211,1.2226027257224197
212,1.3397463001207328
213,1.300898728634139
214,1.3286549630689695
215,1.5160821646110485
216,1.525096021469551
217,1.4851924184361107
218,1.2529043138222644
219,1.123133661517093
220,1.1210725359483515
221,1.1536228236975397
222,1.2255577455215918
223,1.2482225706856327
224,1.2561307619006734
225,1.3815607923349595
226,1.3770891526676032
227,1.3833201973955684
228,1.390961335250928
229,1.3902958470616382
230,1.3603568068220473
231,1.3557694741915498
232,0.34350276845672867
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,0.6840179799689845
244,0.5876690143894615
245,1.2253819577569054
246,1.2253819577566991
247,1.0656773539773765
248,1.064761056015523
249,1.174537159699653
250,1.2098116607410252
251,1.2098116607412643
252,1.0856896776064366
253,0.9153851283941595
254,1.046174607701826
255,0.8848712208215407
256,0.883861956488039
257,0.8813399666824069
258,0.9003377034735404
259,0.9119512260263202
260,0.8998310470726325
261,0.8385248621556277
262,0.8682863500943634
263,0.9462490407120605
264,0.9023980500146125
265,0.8726082965004647
266,1.0139501833274205
267,1.1016709975969727
268,1.0583603785578033
269,1.3187726862444185
270,1.3661544569792947
271,1.3008951727804772
272,1.2801846838262956
273,1.2822699271626985
274,1.6125527588032607
275,1.29326561669398
276,1.568767240987219
277,1.3609642976728056
278,1.2625832606403995
279,1.2913232876133696
280,1.24485044978783
281,1.2717994390592129
282,1.1132856063491172
283,1.0123743191115733
284,1.0221072142053143
285,1.0686198139186225
286,0.9580992312730756
287,0.9821654843716426
288,1.009984495788653
289,1.0813095470469107
290,0.9247399067333124
291,1.1416974903603538
292,0.9741442898135353
293,1.0032185331165948
294,0.982176401590102
295,1.0675647603145815
296,1.0187319177137666
297,1.260616998716278
298,0.9972212733706731
299,0.9792807755237158
