CT_GLDAS,RCP45_SSP2,RCP85_SSP2,RCP85_SSP3,GLOWASIS,Hoekstra,,,
32789202,25762705,25648922.73,25616945.45,0,832211.1889,,,
173501360,140902364,140230363.6,140199818.2,68833946.23,2466403.795,,,
75554672,59638282,59369863.64,59351059.09,59927513.12,1237788.552,,,
20746920,752889,752889.1364,692995.2273,231280.5802,557073.9845,,,
1901189.75,1303766,1303651.364,1197553.636,52117542.27,271876.4905,,,
25153458,31507159,31540472.73,31405500,77136863.71,1071262.898,,,
88134048,86813236,86853136.36,86823736.36,35896907.81,9658188.373,,,
6600697.5,7870447,7870446.818,7823693.182,20048576.35,846389.4821,,,
6881603,31953600,31953600,32416745.45,48485.49142,5055630.456,,,
596488000,626660045,627332045.5,627196500,55023796.08,625492188.8,,,
736921600,781490182,782659500,783118636.4,27558132.17,632973627.5,,,
34284288,51434918,51475390.91,51626209.09,0,458446.1998,,,
751652.625,1119596,1120531.364,1099025.455,0,17710.7617,,,
8.273667336,1871,1870.928182,1716.902727,0,,,,
804782.625,2894020,2894019.545,2817150,1864111.9,445759.0398,,,
4428713.5,5356508,5361748.636,5317095,6.24E+00,23448.77767,,,
11956059,16281205,16297145.45,16061181.82,9106841.087,288723.8487,,,
179874.6719,36630,36629.82273,34150.86818,0,10599.09854,,,
1164909,44742,44742.21818,41741.31818,2430678.606,29358.9247,,,
38466596,49654309,49835959.09,49851613.64,32805973.05,9756332.321,,,
74655440,104326091,104738454.5,104814818.2,0,8440352.265,,,
859636.25,46914,46913.52273,43927.99091,0,70860.96341,,,
2016106,62948,62947.88182,59064.6,0,96821.33053,,,
338325.9375,187114,187113.8182,176303.5909,289.0974574,116310.0042,,,
1100670.375,12017727,12027654.55,11781095.45,1215296.626,36921.16551,,,
287275.8125,651396,651396.1364,615418.3636,7199.876942,205113.4859,,,
1225191,506899,506898.9545,478834.3636,0,283372.5589,,,
59359296,67163727,67353681.82,66719672.73,39207492.83,51357182.54,,,
147181.1094,88561,88560.72273,83339.45455,15666.07133,930.080829,,,
32843502,32054782,32153481.82,31894895.45,56686573.03,1877223.861,,,
27323.85938,20598,20597.75455,18643.03636,0,5593.993593,,,
18421.07617,9882,9882.218182,9044.556818,2551373.482,10243.62634,,,
996543.25,115231,115230.8182,103571.0455,31799.22327,97988.82701,,,
8731.678711,9530,9529.780909,8696.376818,114756.7555,17544.21112,,,
13995.74219,16188,16187.75455,14749.44545,342624.1577,24001.6463,,,
10221.89844,20780,20779.78636,19263.49091,67031.84545,5027.618434,,,
1546466.375,1628512,1627710,1598109.545,13689.37641,4656072.6,,,
14147214,532300,532300.3636,535305.2727,0,103772.0451,,,
2164339,916100,916100.1818,904872.8182,688658.6547,285918.1966,,,
2038512.375,1121180,1121180.455,1143478.636,0,324461.2325,,,
94951400,52668286,52523959.09,52516513.64,128565185.5,69248856.59,,,m
84904.08594,85840,85840.26818,84890.20909,0,35944.68112,,,
185375.7656,225191,225190.6364,214453.9091,54517.93969,96831.13729,,,
56358.90625,75195,75195.36818,70264.85455,829.4617292,28686.64142,,,
49653.71875,76325,76314.66818,75201.47727,0,17407.75122,,,
4506867,3554546,3555681.818,3552980.455,407951.653,390004.0435,,,
15549244,6809603,6809803.636,6807178.636,0,467618.0116,,,
33202240,14955532,15054422.73,15061200,24583564.76,2085236.353,,,
28298686,15503536,15615504.55,15625718.18,12058176.99,2938511.237,,,
15379.75293,32700,32699.67273,32025.76364,94278.74535,11400.21131,,,
25142.05078,27900,27900.21818,27092.38636,24592.98819,9992.53555,,,
40647.98047,134683,134734.0909,127066.2273,0,14939.58619,,,
94326.125,938467,938570.1818,923376.6818,291575.1636,99010.17248,,,
5356.614746,5257,5256.872727,3916.719545,0,4091.077201,,,
1328865.625,19839941,19738186.36,19696281.82,3008008.003,365166.7222,,,
1897654.125,1438729,1436438.182,1436676.818,0,209853.3934,,,
168523.9688,348209,348208.6364,339183.4091,0,87840.79884,,,
20971208,9623632,9577431.818,9584304.545,22605445.86,11635598.67,,,
121661272,71530295,70781359.09,70761122.73,68984939.58,50493447.03,,,
15476.65137,29753,29753.18182,29219.49545,0,7103.75701,,,
3075.817383,11603,11602.5,11682.87273,51120.44513,3477.051408,,,
40832.35547,457647,457647.2727,434152.0909,0,257217.2013,,,
4253.759766,36155,36155.41364,35473.2,78283.79422,4300.288018,,,
2252809.5,4701814,4708114.091,4598933.182,6978678.703,281874.4665,,,
6384.122559,15872,15872.27727,15694.73182,0,5230.096617,,,
2138.860596,32946,32945.56364,32374.17273,47191.9179,2867.105331,,,
638978.75,1700943,1701152.727,1802983.636,0,87090.723,,,
47892.12891,95860,95860.22727,97840.90909,221250.6831,20893.74872,,,
42081292,18545768,18552163.64,18519422.73,103683235.2,13424263.61,,,
4983.096191,24439,24439.03636,24549.57273,52184.84253,4816.306204,,,
576.0178833,11329,11329.21364,11160.54545,12607.77656,825.4899451,,,
1864.773926,56313,56313.21818,55476.46364,155541.4796,3007.604491,,,
1720.411621,43698,43698.04091,43045.60909,59335.10512,2308.687834,,,
8961.90332,56156,56156.29091,56873.25,0,9780.012757,,,
33986.26172,282636,282636.1364,277243.9091,484136.9689,36529.36157,,,
271140.5313,99887,99886.5,99527.59091,26391.91225,5770.266191,,,
56564112,208336,208485.1364,210241.5,2326267.242,9260421.417,,,
102082856,167366,167366.1818,167874.9545,152869628.9,12709939.07,,,
61602684,162843,162842.5909,163640.5909,13013787.27,6307889.414,,,
1258.305298,25960,25960.39091,25901.49545,0,1283.223919,,,
1917.277466,29465,29465.1,28698.12273,159124.5085,1712.716607,,,
7226.875488,46905,46905.31364,45549.47727,64182.54972,6410.991442,,,
2898.875244,23094,23094.46364,22502.26364,74230.2686,2930.06671,,,
2392.993896,15399,15399.39545,15100.05,0,1640.755337,,,
3769.527344,22550,22549.51364,22083.40909,0,2926.698633,,,
112792760,38360318,38590077.27,38586068.18,25032709.12,39951361.91,,,
1726.071533,12574,12573.94091,12392.86364,79434.75991,1767.714596,,,
6069474,1993415,2001080.455,2004812.727,12824479.1,2906257.724,,,
3713.867432,26227,26227.09091,25784.46818,70193.54403,3449.898724,,,
7079917,2868781,2882125.909,2886870,0,1972314.813,,,
1454.525024,50305,50304.83182,49085.20909,218649.4321,2959.140043,,,
372781600,133162909,132680863.6,132779181.8,84966659.55,111757454.9,,,
467.2671204,15813,15813.28636,15452.18182,0,539.1607442,,,
142377.4219,329368,329367.8182,315738.8182,4076175.213,86352.05588,,,
952298,719866,719865.6818,670025.0455,7820689.201,494259.3408,,,
44103540,30190173,30102068.18,30085363.64,31472030.64,22218119.93,,,
23307.02148,31878,31877.52273,30316.26818,318489.5217,8376.851587,,,
14280.11914,26982,26982.42273,24742.00909,132008.3141,8520.540886,,,
66355.52344,42862,42861.85909,38534.80909,0,43017.47793,,,
352566.75,476308,476307.6818,409939.0909,3477566.719,179760.8288,,,
1028141.688,738785,734103.6818,725419.2273,439152.9858,37804.10311,,,
8510067,5995767,5978585.455,5876620.909,22157503.13,5152149.703,,,
3198.891846,208936,208935.6818,203773.5,0,4667.421279,,,
1293243.625,1607254,1607072.727,1576947.273,6976032.734,644332.2017,,,
663282.1875,1070885,1070885.455,1071630,6564456.94,536342.9483,,,
501500.5938,335764,334511.8636,323706.4091,2224245.31,139110.2744,,,
19292840,10373236,10344027.27,10323218.18,19334571.84,4793447.027,,,
11817363,16042,16042.28182,16154.82273,0,4859282.391,,,
1224957.25,615955,614473.3636,608789.0455,1371552.467,454109.1883,,,
4111921.5,2207234,2209553.182,2213123.182,19304975.51,1132344.559,,,
4713141,3160576,3163516.364,3179848.636,0,1467620.32,,,
443116.5938,63830,63830.26364,58779.66818,178741.8574,225499.6335,,,
886565.5625,1185908,1185908.182,1190241.818,9358095.169,473538.7844,,,
88527.46094,54196,54195.65455,52118.08636,151227.355,51778.7464,,,
1284320.875,982915,979268.1818,974027.7273,2889290.571,1084912.2,,,
6293531,6683536,6687135,6560705.455,9694871.902,3207077.095,,,
49988.83203,24825,24825.34091,22253.12727,951981.7829,44304.09272,,,
298577.75,223469,223629.9545,220264.2273,1991946.936,94615.87761,,,
44599.85938,112572,112572.4091,111731.4545,0,12761.81296,,,
688505024,316598864,315397090.9,315329318.2,352650146.5,68711988.12,,,
449116.5,520866,520865.8636,509072.4545,1061667.442,238536.1425,,,
468089.9063,624309,623476.6364,612020.1818,353919.8041,72026.29961,,,
13283640,3742658,3734945.455,3724216.364,0,1673459.333,,,
6040089,3859781,3868973.182,3850770,4344527.245,3411911.386,,,
12629804,10636882,10607195.45,10606909.09,0,8886891.043,,,
11521377,47575309,47458950,47435945.45,0,8313551.424,,,
120821.8438,99319,99318.54545,98668.5,664307.4751,67684.25063,,,
7909001,15807464,15761072.73,15749522.73,1671774.626,6084907.843,,,
34231080,3839984,3829197.273,3831240,44428810.12,11475291.13,,,
5819344.5,4021825,4028725.909,4013749.091,5653572.083,2632555.282,,,
1597981.75,992002,991839.5455,994617.2727,5180532.455,439725.5583,,,
108128576,54898582,54554563.64,54566781.82,54694854.74,51045291.94,,,
407720.1875,645656,645656.4545,630243.4091,434432.8046,193685.6391,,,
78769064,10412373,10348895.45,10222704.55,56345932.01,30566259.87,,,
416512.6875,606226,605956.9091,586952.8636,0,185486.3253,,,
199284.875,855083,855082.7727,826397.7273,0,164672.6515,,,
471647.6563,958574,955375.9091,932790.4091,806542.6946,312162.3413,,,
609254.4375,641512,636034.6364,618915.8182,2874155.283,327680.083,,,
24846130,18360205,18257209.09,18248045.45,0,369586.8824,,,
427262944,213295091,212223136.4,212191636.4,69467987.06,6734376.165,,,
69352840,55178455,54929318.18,54925118.18,0,929983.7285,,,
202223744,140385000,139755954.5,139725409.1,35811496.73,3393693.215,,,
101976496,74330168,74250654.55,74197295.45,0,1703577.934,,,
