BasinID,Area_km2,Shape_Area,Shape_Leng,__fid__,dwnBasinID,sum
1,2085,0.0,0.0,0,0,751804.0
2,2373,0.0,0.0,1,0,745035.0
3,1509,0.0,0.0,2,0,457185.0
4,4113,0.0,0.0,3,0,1342912.0
5,4454,0.0,0.0,4,0,2186684.0
6,2817,0.0,0.0,5,0,15248966.0
7,1284,0.0,0.0,6,0,29861206.0
8,1045,0.0,0.0,7,0,14321658.0
9,3071,0.0,0.0,8,0,78431014.0
10,2092,0.0,0.0,9,0,36184852.0
11,5444,0.0,0.0,10,0,102157426.0
12,1475,0.0,0.0,11,0,31590181.0
13,1530,0.0,0.0,12,0,548057.0
14,11,0.0,0.0,13,0,
15,4358,0.0,0.0,14,0,10338870.0
16,3751,0.0,0.0,15,0,1191262.0
17,15522,0.0,0.0,16,0,5494100.0
18,1059,0.0,0.0,17,0,91974.0
19,1271,0.0,0.0,18,0,72838.0
20,1204,0.0,0.0,19,0,12582536.0
21,3911,0.0,0.0,20,0,39750728.0
22,1168,0.0,0.0,21,0,95477.0
23,1314,0.0,0.0,22,0,124664.0
24,1649,0.0,0.0,23,0,267360.0
25,16655,0.0,0.0,24,0,26840505.0
26,1847,0.0,0.0,25,0,1334366.0
27,1676,0.0,0.0,26,0,745265.0
28,76906,0.0,0.0,27,0,12335976.0
29,1045,0.0,0.0,28,0,210746.0
30,18922,0.0,0.0,29,0,4641523.0
31,2001,0.0,0.0,30,0,50366.0
32,1079,0.0,0.0,31,0,24348.0
33,11654,0.0,0.0,32,0,334442.0
34,1385,0.0,0.0,33,0,42938.0
35,2293,0.0,0.0,34,0,67694.0
36,1708,0.0,0.0,35,0,75367.0
37,4417,0.0,0.0,36,0,3150497.0
38,1119,0.0,0.0,37,0,1248426.0
39,2127,0.0,0.0,38,0,4739268.0
40,1209,0.0,0.0,39,0,5366723.0
41,2535,0.0,0.0,40,0,1950374.0
42,1773,0.0,0.0,41,0,2062940.0
43,9400,0.0,0.0,42,0,1017863.0
44,4785,0.0,0.0,43,0,325081.0
45,1086,0.0,0.0,44,0,1108445.0
46,1896,0.0,0.0,45,0,3095844.0
47,2310,0.0,0.0,46,0,4891442.0
48,3001,0.0,0.0,47,0,10893780.0
49,2808,0.0,0.0,48,0,10702960.0
50,1288,0.0,0.0,49,0,674998.0
51,1919,0.0,0.0,50,0,659462.0
52,1251,0.0,0.0,51,0,1086702.0
53,3006,0.0,0.0,52,0,2084095.0
54,1793,0.0,0.0,53,0,68167.0
55,11814,0.0,0.0,54,0,15251493.0
56,1691,0.0,0.0,55,0,9026049.0
57,2053,0.0,0.0,56,0,4982313.0
58,27164,0.0,0.0,57,0,35737137.0
59,42973,0.0,0.0,58,0,66438045.0
60,1276,0.0,0.0,59,0,454464.0
61,1401,0.0,0.0,60,0,424000.0
62,1489,0.0,0.0,61,0,1027565.0
63,4795,0.0,0.0,62,0,1253027.0
64,16532,0.0,0.0,63,0,15144620.0
65,1721,0.0,0.0,64,0,510687.0
66,3783,0.0,0.0,65,0,1160714.0
67,2736,0.0,0.0,66,0,5931686.0
68,3898,0.0,0.0,67,0,2734890.0
69,26678,0.0,0.0,68,0,39803821.0
70,1074,0.0,0.0,69,0,1031874.0
71,1450,0.0,0.0,70,0,459597.0
72,4596,0.0,0.0,71,0,2075599.0
73,4228,0.0,0.0,72,0,1548235.0
74,1961,0.0,0.0,73,0,2184678.0
75,29098,0.0,0.0,74,0,10548897.0
76,5614,0.0,0.0,75,0,3446226.0
